,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,4207,1a_Grossjean_2025,4h2i_c_4_mae_prepped,1,14,-7.87,-0.2914814814814815,0.0,0.0,5,191.38,-9.96,-9.35,-0.61,-9.96,0.0,-0.66,2.09,-0.66,45,9,0.0,0.0,0.0,4.459607,8.917188,11.415027,-0.63352041,-0.42589606,0.64596009,115.363525,"116.257378, 48.188263, 268.333618, 119.3423, 53.836964, 316.267792, 41.271221, ","[["" 130.059"", "" 127.150"", ""  68.930""], ["" 128.783"", "" 127.044"", ""  69.485""], ["" 128.518"", "" 127.559"", ""  70.750""], ["" 129.526"", "" 128.194"", ""  71.487""], ["" 130.807"", "" 128.306"", ""  70.924""], ["" 131.073"", "" 127.791"", ""  69.658""], ["" 130.216"", "" 126.592"", ""  67.646""], ["" 129.963"", "" 125.341"", ""  67.207""], ["" 129.524"", "" 124.417"", ""  67.893""], ["" 130.540"", "" 127.248"", ""  66.952""], ["" 130.260"", "" 125.093"", ""  65.727""], ["" 130.175"", "" 123.329"", ""  65.297""], ["" 130.859"", "" 123.144"", ""  63.665""], ["" 132.583"", "" 123.343"", ""  61.975""], ["" 132.165"", "" 123.556"", ""  63.309""], ["" 131.696"", "" 122.757"", ""  61.066""], ["" 133.060"", "" 124.212"", ""  64.267""], ["" 130.420"", "" 122.403"", ""  61.497""], ["" 133.768"", "" 124.731"", ""  65.020""], ["" 130.000"", "" 122.595"", ""  62.770""], ["" 133.972"", "" 123.737"", ""  61.475""], ["" 129.409"", "" 121.773"", ""  60.557""], ["" 129.207"", "" 128.734"", ""  72.851""], ["" 128.477"", "" 128.151"", ""  73.658""], ["" 129.813"", "" 129.922"", ""  73.113""], ["" 129.109"", "" 130.979"", ""  73.753""], ["" 129.219"", "" 132.251"", ""  72.907""]]",[],1a_Grossjean_2025
1,4071,1c_Ghoteimi_2023,4h2i_c_4_mae_prepped,1,13,-7.84,-0.224,0.0,0.0,5,192.4,-10.22,-9.63,-0.59,-10.22,0.0,-2.08,2.39,-2.08,50,7,0.0,0.0,0.0,4.056382,11.568801,10.291321,-0.85747186,0.20903753,0.47015457,237.629745,"9.025222, 154.584457, 208.98558, 327.60965, 283.926178, 340.195465, 97.171814, 237.072983, ","[["" 128.352"", "" 128.189"", ""  65.834""], ["" 129.026"", "" 127.075"", ""  65.280""], ["" 129.158"", "" 126.915"", ""  63.827""], ["" 129.261"", "" 126.790"", ""  62.681""], ["" 129.581"", "" 126.130"", ""  66.167""], ["" 129.472"", "" 126.239"", ""  67.513""], ["" 128.790"", "" 127.286"", ""  68.049""], ["" 128.231"", "" 128.270"", ""  67.226""], ["" 127.790"", "" 129.308"", ""  65.021""], ["" 126.746"", "" 131.389"", ""  63.450""], ["" 125.933"", "" 130.329"", ""  63.850""], ["" 128.095"", "" 131.401"", ""  63.839""], ["" 126.450"", "" 129.297"", ""  64.626""], ["" 128.609"", "" 130.366"", ""  64.615""], ["" 126.148"", "" 132.370"", ""  62.681""], ["" 126.961"", "" 133.374"", ""  62.082""], ["" 130.596"", "" 124.775"", ""  65.619""], ["" 132.258"", "" 125.494"", ""  65.409""], ["" 132.864"", "" 125.159"", ""  64.041""], ["" 132.118"", "" 125.526"", ""  62.976""], ["" 133.939"", "" 124.561"", ""  63.983""], ["" 131.258"", "" 126.019"", ""  63.160""], ["" 132.358"", "" 125.209"", ""  61.648""], ["" 131.924"", "" 125.837"", ""  60.577""], ["" 133.393"", "" 123.853"", ""  61.336""], ["" 132.383"", "" 125.282"", ""  59.472""], ["" 133.212"", "" 124.177"", ""  59.637""], ["" 128.713"", "" 127.341"", ""  69.547""], ["" 127.543"", "" 126.977"", ""  70.232""], ["" 129.812"", "" 127.763"", ""  70.310""], ["" 127.477"", "" 127.026"", ""  71.622""], ["" 129.751"", "" 127.811"", ""  71.700""], ["" 128.576"", "" 127.440"", ""  72.369""], ["" 128.423"", "" 127.454"", ""  73.742""], ["" 127.806"", "" 128.577"", ""  74.362""]]",[],1c_Ghoteimi_2023
2,4627,1d_Ghoteimi_2023,4h2i_c_4_mae_prepped,2,9,-7.34,-0.24466666666666667,0.0,0.0,16,191.93,-9.73,-9.02,-0.71,-9.73,0.0,-1.09,2.39,-1.09,49,5,0.0,0.0,0.0,4.04332,10.181379,9.848423,0.23083683,0.07945908,-0.96974255,233.206711,"142.555267, 322.413025, 114.086884, 50.363411, 256.538483, 194.394791, 61.67823, 70.269325, ","[["" 127.365"", "" 129.420"", ""  64.982""], ["" 128.337"", "" 128.136"", ""  65.738""], ["" 129.821"", "" 126.217"", ""  65.741""], ["" 129.108"", "" 127.200"", ""  65.011""], ["" 129.757"", "" 126.248"", ""  67.139""], ["" 129.222"", "" 127.279"", ""  63.551""], ["" 129.006"", "" 127.229"", ""  67.798""], ["" 129.313"", "" 127.339"", ""  62.399""], ["" 128.305"", "" 128.152"", ""  67.092""], ["" 130.648"", "" 125.148"", ""  65.103""], ["" 132.221"", "" 123.147"", ""  63.907""], ["" 132.750"", "" 124.415"", ""  64.145""], ["" 130.895"", "" 122.879"", ""  64.282""], ["" 131.973"", "" 125.406"", ""  64.739""], ["" 130.121"", "" 123.872"", ""  64.877""], ["" 133.061"", "" 122.229"", ""  63.307""], ["" 133.978"", "" 122.673"", ""  62.313""], ["" 128.912"", "" 127.313"", ""  69.294""], ["" 127.729"", "" 126.974"", ""  69.970""], ["" 130.004"", "" 127.742"", ""  70.063""], ["" 127.642"", "" 127.059"", ""  71.356""], ["" 129.920"", "" 127.829"", ""  71.450""], ["" 128.732"", "" 127.486"", ""  72.110""], ["" 128.554"", "" 127.543"", ""  73.479""], ["" 127.622"", "" 128.474"", ""  74.019""], ["" 128.399"", "" 130.183"", ""  63.697""], ["" 128.677"", "" 131.622"", ""  64.124""], ["" 127.999"", "" 132.176"", ""  64.991""], ["" 129.716"", "" 132.164"", ""  63.456""], ["" 130.216"", "" 131.547"", ""  62.279""]]",[],1d_Ghoteimi_2023
3,5090,1g_Grossjean_2025,4h2i_c_4_mae_prepped,1,13,-6.97,-0.3030434782608696,0.0,0.0,1,189.27,-8.46,-8.23,-0.23,-8.46,0.0,-0.46,1.49,-0.46,38,7,0.0,0.0,0.0,5.276338,6.685355,10.836517,0.10198742,-0.65411837,0.74948497,142.345276,"342.948059, 292.66098, 359.899078, 343.490692, 123.997215, ","[["" 130.824"", "" 125.086"", ""  65.943""], ["" 130.359"", "" 123.417"", ""  65.393""], ["" 130.963"", "" 123.221"", ""  63.731""], ["" 132.592"", "" 123.433"", ""  61.952""], ["" 132.245"", "" 123.644"", ""  63.306""], ["" 131.677"", "" 122.808"", ""  61.100""], ["" 133.207"", "" 124.250"", ""  64.229""], ["" 130.446"", "" 122.400"", ""  61.610""], ["" 133.970"", "" 124.728"", ""  64.957""], ["" 130.090"", "" 122.594"", ""  62.902""], ["" 133.942"", "" 123.858"", ""  61.374""], ["" 129.418"", "" 121.701"", ""  60.741""], ["" 129.855"", "" 125.633"", ""  66.993""], ["" 129.443"", "" 126.900"", ""  66.819""], ["" 129.492"", "" 124.919"", ""  67.928""], ["" 129.808"", "" 127.421"", ""  66.034""], ["" 128.567"", "" 127.640"", ""  67.727""], ["" 128.992"", "" 127.585"", ""  69.192""], ["" 130.232"", "" 128.103"", ""  69.580""], ["" 128.137"", "" 127.025"", ""  70.146""], ["" 130.619"", "" 128.053"", ""  70.916""], ["" 128.525"", "" 126.977"", ""  71.483""], ["" 129.763"", "" 127.490"", ""  71.862""]]",[],1g_Grossjean_2025
4,5379,1j_Grossjean_2025,4h2i_c_4_mae_prepped,1,5,-6.44,-0.3066666666666667,0.0,0.0,1,188.72,-7.63,-7.37,-0.26,-7.63,0.0,-0.33,1.19,-0.33,33,7,0.0,0.0,0.0,3.890895,7.959982,7.975262,0.34640054,0.47656876,0.8080154,194.790222,"114.605011, 120.58152, 267.491852, 47.977715, ","[["" 130.158"", "" 123.379"", ""  65.346""], ["" 130.827"", "" 123.140"", ""  63.714""], ["" 132.536"", "" 123.272"", ""  62.003""], ["" 132.135"", "" 123.524"", ""  63.334""], ["" 131.632"", "" 122.676"", ""  61.117""], ["" 133.047"", "" 124.196"", ""  64.263""], ["" 130.355"", "" 122.354"", ""  61.570""], ["" 133.770"", "" 124.727"", ""  64.995""], ["" 129.951"", "" 122.582"", ""  62.842""], ["" 133.926"", "" 123.633"", ""  61.478""], ["" 129.325"", "" 121.719"", ""  60.654""], ["" 130.287"", "" 125.148"", ""  65.742""], ["" 129.984"", "" 125.430"", ""  67.215""], ["" 130.248"", "" 126.686"", ""  67.634""], ["" 129.531"", "" 124.528"", ""  67.922""], ["" 130.594"", "" 127.344"", ""  66.950""], ["" 130.056"", "" 127.191"", ""  68.912""], ["" 130.939"", "" 127.784"", ""  69.687""], ["" 128.467"", "" 127.041"", ""  69.592""], ["" 130.408"", "" 128.138"", ""  70.841""], ["" 129.062"", "" 127.834"", ""  71.019""]]",[],1j_Grossjean_2025
5,4046,1k_Grossjean_2025,4h2i_c_4_mae_prepped,1,13,-6.26,-0.24076923076923076,0.0,0.0,1,190.0,-9.84,-9.12,-0.72,-9.84,0.0,-0.74,3.58,-0.74,42,9,0.0,0.0,0.0,0.090197,10.505085,13.109864,-0.36375588,0.26719306,-0.89235056,313.555847,"229.936859, 118.483047, 356.877899, 238.339005, 91.690811, 204.332611, 6.238707, 6.888588, 261.292267, 307.933838, 172.305832, 67.293854, ","[["" 128.486"", "" 127.124"", ""  70.953""], ["" 128.370"", "" 127.069"", ""  69.537""], ["" 129.688"", "" 127.539"", ""  68.893""], ["" 129.953"", "" 126.949"", ""  67.580""], ["" 129.872"", "" 125.639"", ""  67.288""], ["" 129.553"", "" 124.784"", ""  68.117""], ["" 130.222"", "" 127.591"", ""  66.849""], ["" 130.211"", "" 125.261"", ""  65.838""], ["" 130.099"", "" 123.482"", ""  65.438""], ["" 130.667"", "" 123.220"", ""  63.764""], ["" 132.328"", "" 123.343"", ""  62.004""], ["" 131.964"", "" 123.594"", ""  63.346""], ["" 131.402"", "" 122.740"", ""  61.147""], ["" 132.916"", "" 124.221"", ""  64.268""], ["" 130.143"", "" 122.405"", ""  61.639""], ["" 133.668"", "" 124.717"", ""  64.995""], ["" 129.774"", "" 122.641"", ""  62.919""], ["" 133.703"", "" 123.701"", ""  61.444""], ["" 129.095"", "" 121.749"", ""  60.761""], ["" 129.422"", "" 128.090"", ""  71.413""], ["" 130.625"", "" 127.376"", ""  72.043""], ["" 130.838"", "" 127.878"", ""  73.356""], ["" 130.927"", "" 126.864"", ""  74.348""], ["" 132.356"", "" 126.304"", ""  74.378""], ["" 133.247"", "" 127.304"", ""  74.856""], ["" 134.612"", "" 126.926"", ""  74.781""]]",[],1k_Grossjean_2025
6,4061,1l_Grossjean_2025,4h2i_c_4_mae_prepped,1,13,-5.39,-0.2994444444444444,0.0,0.0,3,188.58,-6.58,-6.21,-0.37,-6.58,0.0,-0.66,1.19,-0.66,33,7,0.0,0.0,0.0,8.647056,7.343217,2.843201,0.25938214,0.86424849,0.43103996,233.266357,"81.677551, 180.110489, 351.282593, 69.429962, ","[["" 134.455"", "" 124.114"", ""  60.789""], ["" 133.181"", "" 123.619"", ""  59.579""], ["" 131.874"", "" 122.783"", ""  60.460""], ["" 130.729"", "" 120.800"", ""  61.255""], ["" 131.801"", "" 121.372"", ""  60.535""], ["" 129.789"", "" 121.638"", ""  61.863""], ["" 132.801"", "" 120.517"", ""  59.888""], ["" 129.934"", "" 123.018"", ""  61.741""], ["" 133.589"", "" 119.841"", ""  59.378""], ["" 130.953"", "" 123.587"", ""  61.054""], ["" 130.549"", "" 119.290"", ""  61.402""], ["" 128.948"", "" 123.981"", ""  62.374""], ["" 134.107"", "" 123.822"", ""  62.255""], ["" 133.930"", "" 124.910"", ""  63.028""], ["" 133.991"", "" 122.664"", ""  62.667""], ["" 134.219"", "" 125.841"", ""  62.763""], ["" 133.866"", "" 124.753"", ""  64.412""], ["" 132.568"", "" 125.095"", ""  64.879""]]",[],1l_Grossjean_2025
7,3854,1q_Grossjean_2025,4h2i_c_4_mae_prepped,1,14,-5.58,-0.25363636363636366,0.0,0.0,1,189.5,-7.67,-7.39,-0.28,-7.67,0.0,-1.3,2.09,-1.3,43,6,0.0,0.0,0.0,7.331662,8.663961,8.703333,0.93215517,0.30715227,-0.19168782,70.758476,"121.570229, 48.662395, 38.87104, 7.364639, 286.658508, 38.124828, 255.159683, ","[["" 133.105"", "" 124.798"", ""  62.670""], ["" 132.891"", "" 124.746"", ""  61.341""], ["" 134.168"", "" 124.462"", ""  63.195""], ["" 131.982"", "" 125.016"", ""  60.994""], ["" 131.938"", "" 125.324"", ""  63.519""], ["" 132.079"", "" 125.050"", ""  65.029""], ["" 130.531"", "" 124.518"", ""  65.819""], ["" 129.734"", "" 125.947"", ""  66.525""], ["" 128.516"", "" 128.041"", ""  66.469""], ["" 129.107"", "" 126.966"", ""  65.767""], ["" 128.583"", "" 128.066"", ""  67.865""], ["" 129.096"", "" 126.952"", ""  64.303""], ["" 129.243"", "" 127.035"", ""  68.530""], ["" 129.085"", "" 126.945"", ""  63.145""], ["" 129.815"", "" 125.995"", ""  67.879""], ["" 127.803"", "" 129.193"", ""  65.763""], ["" 129.360"", "" 127.010"", ""  70.042""], ["" 133.857"", "" 124.291"", ""  60.330""], ["" 133.314"", "" 124.393"", ""  58.889""], ["" 133.974"", "" 123.962"", ""  57.941""], ["" 132.084"", "" 124.954"", ""  58.801""], ["" 131.927"", "" 126.274"", ""  58.301""]]",[],1q_Grossjean_2025
8,3846,2a_Ghoteimi_2023,4h2i_c_4_mae_prepped,1,4,-8.9,-0.1816326530612245,0.0,0.0,9,190.08,-12.18,-11.85,-0.33,-12.18,0.0,-3.48,3.28,-3.48,90,7,0.0,0.0,0.0,0.960822,10.686799,5.482682,-0.66762469,-0.66124067,-0.34210823,304.933105,"148.274414, 64.087502, 223.145889, 143.264282, 355.929718, 316.328766, 81.276337, 41.225918, 255.407379, 355.893646, 355.191254, ","[["" 129.968"", "" 129.253"", ""  60.750""], ["" 130.555"", "" 128.166"", ""  61.297""], ["" 130.074"", "" 129.598"", ""  59.572""], ["" 130.436"", "" 128.052"", ""  62.292""], ["" 129.150"", "" 130.112"", ""  61.723""], ["" 127.661"", "" 129.294"", ""  62.381""], ["" 128.241"", "" 127.830"", ""  63.206""], ["" 128.128"", "" 126.368"", ""  59.955""], ["" 128.302"", "" 126.480"", ""  61.094""], ["" 128.525"", "" 126.619"", ""  62.536""], ["" 128.989"", "" 125.526"", ""  63.308""], ["" 128.386"", "" 127.976"", ""  64.543""], ["" 129.132"", "" 125.701"", ""  64.692""], ["" 128.832"", "" 126.931"", ""  65.284""], ["" 129.333"", "" 124.188"", ""  62.740""], ["" 128.374"", "" 123.456"", ""  62.035""], ["" 130.601"", "" 123.630"", ""  62.925""], ["" 128.678"", "" 122.200"", ""  61.519""], ["" 130.906"", "" 122.375"", ""  62.407""], ["" 129.953"", "" 121.639"", ""  61.689""], ["" 130.273"", "" 120.371"", ""  61.194""], ["" 129.820"", "" 119.173"", ""  61.928""], ["" 131.582"", "" 120.097"", ""  60.569""], ["" 129.895"", "" 117.879"", ""  61.089""], ["" 131.616"", "" 118.780"", ""  59.767""], ["" 131.212"", "" 117.698"", ""  60.592""], ["" 128.977"", "" 127.168"", ""  66.753""], ["" 129.346"", "" 126.134"", ""  67.622""], ["" 128.732"", "" 128.433"", ""  67.299""], ["" 129.468"", "" 126.357"", ""  68.990""], ["" 128.852"", "" 128.656"", ""  68.667""], ["" 129.233"", "" 127.625"", ""  69.541""], ["" 129.330"", "" 127.828"", ""  70.922""], ["" 130.509"", "" 127.371"", ""  71.687""], ["" 128.121"", "" 127.733"", ""  71.766""], ["" 130.613"", "" 127.988"", ""  73.097""], ["" 128.297"", "" 128.338"", ""  73.175""], ["" 129.416"", "" 127.752"", ""  73.821""], ["" 131.347"", "" 127.170"", ""  60.695""], ["" 132.019"", "" 126.317"", ""  61.573""], ["" 131.485"", "" 126.979"", ""  59.312""], ["" 132.827"", "" 125.294"", ""  61.085""], ["" 132.294"", "" 125.956"", ""  58.825""], ["" 132.975"", "" 125.102"", ""  59.703""], ["" 133.840"", "" 124.010"", ""  59.141""], ["" 133.948"", "" 123.785"", ""  57.932""], ["" 134.484"", "" 123.291"", ""  60.096""], ["" 133.794"", "" 122.330"", ""  60.884""], ["" 134.251"", "" 122.445"", ""  62.341""]]",[],2a_Ghoteimi_2023
9,4165,2b_Grossjean_2025,4h2i_c_4_mae_prepped,1,14,-7.37,-0.2541379310344828,0.0,0.0,10,187.48,-9.45,-8.93,-0.52,-9.45,0.0,-0.64,2.09,-0.64,55,10,0.0,0.0,0.0,6.556978,8.218516,11.642306,-0.23404096,-0.34454406,-0.90912828,170.205383,"116.541748, 233.747421, 117.063072, 93.212524, 63.081348, 32.540134, 130.799393, ","[["" 129.928"", "" 125.244"", ""  67.171""], ["" 130.053"", "" 126.523"", ""  67.584""], ["" 129.693"", "" 124.279"", ""  67.899""], ["" 130.324"", "" 127.193"", ""  66.879""], ["" 130.119"", "" 125.023"", ""  65.667""], ["" 130.102"", "" 123.262"", ""  65.194""], ["" 130.549"", "" 123.089"", ""  63.471""], ["" 129.873"", "" 122.373"", ""  61.356""], ["" 131.085"", "" 122.751"", ""  60.786""], ["" 129.601"", "" 122.539"", ""  62.670""], ["" 132.077"", "" 123.328"", ""  61.594""], ["" 131.808"", "" 123.502"", ""  62.976""], ["" 132.810"", "" 124.094"", ""  63.868""], ["" 133.600"", "" 124.561"", ""  64.572""], ["" 128.767"", "" 121.741"", ""  60.532""], ["" 133.411"", "" 123.745"", ""  60.947""], ["" 134.426"", "" 123.143"", ""  61.567""], ["" 133.424"", "" 123.397"", ""  59.659""], ["" 133.626"", "" 125.061"", ""  61.008""], ["" 129.926"", "" 127.067"", ""  68.877""], ["" 128.685"", "" 126.895"", ""  69.488""], ["" 130.949"", "" 127.732"", ""  69.569""], ["" 128.455"", "" 127.388"", ""  70.769""], ["" 130.717"", "" 128.224"", ""  70.850""], ["" 129.469"", "" 128.062"", ""  71.466""], ["" 129.256"", "" 128.606"", ""  72.849""], ["" 129.818"", "" 129.620"", ""  73.273""], ["" 128.381"", "" 127.873"", ""  73.585""], ["" 127.157"", "" 128.433"", ""  74.039""]]",[],2b_Grossjean_2025
10,4571,2c_Grossjean_2025,4h2i_c_4_mae_prepped,1,12,-6.7,-0.24814814814814815,0.0,0.0,12,190.26,-8.49,-8.05,-0.44,-8.49,0.0,-0.57,1.79,-0.57,54,7,0.0,0.0,0.0,2.952927,7.175593,11.04795,0.3663342,0.07183234,-0.92770651,236.53891,"132.418564, 239.900635, 127.755653, 156.059708, 328.004852, 331.009674, ","[["" 130.036"", "" 125.021"", ""  65.733""], ["" 130.002"", "" 123.269"", ""  65.217""], ["" 130.508"", "" 123.143"", ""  63.506""], ["" 129.870"", "" 122.572"", ""  61.335""], ["" 131.131"", "" 122.883"", ""  60.831""], ["" 129.556"", "" 122.701"", ""  62.643""], ["" 132.126"", "" 123.348"", ""  61.702""], ["" 131.813"", "" 123.484"", ""  63.078""], ["" 132.816"", "" 123.963"", ""  64.035""], ["" 133.607"", "" 124.342"", ""  64.790""], ["" 128.760"", "" 122.058"", ""  60.440""], ["" 133.516"", "" 123.690"", ""  61.129""], ["" 134.402"", "" 122.764"", ""  61.498""], ["" 133.464"", "" 123.734"", ""  59.797""], ["" 133.971"", "" 124.872"", ""  61.552""], ["" 129.926"", "" 125.266"", ""  67.245""], ["" 130.192"", "" 126.531"", ""  67.637""], ["" 129.644"", "" 124.341"", ""  68.008""], ["" 130.525"", "" 127.163"", ""  66.924""], ["" 130.150"", "" 127.075"", ""  68.934""], ["" 129.020"", "" 127.039"", ""  69.764""], ["" 131.307"", "" 127.721"", ""  69.372""], ["" 129.068"", "" 127.622"", ""  71.027""], ["" 131.349"", "" 128.304"", ""  70.636""], ["" 130.226"", "" 128.255"", ""  71.477""], ["" 130.177"", "" 128.803"", ""  72.744""], ["" 128.916"", "" 129.170"", ""  73.294""]]",[],2c_Grossjean_2025
11,4963,2d_Grossjean_2025,4h2i_c_4_mae_prepped,1,10,-6.2,-0.248,0.0,0.0,1,186.45,-7.69,-7.58,-0.11,-7.69,0.0,-0.8,1.49,-0.8,55,2,0.0,0.0,0.0,4.613824,7.63663,7.885501,0.24714428,-0.67466395,-0.69552014,170.163727,"131.184448, 294.03656, 204.523193, 30.739439, 173.540802, ","[["" 129.312"", "" 122.123"", ""  63.091""], ["" 130.829"", "" 123.031"", ""  63.321""], ["" 131.910"", "" 124.585"", ""  64.677""], ["" 133.048"", "" 124.566"", ""  63.873""], ["" 130.818"", "" 123.831"", ""  64.415""], ["" 133.085"", "" 123.728"", ""  62.750""], ["" 131.950"", "" 122.927"", ""  62.463""], ["" 131.956"", "" 122.001"", ""  61.328""], ["" 131.962"", "" 121.269"", ""  60.432""], ["" 131.820"", "" 125.469"", ""  65.906""], ["" 134.356"", "" 123.713"", ""  61.879""], ["" 134.108"", "" 124.284"", ""  60.700""], ["" 135.335"", "" 124.385"", ""  62.487""], ["" 134.805"", "" 122.479"", ""  61.641""], ["" 127.925"", "" 123.306"", ""  63.029""], ["" 127.064"", "" 123.154"", ""  61.772""], ["" 127.718"", "" 123.277"", ""  60.598""], ["" 125.864"", "" 122.907"", ""  61.895""], ["" 128.720"", "" 123.390"", ""  60.653""], ["" 127.213"", "" 123.196"", ""  59.287""], ["" 125.988"", "" 123.829"", ""  59.061""], ["" 127.844"", "" 122.508"", ""  58.236""], ["" 125.404"", "" 123.798"", ""  57.797""], ["" 127.257"", "" 122.478"", ""  56.975""], ["" 126.043"", "" 123.124"", ""  56.759""]]",[],2d_Grossjean_2025
12,4357,2h_Grossjean_2025,4h2i_c_4_mae_prepped,1,7,-5.73,-0.1790625,0.0,0.0,1,193.56,-8.42,-7.87,-0.54,-8.42,0.0,-1.97,2.68,-1.97,54,12,0.0,0.0,0.0,2.189194,8.067231,9.500665,0.62312206,0.5920881,0.51102894,168.732544,"358.647003, 114.082291, 113.401161, 216.060669, 16.944973, 167.947937, 252.689941, 143.538361, 99.973267, ","[["" 129.861"", "" 125.651"", ""  67.667""], ["" 129.696"", "" 126.931"", ""  67.288""], ["" 129.383"", "" 125.186"", ""  68.703""], ["" 130.092"", "" 127.229"", ""  66.408""], ["" 130.689"", "" 124.779"", ""  66.712""], ["" 132.316"", "" 125.466"", ""  66.255""], ["" 132.440"", "" 125.360"", ""  64.483""], ["" 133.791"", "" 124.662"", ""  62.720""], ["" 132.872"", "" 125.112"", ""  61.775""], ["" 133.585"", "" 124.777"", ""  64.051""], ["" 131.672"", "" 125.699"", ""  62.203""], ["" 131.437"", "" 125.821"", ""  63.597""], ["" 130.175"", "" 126.372"", ""  64.096""], ["" 129.176"", "" 126.805"", ""  64.488""], ["" 135.096"", "" 124.007"", ""  62.309""], ["" 130.663"", "" 126.183"", ""  61.143""], ["" 130.421"", "" 127.484"", ""  61.306""], ["" 131.104"", "" 126.012"", ""  59.895""], ["" 129.517"", "" 125.512"", ""  61.260""], ["" 128.861"", "" 127.910"", ""  67.985""], ["" 128.742"", "" 127.655"", ""  69.487""], ["" 129.760"", "" 128.047"", ""  70.369""], ["" 127.606"", "" 127.019"", ""  69.989""], ["" 129.611"", "" 127.835"", ""  71.750""], ["" 127.468"", "" 126.793"", ""  71.356""], ["" 128.468"", "" 127.201"", ""  72.253""], ["" 130.884"", "" 128.671"", ""  69.882""], ["" 131.902"", "" 127.784"", ""  69.436""], ["" 130.598"", "" 128.235"", ""  72.619""], ["" 131.329"", "" 127.163"", ""  73.200""], ["" 128.398"", "" 127.018"", ""  73.623""], ["" 128.168"", "" 128.141"", ""  74.466""]]",[],2h_Grossjean_2025
13,4216,2i_Grossjean_2025,4h2i_c_4_mae_prepped,1,3,-6.42,-0.2675,0.0,0.0,1,187.11,-7.91,-7.73,-0.18,-7.91,0.0,-1.26,1.49,-1.26,51,10,0.0,0.0,0.0,7.519302,5.457857,5.689842,0.9537754,-0.17561396,-0.24386927,262.361694,"286.308502, 23.113838, 147.51593, 317.470245, 98.723114, ","[["" 133.507"", "" 122.600"", ""  62.163""], ["" 131.943"", "" 123.035"", ""  62.907""], ["" 129.626"", "" 122.766"", ""  62.835""], ["" 129.446"", "" 123.611"", ""  63.927""], ["" 130.847"", "" 122.479"", ""  62.329""], ["" 130.565"", "" 124.195"", ""  64.539""], ["" 131.851"", "" 123.902"", ""  64.020""], ["" 133.055"", "" 124.484"", ""  64.622""], ["" 134.005"", "" 124.943"", ""  65.097""], ["" 128.452"", "" 122.106"", ""  62.137""], ["" 130.347"", "" 125.129"", ""  65.745""], ["" 129.485"", "" 124.575"", ""  66.600""], ["" 131.503"", "" 125.343"", ""  66.374""], ["" 129.855"", "" 126.319"", ""  65.395""], ["" 133.199"", "" 122.125"", ""  60.436""], ["" 132.798"", "" 120.654"", ""  60.302""], ["" 131.589"", "" 120.326"", ""  60.805""], ["" 133.566"", "" 119.873"", ""  59.736""], ["" 131.033"", "" 121.065"", ""  61.210""], ["" 130.999"", "" 119.073"", ""  60.791""], ["" 131.332"", "" 118.228"", ""  59.839""], ["" 130.043"", "" 118.515"", ""  61.651""], ["" 130.598"", "" 117.061"", ""  60.062""], ["" 129.825"", "" 117.249"", ""  61.158""]]",[],2i_Grossjean_2025
