,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,10974,1a_Ghoteimi_2023,receptor_tmp,1,10,-6.08,-0.14829268292682926,0.0,0.0,8,185.54,-9.36,-8.95,-0.41,-9.36,0.0,-3.62,3.28,-3.62,23,4,0.0,0.0,0.0,1.454424,6.244478,2.097497,-0.6610112,-0.39227209,-0.6396771,296.453613,"175.062973, 177.613327, 265.241119, 91.192764, 213.842438, 150.214035, 62.903522, 163.28157, 108.853386, 176.85437, 106.594307, ","[["" 128.441"", "" 125.044"", ""  57.132""], ["" 127.959"", "" 126.244"", ""  57.524""], ["" 129.527"", "" 124.852"", ""  56.586""], ["" 127.072"", "" 126.231"", ""  58.005""], ["" 127.532"", "" 123.848"", ""  57.414""], ["" 126.571"", "" 124.078"", ""  58.939""], ["" 127.518"", "" 125.184"", ""  59.959""], ["" 129.329"", "" 125.766"", ""  61.460""], ["" 128.662"", "" 124.787"", ""  60.685""], ["" 128.816"", "" 127.070"", ""  61.473""], ["" 129.142"", "" 123.402"", ""  60.644""], ["" 127.687"", "" 127.401"", ""  60.714""], ["" 129.522"", "" 122.309"", ""  60.612""], ["" 127.054"", "" 126.456"", ""  59.968""], ["" 130.555"", "" 125.493"", ""  62.269""], ["" 132.856"", "" 124.941"", ""  63.787""], ["" 131.715"", "" 125.463"", ""  64.396""], ["" 132.838"", "" 124.691"", ""  62.406""], ["" 130.573"", "" 125.734"", ""  63.647""], ["" 131.696"", "" 124.964"", ""  61.659""], ["" 133.939"", "" 124.704"", ""  64.610""], ["" 133.871"", "" 125.093"", ""  65.977""], ["" 127.100"", "" 128.783"", ""  60.687""], ["" 126.465"", "" 129.328"", ""  61.815""], ["" 127.164"", "" 129.573"", ""  59.529""], ["" 125.923"", "" 130.609"", ""  61.788""], ["" 126.623"", "" 130.854"", ""  59.498""], ["" 125.996"", "" 131.385"", ""  60.634""], ["" 125.433"", "" 132.646"", ""  60.698""], ["" 126.202"", "" 133.723"", ""  61.222""], ["" 128.528"", "" 127.527"", ""  57.406""], ["" 128.011"", "" 128.565"", ""  56.617""], ["" 129.685"", "" 127.748"", ""  58.153""], ["" 128.654"", "" 129.800"", ""  56.576""], ["" 130.327"", "" 128.983"", ""  58.113""], ["" 129.820"", "" 130.024"", ""  57.324""], ["" 130.534"", "" 131.344"", ""  57.305""], ["" 130.179"", "" 132.297"", ""  56.605""], ["" 131.611"", "" 131.382"", ""  58.131""], ["" 131.453"", "" 131.411"", ""  59.545""], ["" 130.013"", "" 131.807"", ""  59.885""]]",[],1a_Ghoteimi_2023
1,1269,1a_Grossjean_2025,receptor_tmp,1,12,-7.61,-0.28185185185185185,0.0,0.0,4,190.9,-9.69,-9.25,-0.45,-9.69,0.0,-0.77,2.09,-0.77,52,9,0.0,0.0,0.0,5.455934,10.728661,10.03877,0.35793696,-0.31986575,0.8772497,233.310684,"0.649279, 348.695984, 226.807938, 263.005707, 45.129219, 264.86203, 114.002373, ","[["" 129.802"", "" 127.112"", ""  67.847""], ["" 130.815"", "" 127.368"", ""  68.772""], ["" 130.505"", "" 127.638"", ""  70.102""], ["" 129.173"", "" 127.656"", ""  70.534""], ["" 128.156"", "" 127.390"", ""  69.603""], ["" 128.465"", "" 127.119"", ""  68.273""], ["" 130.229"", "" 126.854"", ""  66.530""], ["" 130.581"", "" 125.690"", ""  65.944""], ["" 130.588"", "" 124.587"", ""  66.491""], ["" 130.241"", "" 127.670"", ""  65.936""], ["" 130.999"", "" 125.796"", ""  64.476""], ["" 132.606"", "" 125.006"", ""  64.162""], ["" 132.421"", "" 123.968"", ""  62.729""], ["" 131.444"", "" 122.164"", ""  61.441""], ["" 131.489"", "" 122.906"", ""  62.644""], ["" 132.322"", "" 122.491"", ""  60.402""], ["" 130.612"", "" 122.550"", ""  63.763""], ["" 133.224"", "" 123.538"", ""  60.583""], ["" 129.920"", "" 122.267"", ""  64.645""], ["" 133.282"", "" 124.264"", ""  61.724""], ["" 130.475"", "" 121.003"", ""  61.226""], ["" 134.208"", "" 123.934"", ""  59.498""], ["" 128.873"", "" 127.955"", ""  71.974""], ["" 128.304"", "" 128.985"", ""  72.349""], ["" 129.278"", "" 126.974"", ""  72.822""], ["" 130.609"", "" 126.940"", ""  73.323""], ["" 131.151"", "" 125.511"", ""  73.235""]]",[],1a_Grossjean_2025
2,10781,1aa_Ghoteimi_2023,receptor_tmp,1,16,-6.65,-0.16219512195121952,0.0,0.0,2,185.83,-9.94,-9.52,-0.42,-9.94,0.0,-1.25,3.28,-1.25,64,7,0.0,0.0,0.0,3.759776,12.249109,6.943947,0.48433251,0.38833583,0.78397532,236.954865,"79.173897, 130.418243, 201.118866, 245.645416, 129.804565, 62.684032, 84.294937, 315.109894, 334.569153, 191.719604, 12.534693, ","[["" 127.023"", "" 128.969"", ""  65.494""], ["" 128.117"", "" 128.466"", ""  66.110""], ["" 125.917"", "" 129.100"", ""  66.018""], ["" 128.958"", "" 128.432"", ""  65.550""], ["" 127.180"", "" 129.411"", ""  64.030""], ["" 127.030"", "" 128.290"", ""  63.149""], ["" 128.075"", "" 127.900"", ""  62.324""], ["" 129.790"", "" 128.428"", ""  60.690""], ["" 128.730"", "" 128.853"", ""  61.525""], ["" 130.146"", "" 127.073"", ""  60.715""], ["" 128.316"", "" 130.255"", ""  61.600""], ["" 129.463"", "" 126.169"", ""  61.538""], ["" 128.434"", "" 126.587"", ""  62.321""], ["" 127.987"", "" 131.363"", ""  61.660""], ["" 130.550"", "" 129.339"", ""  59.784""], ["" 131.954"", "" 131.063"", ""  58.063""], ["" 131.050"", "" 130.134"", ""  57.551""], ["" 132.150"", "" 131.130"", ""  59.451""], ["" 130.352"", "" 129.281"", ""  58.401""], ["" 131.452"", "" 130.276"", ""  60.300""], ["" 132.601"", "" 131.867"", ""  57.144""], ["" 133.936"", "" 131.552"", ""  56.764""], ["" 129.795"", "" 124.705"", ""  61.591""], ["" 129.121"", "" 123.782"", ""  60.777""], ["" 130.792"", "" 124.215"", ""  62.450""], ["" 129.426"", "" 122.425"", ""  60.826""], ["" 131.098"", "" 122.858"", ""  62.501""], ["" 130.412"", "" 121.948"", ""  61.686""], ["" 130.646"", "" 120.586"", ""  61.667""], ["" 130.251"", "" 119.830"", ""  60.527""], ["" 128.283"", "" 127.981"", ""  67.421""], ["" 127.239"", "" 127.658"", ""  68.300""], ["" 129.604"", "" 127.818"", ""  67.840""], ["" 127.523"", "" 127.184"", ""  69.579""], ["" 129.887"", "" 127.344"", ""  69.117""], ["" 128.851"", "" 127.022"", ""  70.003""], ["" 129.190"", "" 126.514"", ""  71.375""], ["" 128.357"", "" 126.010"", ""  72.135""], ["" 130.500"", "" 126.664"", ""  71.695""], ["" 130.920"", "" 126.753"", ""  73.051""], ["" 132.158"", "" 125.876"", ""  73.261""]]",[],1aa_Ghoteimi_2023
3,10757,1b_Ghoteimi_2023,receptor_tmp,1,5,-6.38,-0.18228571428571427,0.0,0.0,10,185.7,-8.77,-8.21,-0.56,-8.77,0.0,-2.23,2.39,-2.23,33,5,0.0,0.0,0.0,3.58692,8.804043,3.680875,0.41773504,-0.90449716,0.08592043,216.463211,"354.620514, 189.197495, 71.363457, 129.485092, 201.089722, 309.819397, 348.122864, 195.56485, ","[["" 129.692"", "" 125.864"", ""  62.007""], ["" 128.992"", "" 124.852"", ""  61.305""], ["" 129.383"", "" 123.446"", ""  61.440""], ["" 129.693"", "" 122.336"", ""  61.548""], ["" 127.878"", "" 125.235"", ""  60.526""], ["" 127.438"", "" 126.516"", ""  60.470""], ["" 128.100"", "" 127.491"", ""  61.146""], ["" 129.224"", "" 127.182"", ""  61.919""], ["" 130.900"", "" 125.609"", ""  62.847""], ["" 133.175"", "" 125.104"", ""  64.419""], ["" 133.229"", "" 124.970"", ""  63.031""], ["" 131.968"", "" 125.488"", ""  65.021""], ["" 132.103"", "" 125.217"", ""  62.252""], ["" 130.843"", "" 125.735"", ""  64.239""], ["" 134.341"", "" 124.837"", ""  65.110""], ["" 134.383"", "" 125.066"", ""  66.515""], ["" 126.887"", "" 124.104"", ""  59.572""], ["" 127.393"", "" 124.249"", ""  57.825""], ["" 128.846"", "" 123.849"", ""  57.534""], ["" 129.772"", "" 124.544"", ""  58.232""], ["" 129.103"", "" 122.956"", ""  56.723""], ["" 129.437"", "" 125.259"", ""  58.860""], ["" 131.153"", "" 124.399"", ""  58.172""], ["" 131.925"", "" 124.723"", ""  57.147""], ["" 131.910"", "" 123.876"", ""  59.219""], ["" 133.234"", "" 124.411"", ""  57.514""], ["" 133.210"", "" 123.901"", ""  58.769""], ["" 127.553"", "" 128.885"", ""  61.020""], ["" 126.173"", "" 129.111"", ""  60.907""], ["" 128.401"", "" 130.004"", ""  61.018""], ["" 125.663"", "" 130.401"", ""  60.792""], ["" 127.894"", "" 131.295"", ""  60.904""], ["" 126.513"", "" 131.505"", ""  60.789""], ["" 125.917"", "" 132.746"", ""  60.672""], ["" 126.689"", "" 133.913"", ""  60.933""]]",[],1b_Ghoteimi_2023
4,10596,1b_Grossjean_2025,receptor_tmp,1,3,-7.62,-0.29307692307692307,0.0,0.0,3,190.24,-9.41,-8.88,-0.52,-9.41,0.0,-0.64,1.79,-0.64,55,10,0.0,0.0,0.0,5.657431,10.810199,9.686716,0.12305899,-0.72569905,0.67691756,198.463913,"241.742859, 274.124451, 29.391224, 193.016678, 268.377319, 263.711304, ","[["" 130.632"", "" 125.705"", ""  65.911""], ["" 130.219"", "" 126.864"", ""  66.470""], ["" 130.693"", "" 124.618"", ""  66.484""], ["" 130.234"", "" 127.675"", ""  65.868""], ["" 131.036"", "" 125.795"", ""  64.439""], ["" 132.654"", "" 125.029"", ""  64.124""], ["" 132.472"", "" 123.965"", ""  62.709""], ["" 131.511"", "" 122.128"", ""  61.458""], ["" 131.552"", "" 122.892"", ""  62.647""], ["" 132.360"", "" 122.463"", ""  60.400""], ["" 130.640"", "" 122.587"", ""  63.752""], ["" 133.220"", "" 123.551"", ""  60.540""], ["" 129.919"", "" 122.343"", ""  64.623""], ["" 133.277"", "" 124.296"", ""  61.669""], ["" 130.565"", "" 120.942"", ""  61.275""], ["" 134.160"", "" 123.970"", ""  59.425""], ["" 129.780"", "" 127.134"", ""  67.780""], ["" 130.787"", "" 127.353"", ""  68.721""], ["" 128.438"", "" 127.197"", ""  68.184""], ["" 130.468"", "" 127.630"", ""  70.046""], ["" 128.120"", "" 127.473"", ""  69.510""], ["" 129.128"", "" 127.694"", ""  70.458""], ["" 128.747"", "" 127.992"", ""  71.880""], ["" 128.567"", "" 129.136"", ""  72.308""], ["" 128.627"", "" 126.879"", ""  72.648""], ["" 129.109"", "" 125.621"", ""  72.192""]]",[],1b_Grossjean_2025
5,736,1c_Ghoteimi_2023,receptor_tmp,1,5,-5.86,-0.16742857142857143,0.0,0.0,5,189.89,-8.25,-7.89,-0.36,-8.25,0.0,-2.52,2.39,-2.52,40,7,0.0,0.0,0.0,2.897969,9.682505,5.961968,-0.40491103,0.90139785,-0.15339157,156.330139,"184.743149, 313.40564, 161.535339, 18.991735, 30.253403, 197.337967, 144.269073, 198.603317, ","[["" 129.354"", "" 125.996"", ""  61.716""], ["" 128.541"", "" 124.990"", ""  61.143""], ["" 128.926"", "" 123.576"", ""  61.209""], ["" 129.231"", "" 122.461"", ""  61.263""], ["" 127.341"", "" 125.387"", ""  60.518""], ["" 126.958"", "" 126.683"", ""  60.429""], ["" 127.755"", "" 127.656"", ""  60.942""], ["" 128.950"", "" 127.330"", ""  61.592""], ["" 130.606"", "" 125.716"", ""  62.480""], ["" 132.975"", "" 125.236"", ""  63.912""], ["" 131.810"", "" 125.617"", ""  64.579""], ["" 132.949"", "" 125.100"", ""  62.516""], ["" 130.637"", "" 125.857"", ""  63.871""], ["" 131.774"", "" 125.341"", ""  61.809""], ["" 134.092"", "" 125.019"", ""  64.696""], ["" 133.971"", "" 125.093"", ""  66.113""], ["" 126.144"", "" 124.221"", ""  59.906""], ["" 127.033"", "" 123.261"", ""  58.637""], ["" 128.232"", "" 124.027"", ""  58.068""], ["" 129.443"", "" 123.573"", ""  58.458""], ["" 128.041"", "" 125.005"", ""  57.344""], ["" 129.464"", "" 122.755"", ""  59.048""], ["" 130.670"", "" 124.171"", ""  58.215""], ["" 131.778"", "" 124.054"", ""  58.914""], ["" 130.798"", "" 125.159"", ""  56.796""], ["" 132.768"", "" 124.733"", ""  58.368""], ["" 132.470"", "" 125.420"", ""  57.196""], ["" 127.263"", "" 129.069"", ""  60.808""], ["" 128.145"", "" 130.126"", ""  60.533""], ["" 125.903"", "" 129.375"", ""  60.956""], ["" 127.685"", "" 131.433"", ""  60.405""], ["" 125.438"", "" 130.680"", ""  60.827""], ["" 126.331"", "" 131.724"", ""  60.548""], ["" 125.962"", "" 133.048"", ""  60.401""], ["" 126.833"", "" 134.069"", ""  60.874""]]",[],1c_Ghoteimi_2023
6,10698,1c_Grossjean_2025,receptor_tmp,2,9,-7.03,-0.29291666666666666,0.0,0.0,9,190.83,-8.52,-7.99,-0.54,-8.52,0.0,-0.6,1.49,-0.6,51,10,0.0,0.0,0.0,4.055176,8.436144,10.658734,-0.04245594,-0.38430662,0.92222878,155.958084,"30.248581, 70.250244, 24.088888, 10.094171, 305.950317, ","[["" 130.336"", "" 126.873"", ""  67.116""], ["" 129.356"", "" 126.588"", ""  68.000""], ["" 131.317"", "" 127.582"", ""  67.340""], ["" 128.654"", "" 125.933"", ""  67.691""], ["" 130.179"", "" 126.233"", ""  65.735""], ["" 130.617"", "" 124.469"", ""  65.752""], ["" 131.250"", "" 124.031"", ""  64.146""], ["" 132.934"", "" 123.883"", ""  62.410""], ["" 132.572"", "" 124.292"", ""  63.715""], ["" 131.989"", "" 123.232"", ""  61.611""], ["" 133.565"", "" 124.927"", ""  64.586""], ["" 130.717"", "" 122.993"", ""  62.126""], ["" 134.349"", "" 125.428"", ""  65.273""], ["" 130.348"", "" 123.377"", ""  63.370""], ["" 134.327"", "" 124.118"", ""  61.830""], ["" 129.653"", "" 122.277"", ""  61.315""], ["" 129.199"", "" 127.023"", ""  69.331""], ["" 130.246"", "" 127.161"", ""  70.254""], ["" 127.898"", "" 127.357"", ""  69.713""], ["" 129.980"", "" 127.611"", ""  71.544""], ["" 127.637"", "" 127.806"", ""  71.004""], ["" 128.680"", "" 127.934"", ""  71.934""], ["" 128.517"", "" 128.370"", ""  73.235""], ["" 127.201"", "" 128.508"", ""  73.760""]]",[],1c_Grossjean_2025
7,1352,1d_Ghoteimi_2023,receptor_tmp,1,11,-6.04,-0.20133333333333334,0.0,0.0,12,188.74,-8.42,-7.97,-0.45,-8.42,0.0,-1.23,2.39,-1.23,33,6,0.0,0.0,0.0,2.766054,9.486177,4.478611,0.23282139,-0.03516732,-0.97188346,145.185715,"0.194679, 299.812988, 46.075962, 288.242035, 181.491867, 266.099945, 169.532013, 298.011108, ","[["" 126.037"", "" 124.027"", ""  59.539""], ["" 127.112"", "" 125.180"", ""  60.363""], ["" 129.066"", "" 125.832"", ""  61.644""], ["" 128.314"", "" 124.812"", ""  61.010""], ["" 128.603"", "" 127.151"", ""  61.562""], ["" 128.805"", "" 123.431"", ""  60.975""], ["" 127.423"", "" 127.452"", ""  60.870""], ["" 129.194"", "" 122.342"", ""  60.948""], ["" 126.694"", "" 126.466"", ""  60.286""], ["" 130.336"", "" 125.583"", ""  62.392""], ["" 132.735"", "" 125.114"", ""  63.781""], ["" 132.639"", "" 124.830"", ""  62.419""], ["" 131.621"", "" 125.648"", ""  64.447""], ["" 131.453"", "" 125.064"", ""  61.729""], ["" 130.437"", "" 125.882"", ""  63.755""], ["" 133.948"", "" 124.843"", ""  64.385""], ["" 134.101"", "" 125.090"", ""  65.778""], ["" 126.888"", "" 128.849"", ""  60.743""], ["" 126.529"", "" 129.381"", ""  59.495""], ["" 126.737"", "" 129.669"", ""  61.871""], ["" 126.039"", "" 130.678"", ""  59.379""], ["" 126.248"", "" 130.968"", ""  61.759""], ["" 125.894"", "" 131.485"", ""  60.506""], ["" 125.403"", "" 132.759"", ""  60.296""], ["" 126.052"", "" 133.863"", ""  60.919""], ["" 125.928"", "" 124.550"", ""  57.801""], ["" 126.594"", "" 123.469"", ""  56.954""], ["" 125.949"", "" 122.526"", ""  56.492""], ["" 127.916"", "" 123.688"", ""  56.790""], ["" 128.848"", "" 123.219"", ""  57.752""]]",[],1d_Ghoteimi_2023
8,11156,1d_Grossjean_2025,receptor_tmp,1,15,-7.17,-0.3259090909090909,0.0,0.0,1,191.53,-8.36,-8.4,0.04,-8.36,0.0,-0.7,1.19,-0.7,49,5,0.0,0.0,0.0,4.188652,10.166796,18.581795,-0.50221682,-0.73848446,0.44990996,133.435287,"265.219635, 348.078094, 132.661331, 92.621597, ","[["" 130.862"", "" 127.160"", ""  73.262""], ["" 131.453"", "" 125.572"", ""  73.805""], ["" 133.045"", "" 124.054"", ""  74.818""], ["" 132.703"", "" 125.372"", ""  74.438""], ["" 132.155"", "" 123.010"", ""  74.544""], ["" 133.640"", "" 126.473"", ""  74.671""], ["" 130.956"", "" 123.295"", ""  73.895""], ["" 134.382"", "" 127.341"", ""  74.857""], ["" 130.606"", "" 124.549"", ""  73.525""], ["" 134.361"", "" 123.714"", ""  75.516""], ["" 129.955"", "" 122.206"", ""  73.561""], ["" 129.045"", "" 127.085"", ""  73.242""], ["" 128.467"", "" 127.479"", ""  71.881""], ["" 129.233"", "" 127.161"", ""  70.815""], ["" 127.385"", "" 128.063"", ""  71.835""], ["" 130.120"", "" 126.725"", ""  71.019""], ["" 128.994"", "" 127.361"", ""  69.442""], ["" 130.127"", "" 127.353"", ""  68.623""], ["" 127.725"", "" 127.541"", ""  68.867""], ["" 130.002"", "" 127.537"", ""  67.249""], ["" 127.603"", "" 127.723"", ""  67.492""], ["" 128.741"", "" 127.722"", ""  66.689""]]",[],1d_Grossjean_2025
9,10572,1e_Grossjean_2025,receptor_tmp,1,20,-7.41,-0.32217391304347825,0.0,0.0,3,186.62,-8.61,-8.3,-0.3,-8.61,0.0,-1.15,1.19,-1.15,48,8,0.0,0.0,0.0,8.340098,8.082073,3.68064,-0.33750757,0.94085415,-0.02970026,246.105133,"259.274475, 185.596649, 72.462296, 39.356987, ","[["" 134.186"", "" 123.669"", ""  59.795""], ["" 132.686"", "" 123.813"", ""  58.778""], ["" 131.351"", "" 122.974"", ""  59.609""], ["" 130.280"", "" 121.112"", ""  60.729""], ["" 131.420"", "" 121.643"", ""  60.084""], ["" 129.147"", "" 121.917"", ""  60.889""], ["" 132.635"", "" 120.833"", ""  59.961""], ["" 129.175"", "" 123.226"", ""  60.414""], ["" 133.593"", "" 120.191"", ""  59.865""], ["" 130.255"", "" 123.754"", ""  59.791""], ["" 130.230"", "" 119.686"", ""  61.274""], ["" 127.986"", "" 124.154"", ""  60.574""], ["" 133.862"", "" 123.619"", ""  61.290""], ["" 133.347"", "" 124.751"", ""  61.818""], ["" 134.101"", "" 122.589"", ""  61.923""], ["" 133.266"", "" 125.544"", ""  61.198""], ["" 132.970"", "" 125.003"", ""  63.149""], ["" 133.864"", "" 124.938"", ""  64.178""], ["" 131.620"", "" 125.302"", ""  63.368""], ["" 133.425"", "" 125.181"", ""  65.439""], ["" 131.183"", "" 125.550"", ""  64.671""], ["" 132.093"", "" 125.490"", ""  65.727""], ["" 134.474"", "" 125.094"", ""  66.532""]]",[],1e_Grossjean_2025
10,11328,1f_Grossjean_2025,receptor_tmp,1,4,-6.84,-0.3109090909090909,0.0,0.0,1,189.84,-8.04,-7.82,-0.22,-8.04,0.0,-0.56,1.19,-0.56,48,8,0.0,0.0,0.0,5.513788,8.438436,8.106528,-0.74479539,-0.25211941,-0.61783139,203.181122,"247.494095, 72.469025, 332.992126, 346.898132, ","[["" 132.764"", "" 124.862"", ""  64.257""], ["" 132.568"", "" 123.840"", ""  62.811""], ["" 131.584"", "" 122.066"", ""  61.488""], ["" 131.623"", "" 122.793"", ""  62.700""], ["" 132.455"", "" 122.417"", ""  60.451""], ["" 130.681"", "" 122.477"", ""  63.776""], ["" 133.334"", "" 123.480"", ""  60.637""], ["" 129.936"", "" 122.226"", ""  64.625""], ["" 133.392"", "" 124.187"", ""  61.790""], ["" 130.616"", "" 120.909"", ""  61.253""], ["" 134.295"", "" 123.918"", ""  59.547""], ["" 131.213"", "" 125.787"", ""  64.523""], ["" 130.609"", "" 125.647"", ""  65.928""], ["" 130.118"", "" 126.794"", ""  66.445""], ["" 130.576"", "" 124.550"", ""  66.487""], ["" 130.177"", "" 127.609"", ""  65.853""], ["" 129.510"", "" 127.029"", ""  67.693""], ["" 128.115"", "" 127.134"", ""  67.704""], ["" 130.186"", "" 127.178"", ""  68.919""], ["" 127.391"", "" 127.361"", ""  68.831""], ["" 129.454"", "" 127.412"", ""  70.087""], ["" 128.065"", "" 127.496"", ""  70.000""]]",[],1f_Grossjean_2025
11,778,1g_Grossjean_2025,receptor_tmp,1,19,-6.67,-0.29,0.0,0.0,2,189.74,-8.16,-7.96,-0.2,-8.16,0.0,-0.51,1.49,-0.51,45,10,0.0,0.0,0.0,6.288295,10.271343,8.215475,0.71063456,0.43044567,0.55652048,179.037704,"357.644501, 344.220154, 177.714035, 218.046234, 64.688423, ","[["" 130.759"", "" 125.521"", ""  65.489""], ["" 132.467"", "" 125.467"", ""  64.870""], ["" 132.425"", "" 124.694"", ""  63.268""], ["" 131.712"", "" 124.459"", ""  60.967""], ["" 131.658"", "" 125.177"", ""  62.182""], ["" 132.523"", "" 123.323"", ""  60.878""], ["" 130.856"", "" 126.399"", ""  62.283""], ["" 133.265"", "" 122.933"", ""  61.991""], ["" 130.223"", "" 127.365"", ""  62.359""], ["" 133.227"", "" 123.604"", ""  63.166""], ["" 130.919"", "" 124.876"", ""  59.729""], ["" 134.177"", "" 121.720"", ""  61.953""], ["" 130.559"", "" 126.630"", ""  66.522""], ["" 129.286"", "" 126.939"", ""  66.825""], ["" 131.535"", "" 127.182"", ""  67.032""], ["" 128.545"", "" 126.449"", ""  66.344""], ["" 128.865"", "" 128.001"", ""  67.738""], ["" 129.040"", "" 127.664"", ""  69.216""], ["" 127.930"", "" 127.663"", ""  70.068""], ["" 130.306"", "" 127.348"", ""  69.716""], ["" 128.089"", "" 127.355"", ""  71.416""], ["" 130.464"", "" 127.039"", ""  71.064""], ["" 129.356"", "" 127.044"", ""  71.908""]]",[],1g_Grossjean_2025
12,11320,1h_Grossjean_2025,receptor_tmp,1,3,-5.35,-0.18448275862068964,0.0,0.0,6,186.36,-7.74,-7.41,-0.32,-7.74,0.0,-2.5,2.39,-2.5,47,9,0.0,0.0,0.0,1.553789,10.139464,5.13334,0.88875883,0.41220451,-0.20048736,300.266663,"128.551682, 118.43634, 74.033501, 9.202951, 63.888874, 13.605174, 339.57663, 166.349289, ","[["" 127.455"", "" 126.841"", ""  60.997""], ["" 128.317"", "" 126.393"", ""  61.927""], ["" 127.684"", "" 127.799"", ""  60.259""], ["" 128.043"", "" 125.607"", ""  62.500""], ["" 126.125"", "" 126.096"", ""  60.884""], ["" 126.248"", "" 124.387"", ""  61.495""], ["" 127.521"", "" 123.556"", ""  60.559""], ["" 128.595"", "" 122.888"", ""  58.491""], ["" 127.550"", "" 123.579"", ""  59.146""], ["" 129.553"", "" 122.216"", ""  59.257""], ["" 126.533"", "" 124.294"", ""  58.369""], ["" 129.451"", "" 122.245"", ""  60.646""], ["" 125.731"", "" 124.860"", ""  57.755""], ["" 128.459"", "" 122.901"", ""  61.292""], ["" 128.724"", "" 122.842"", ""  56.970""], ["" 130.457"", "" 121.535"", ""  61.532""], ["" 129.622"", "" 126.982"", ""  62.224""], ["" 130.784"", "" 125.998"", ""  62.120""], ["" 131.633"", "" 125.794"", ""  63.209""], ["" 131.039"", "" 125.341"", ""  60.916""], ["" 132.718"", "" 124.908"", ""  63.119""], ["" 132.120"", "" 124.453"", ""  60.796""], ["" 132.946"", "" 124.237"", ""  61.909""], ["" 133.590"", "" 124.648"", ""  64.161""], ["" 133.284"", "" 125.128"", ""  65.465""], ["" 132.431"", "" 123.767"", ""  59.636""], ["" 132.817"", "" 124.494"", ""  58.475""], ["" 134.011"", "" 123.376"", ""  61.804""], ["" 133.648"", "" 122.003"", ""  61.816""]]",[],1h_Grossjean_2025
13,10828,1i_Grossjean_2025,receptor_tmp,1,16,-7.26,-0.3457142857142857,0.0,0.0,3,191.73,-8.45,-8.02,-0.42,-8.45,0.0,-0.39,1.19,-0.39,44,5,0.0,0.0,0.0,4.392923,8.607001,15.498738,0.34284706,0.93800403,0.05103262,157.903458,"168.222076, 274.291962, 296.421356, 4.902666, ","[["" 130.753"", "" 126.819"", ""  72.871""], ["" 131.387"", "" 125.332"", ""  73.614""], ["" 133.021"", "" 124.003"", ""  74.810""], ["" 132.642"", "" 125.250"", ""  74.263""], ["" 132.161"", "" 122.907"", ""  74.676""], ["" 133.550"", "" 126.397"", ""  74.348""], ["" 130.954"", "" 123.073"", ""  74.000""], ["" 134.269"", "" 127.301"", ""  74.416""], ["" 130.570"", "" 124.259"", ""  73.472""], ["" 134.346"", "" 123.792"", ""  75.541""], ["" 129.984"", "" 121.922"", ""  73.812""], ["" 130.792"", "" 126.593"", ""  71.068""], ["" 129.638"", "" 127.319"", ""  70.372""], ["" 129.356"", "" 126.897"", ""  69.120""], ["" 129.048"", "" 128.222"", ""  70.966""], ["" 129.897"", "" 126.124"", ""  68.758""], ["" 128.365"", "" 127.376"", ""  68.275""], ["" 127.086"", "" 127.039"", ""  68.306""], ["" 128.611"", "" 128.303"", ""  67.263""], ["" 126.456"", "" 127.755"", ""  67.287""], ["" 127.389"", "" 128.514"", ""  66.666""]]",[],1i_Grossjean_2025
14,709,1j_Grossjean_2025,receptor_tmp,1,3,-6.88,-0.3276190476190476,0.0,0.0,1,192.69,-8.08,-7.69,-0.39,-8.08,0.0,-0.46,1.19,-0.46,44,6,0.0,0.0,0.0,4.12871,10.484644,17.276168,0.63285634,0.61497329,-0.47042609,225.090103,"272.407318, 13.299996, 153.093643, 336.676849, ","[["" 130.591"", "" 127.062"", ""  72.082""], ["" 130.833"", "" 125.509"", ""  72.917""], ["" 132.018"", "" 123.943"", ""  74.333""], ["" 131.956"", "" 125.218"", ""  73.728""], ["" 130.992"", "" 123.022"", ""  74.097""], ["" 133.046"", "" 126.178"", ""  73.919""], ["" 129.937"", "" 123.385"", ""  73.263""], ["" 133.909"", "" 126.934"", ""  74.071""], ["" 129.854"", "" 124.602"", ""  72.677""], ["" 133.174"", "" 123.516"", ""  75.238""], ["" 128.801"", "" 122.426"", ""  72.957""], ["" 128.806"", "" 127.403"", ""  72.056""], ["" 128.458"", "" 128.701"", ""  72.787""], ["" 129.093"", "" 129.807"", ""  72.342""], ["" 127.648"", "" 128.674"", ""  73.714""], ["" 129.717"", "" 129.704"", ""  71.556""], ["" 128.947"", "" 131.099"", ""  72.829""], ["" 128.445"", "" 131.472"", ""  73.987""], ["" 129.486"", "" 132.395"", ""  71.812""], ["" 128.461"", "" 132.783"", ""  74.121""], ["" 128.987"", "" 133.505"", ""  73.053""]]",[],1j_Grossjean_2025
