,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,2020,1a_Ghoteimi_2023,4h2i_c_4_mae_prepped,1,3,-9.93,-0.2421951219512195,0.0,0.0,1,187.78,-13.21,-12.61,-0.61,-13.21,0.0,-1.67,3.28,-1.67,72,6,0.0,0.0,0.0,5.423176,12.740507,10.981532,0.47259754,0.78182999,-0.40668592,168.393021,"189.701385, 0.52894, 89.868515, 57.626102, 13.544102, 2.437776, 114.76059, 317.752594, 129.018127, 304.718353, 206.914154, ","[["" 125.135"", "" 130.613"", ""  63.938""], ["" 125.920"", "" 131.594"", ""  63.440""], ["" 123.908"", "" 130.570"", ""  63.861""], ["" 126.915"", "" 131.459"", ""  63.540""], ["" 125.873"", "" 129.476"", ""  64.644""], ["" 127.555"", "" 129.964"", ""  65.128""], ["" 128.332"", "" 128.497"", ""  65.765""], ["" 129.526"", "" 126.396"", ""  65.580""], ["" 128.940"", "" 127.519"", ""  64.948""], ["" 129.465"", "" 126.310"", ""  66.977""], ["" 128.959"", "" 127.657"", ""  63.488""], ["" 128.863"", "" 127.326"", ""  67.730""], ["" 128.974"", "" 127.765"", ""  62.335""], ["" 128.307"", "" 128.404"", ""  67.116""], ["" 130.212"", "" 125.291"", ""  64.845""], ["" 131.516"", "" 123.197"", ""  63.497""], ["" 131.981"", "" 124.507"", ""  63.387""], ["" 130.390"", "" 122.937"", ""  64.293""], ["" 131.340"", "" 125.545"", ""  64.057""], ["" 129.748"", "" 123.977"", ""  64.961""], ["" 132.216"", "" 122.234"", ""  62.798""], ["" 133.461"", "" 122.578"", ""  62.199""], ["" 128.776"", "" 127.287"", ""  69.228""], ["" 127.582"", "" 126.937"", ""  69.880""], ["" 129.886"", "" 127.604"", ""  70.025""], ["" 127.504"", "" 126.900"", ""  71.270""], ["" 129.812"", "" 127.568"", ""  71.414""], ["" 128.614"", "" 127.213"", ""  72.050""], ["" 128.447"", "" 127.148"", ""  73.420""], ["" 128.033"", "" 128.314"", ""  74.125""], ["" 125.566"", "" 132.771"", ""  62.754""], ["" 126.318"", "" 133.359"", ""  61.726""], ["" 124.365"", "" 133.363"", ""  63.146""], ["" 125.870"", "" 134.525"", ""  61.111""], ["" 123.918"", "" 134.529"", ""  62.530""], ["" 124.665"", "" 135.125"", ""  61.505""], ["" 124.153"", "" 136.380"", ""  60.860""], ["" 123.029"", "" 136.475"", ""  60.357""], ["" 125.052"", "" 137.398"", ""  60.881""], ["" 125.692"", "" 137.788"", ""  62.090""], ["" 127.174"", "" 138.057"", ""  61.815""]]",[],1a_Ghoteimi_2023
1,9956,1a_Grossjean_2025,4h2i_c_4_mae_prepped,1,8,-7.62,-0.2822222222222222,0.0,0.0,6,190.78,-9.71,-9.48,-0.23,-9.71,0.0,-1.94,2.09,-1.94,61,2,0.0,0.0,0.0,4.559361,15.184689,6.601576,0.01296404,0.62851528,0.77768919,118.375648,"359.980591, 188.374496, 191.075302, 313.904266, 179.555801, 277.577759, 183.693436, ","[["" 126.539"", "" 131.657"", ""  58.560""], ["" 127.650"", "" 132.282"", ""  59.127""], ["" 128.715"", "" 132.690"", ""  58.330""], ["" 128.688"", "" 132.483"", ""  56.944""], ["" 127.566"", "" 131.861"", ""  56.376""], ["" 126.500"", "" 131.452"", ""  57.172""], ["" 125.523"", "" 131.283"", ""  59.461""], ["" 124.181"", "" 131.367"", ""  59.339""], ["" 123.578"", "" 131.809"", ""  58.361""], ["" 125.865"", "" 130.862"", ""  60.311""], ["" 123.381"", "" 130.859"", ""  60.540""], ["" 122.994"", "" 132.189"", ""  61.717""], ["" 124.281"", "" 133.410"", ""  61.586""], ["" 126.568"", "" 134.203"", ""  61.678""], ["" 125.649"", "" 133.138"", ""  61.823""], ["" 126.094"", "" 135.472"", ""  61.326""], ["" 126.116"", "" 131.812"", ""  62.238""], ["" 124.727"", "" 135.654"", ""  61.135""], ["" 126.487"", "" 130.767"", ""  62.566""], ["" 123.829"", "" 134.649"", ""  61.266""], ["" 128.069"", "" 134.030"", ""  61.898""], ["" 124.150"", "" 137.008"", ""  60.762""], ["" 129.856"", "" 132.932"", ""  56.114""], ["" 129.898"", "" 132.817"", ""  54.885""], ["" 130.853"", "" 133.490"", ""  56.847""], ["" 131.998"", "" 132.736"", ""  57.224""], ["" 131.864"", "" 131.305"", ""  56.693""]]",[],1a_Grossjean_2025
2,2046,1aa_Ghoteimi_2023,4h2i_c_4_mae_prepped,1,4,-9.7,-0.23658536585365852,0.0,0.0,4,186.86,-12.98,-12.33,-0.65,-12.98,0.0,-1.73,3.28,-1.73,72,7,0.0,0.0,0.0,8.723401,14.487326,12.062428,0.60383212,0.66329379,-0.44207252,140.724625,"135.05864, 321.383209, 276.333038, 47.27293, 81.139862, 314.862579, 246.891373, 219.112, 266.422302, 305.977386, 217.064301, ","[["" 128.115"", "" 130.987"", ""  63.576""], ["" 129.263"", "" 131.146"", ""  62.877""], ["" 126.988"", "" 131.218"", ""  63.139""], ["" 130.112"", "" 130.902"", ""  63.368""], ["" 128.236"", "" 130.477"", ""  65.021""], ["" 127.662"", "" 129.169"", ""  65.141""], ["" 128.341"", "" 128.164"", ""  65.815""], ["" 129.760"", "" 126.196"", ""  65.804""], ["" 129.081"", "" 127.213"", ""  65.092""], ["" 129.673"", "" 126.199"", ""  67.202""], ["" 129.149"", "" 127.317"", ""  63.633""], ["" 128.927"", "" 127.178"", ""  67.870""], ["" 128.264"", "" 128.138"", ""  67.174""], ["" 129.201"", "" 127.400"", ""  62.480""], ["" 130.563"", "" 125.120"", ""  65.151""], ["" 132.100"", "" 123.098"", ""  63.944""], ["" 132.651"", "" 124.356"", ""  64.188""], ["" 130.769"", "" 122.854"", ""  64.313""], ["" 131.893"", "" 125.357"", ""  64.788""], ["" 130.012"", "" 123.856"", ""  64.913""], ["" 132.927"", "" 122.168"", ""  63.344""], ["" 133.729"", "" 122.562"", ""  62.237""], ["" 128.790"", "" 127.217"", ""  69.365""], ["" 129.887"", "" 127.525"", ""  70.183""], ["" 127.560"", "" 126.953"", ""  69.991""], ["" 129.762"", "" 127.561"", ""  71.569""], ["" 127.433"", "" 126.987"", ""  71.376""], ["" 128.540"", "" 127.292"", ""  72.180""], ["" 128.511"", "" 127.349"", ""  73.560""], ["" 128.070"", "" 128.544"", ""  74.196""], ["" 129.473"", "" 131.592"", ""  61.559""], ["" 130.422"", "" 131.065"", ""  60.670""], ["" 128.650"", "" 132.638"", ""  61.139""], ["" 130.541"", "" 131.588"", ""  59.384""], ["" 128.769"", "" 133.158"", ""  59.854""], ["" 129.716"", "" 132.641"", ""  58.960""], ["" 129.821"", "" 133.226"", ""  57.581""], ["" 128.858"", "" 133.330"", ""  56.815""], ["" 131.077"", "" 133.629"", ""  57.262""], ["" 132.019"", "" 132.722"", ""  56.702""], ["" 131.312"", "" 131.809"", ""  55.696""]]",[],1aa_Ghoteimi_2023
3,1144,1b_Ghoteimi_2023,4h2i_c_4_mae_prepped,1,3,-8.95,-0.25571428571428567,0.0,0.0,2,187.95,-11.34,-10.96,-0.38,-11.34,0.0,-1.99,2.39,-1.99,61,8,0.0,0.0,0.0,3.822105,14.459583,7.692497,0.10363876,0.85040425,-0.51582131,184.155991,"176.117447, 244.773666, 265.765472, 219.424332, 194.832611, 116.14061, 249.120193, 309.205658, ","[["" 126.748"", "" 130.259"", ""  62.696""], ["" 125.366"", "" 130.554"", ""  62.591""], ["" 124.442"", "" 130.184"", ""  63.666""], ["" 123.712"", "" 129.892"", ""  64.516""], ["" 124.926"", "" 131.266"", ""  61.453""], ["" 125.781"", "" 131.707"", ""  60.498""], ["" 127.108"", "" 131.433"", ""  60.596""], ["" 127.606"", "" 130.714"", ""  61.688""], ["" 127.349"", "" 129.493"", ""  63.829""], ["" 128.467"", "" 128.032"", ""  65.955""], ["" 128.649"", "" 127.615"", ""  64.636""], ["" 127.713"", "" 129.187"", ""  66.207""], ["" 128.093"", "" 128.336"", ""  63.583""], ["" 127.159"", "" 129.906"", ""  65.152""], ["" 129.053"", "" 127.253"", ""  66.934""], ["" 129.722"", "" 126.054"", ""  66.560""], ["" 123.230"", "" 131.718"", ""  61.149""], ["" 122.720"", "" 132.891"", ""  62.449""], ["" 123.586"", "" 134.154"", ""  62.560""], ["" 124.109"", "" 134.584"", ""  61.390""], ["" 123.762"", "" 134.703"", ""  63.650""], ["" 123.901"", "" 134.042"", ""  60.564""], ["" 124.927"", "" 135.690"", ""  61.190""], ["" 124.528"", "" 136.889"", ""  60.797""], ["" 126.307"", "" 135.661"", ""  61.382""], ["" 125.670"", "" 137.689"", ""  60.726""], ["" 126.736"", "" 136.934"", ""  61.083""], ["" 127.983"", "" 131.948"", ""  59.488""], ["" 129.309"", "" 132.333"", ""  59.735""], ["" 127.507"", "" 132.055"", ""  58.172""], ["" 130.123"", "" 132.809"", ""  58.712""], ["" 128.317"", "" 132.529"", ""  57.145""], ["" 129.639"", "" 132.912"", ""  57.409""], ["" 130.519"", "" 133.394"", ""  56.458""], ["" 131.639"", "" 132.600"", ""  56.085""]]",[],1b_Ghoteimi_2023
4,2592,1b_Grossjean_2025,4h2i_c_4_mae_prepped,1,13,-7.35,-0.2826923076923077,0.0,0.0,10,190.33,-9.14,-8.91,-0.23,-9.14,0.0,-1.84,1.79,-1.84,57,2,0.0,0.0,0.0,4.258984,16.021072,7.192301,0.6909763,-0.44920051,-0.56636618,168.855484,"233.891724, 122.72139, 348.181183, 260.798828, 187.905258, 133.535461, ","[["" 124.291"", "" 131.491"", ""  59.346""], ["" 125.623"", "" 131.385"", ""  59.548""], ["" 123.755"", "" 132.000"", ""  58.363""], ["" 125.906"", "" 130.947"", ""  60.412""], ["" 123.413"", "" 130.906"", ""  60.453""], ["" 123.036"", "" 132.126"", ""  61.747""], ["" 124.248"", "" 133.424"", ""  61.622""], ["" 126.478"", "" 134.358"", ""  61.746""], ["" 125.625"", "" 133.240"", ""  61.887""], ["" 125.938"", "" 135.584"", ""  61.345""], ["" 126.176"", "" 131.935"", ""  62.263""], ["" 124.572"", "" 135.669"", ""  61.084""], ["" 126.613"", "" 130.906"", ""  62.560""], ["" 123.737"", "" 134.611"", ""  61.213""], ["" 127.981"", "" 134.285"", ""  62.010""], ["" 123.927"", "" 136.968"", ""  60.637""], ["" 126.699"", "" 131.807"", ""  58.743""], ["" 126.609"", "" 131.472"", ""  57.392""], ["" 127.816"", "" 132.522"", ""  59.202""], ["" 127.616"", "" 131.840"", ""  56.505""], ["" 128.822"", "" 132.889"", ""  58.313""], ["" 128.736"", "" 132.555"", ""  56.955""], ["" 129.841"", "" 132.970"", ""  56.025""], ["" 129.770"", "" 132.858"", ""  54.797""], ["" 130.925"", "" 133.472"", ""  56.670""], ["" 131.889"", "" 132.609"", ""  57.258""]]",[],1b_Grossjean_2025
5,9242,1c_Ghoteimi_2023,4h2i_c_4_mae_prepped,1,11,-8.72,-0.24914285714285717,0.0,0.0,4,188.95,-11.11,-10.78,-0.33,-11.11,0.0,-2.42,2.39,-2.42,73,5,0.0,0.0,0.0,8.449073,7.876476,10.123964,0.97101486,-0.22961551,0.06638423,252.203186,"312.33136, 358.413269, 145.617554, 351.984009, 326.278687, 74.134315, 219.833054, 165.45369, ","[["" 130.374"", "" 124.799"", ""  64.017""], ["" 131.701"", "" 124.467"", ""  63.654""], ["" 132.819"", "" 124.699"", ""  64.575""], ["" 133.699"", "" 124.883"", ""  65.303""], ["" 131.915"", "" 123.894"", ""  62.383""], ["" 130.910"", "" 123.673"", ""  61.502""], ["" 129.639"", "" 124.027"", ""  61.830""], ["" 129.355"", "" 124.584"", ""  63.082""], ["" 129.989"", "" 125.333"", ""  65.356""], ["" 129.220"", "" 126.319"", ""  67.871""], ["" 129.823"", "" 125.067"", ""  67.757""], ["" 128.998"", "" 127.079"", ""  66.713""], ["" 130.202"", "" 124.576"", ""  66.512""], ["" 129.379"", "" 126.586"", ""  65.468""], ["" 128.876"", "" 126.725"", ""  69.147""], ["" 129.231"", "" 128.035"", ""  69.578""], ["" 133.500"", "" 123.275"", ""  61.862""], ["" 133.196"", "" 122.537"", ""  60.223""], ["" 132.748"", "" 121.075"", ""  60.321""], ["" 131.441"", "" 120.891"", ""  60.611""], ["" 133.576"", "" 120.174"", ""  60.177""], ["" 130.865"", "" 121.715"", ""  60.697""], ["" 130.819"", "" 119.688"", ""  60.904""], ["" 129.912"", "" 119.452"", ""  61.828""], ["" 131.233"", "" 118.324"", ""  59.917""], ["" 129.508"", "" 118.197"", ""  61.799""], ["" 130.092"", "" 117.385"", ""  60.832""], ["" 128.578"", "" 123.750"", ""  60.805""], ["" 127.252"", "" 124.167"", ""  60.996""], ["" 128.883"", "" 123.062"", ""  59.621""], ["" 126.272"", "" 123.912"", ""  60.041""], ["" 127.906"", "" 122.807"", ""  58.663""], ["" 126.587"", "" 123.234"", ""  58.867""], ["" 125.553"", "" 123.027"", ""  57.973""], ["" 124.598"", "" 124.062"", ""  57.763""]]",[],1c_Ghoteimi_2023
6,1612,1c_Grossjean_2025,4h2i_c_4_mae_prepped,1,9,-7.02,-0.2925,0.0,0.0,7,190.84,-8.52,-8.26,-0.26,-8.52,0.0,-1.94,1.49,-1.94,54,2,0.0,0.0,0.0,3.914585,14.913318,6.946205,-0.81308748,-0.21309678,-0.54173657,243.105087,"69.193558, 186.365082, 175.711792, 80.61721, 311.098358, ","[["" 124.619"", "" 131.654"", ""  59.170""], ["" 125.941"", "" 131.731"", ""  59.437""], ["" 124.095"", "" 131.886"", ""  58.081""], ["" 126.227"", "" 131.441"", ""  60.360""], ["" 123.737"", "" 131.230"", ""  60.347""], ["" 123.520"", "" 132.576"", ""  61.548""], ["" 125.020"", "" 133.535"", ""  61.597""], ["" 126.360"", "" 135.539"", ""  61.357""], ["" 125.097"", "" 134.909"", ""  61.269""], ["" 127.468"", "" 134.794"", ""  61.774""], ["" 123.915"", "" 135.686"", ""  60.886""], ["" 127.296"", "" 133.452"", ""  62.103""], ["" 122.982"", "" 136.299"", ""  60.584""], ["" 126.098"", "" 132.828"", ""  62.024""], ["" 126.570"", "" 137.014"", ""  61.019""], ["" 128.455"", "" 132.595"", ""  62.578""], ["" 127.004"", "" 132.099"", ""  58.589""], ["" 127.060"", "" 131.824"", ""  57.215""], ["" 128.044"", "" 132.811"", ""  59.189""], ["" 128.156"", "" 132.244"", ""  56.466""], ["" 129.138"", "" 133.229"", ""  58.437""], ["" 129.203"", "" 132.945"", ""  57.064""], ["" 130.246"", "" 133.318"", ""  56.239""], ["" 131.434"", "" 132.533"", ""  56.224""]]",[],1c_Grossjean_2025
7,8965,1d_Ghoteimi_2023,4h2i_c_4_mae_prepped,1,13,-7.78,-0.25933333333333336,0.0,0.0,9,188.84,-10.17,-9.74,-0.42,-10.17,0.0,-1.43,2.39,-1.43,63,7,0.0,0.0,0.0,8.924488,8.659822,8.641752,0.90576712,0.05710811,-0.4199102,100.324112,"156.597351, 359.403259, 182.457687, 342.865723, 205.803833, 218.486679, 345.368042, 98.346085, ","[["" 133.348"", "" 123.191"", ""  60.878""], ["" 131.791"", "" 123.666"", ""  61.595""], ["" 130.349"", "" 124.512"", ""  63.352""], ["" 131.653"", "" 124.192"", ""  62.899""], ["" 129.274"", "" 124.329"", ""  62.472""], ["" 132.823"", "" 124.462"", ""  63.740""], ["" 129.487"", "" 123.841"", ""  61.177""], ["" 133.747"", "" 124.675"", ""  64.404""], ["" 130.736"", "" 123.512"", ""  60.759""], ["" 130.051"", "" 125.044"", ""  64.717""], ["" 129.478"", "" 126.058"", ""  67.276""], ["" 129.124"", "" 126.777"", ""  66.134""], ["" 130.116"", "" 124.817"", ""  67.130""], ["" 129.404"", "" 126.275"", ""  64.866""], ["" 130.394"", "" 124.317"", ""  65.861""], ["" 129.167"", "" 126.636"", ""  68.491""], ["" 128.978"", "" 128.045"", ""  68.563""], ["" 128.373"", "" 123.635"", ""  60.193""], ["" 128.611"", "" 123.067"", ""  58.931""], ["" 127.057"", "" 124.012"", ""  60.501""], ["" 127.578"", "" 122.883"", ""  58.017""], ["" 126.021"", "" 123.831"", ""  59.589""], ["" 126.275"", "" 123.262"", ""  58.333""], ["" 125.315"", "" 123.045"", ""  57.364""], ["" 125.688"", "" 122.403"", ""  56.150""], ["" 133.930"", "" 124.600"", ""  59.887""], ["" 133.301"", "" 124.478"", ""  58.502""], ["" 133.887"", "" 123.911"", ""  57.578""], ["" 132.079"", "" 125.047"", ""  58.442""], ["" 131.816"", "" 126.264"", ""  59.122""]]",[],1d_Ghoteimi_2023
8,1966,1d_Grossjean_2025,4h2i_c_4_mae_prepped,1,13,-7.34,-0.3336363636363636,0.0,0.0,2,191.0,-8.53,-8.56,0.02,-8.53,0.0,-0.85,1.19,-0.85,58,3,0.0,0.0,0.0,6.652393,17.49849,6.896357,-0.9648015,-0.18732377,0.18457483,291.067535,"255.110245, 292.359131, 104.149414, 312.093262, ","[["" 128.240"", "" 134.560"", ""  62.051""], ["" 126.502"", "" 134.770"", ""  61.738""], ["" 124.521"", "" 136.014"", ""  61.108""], ["" 125.919"", "" 135.990"", ""  61.320""], ["" 123.775"", "" 134.852"", ""  61.331""], ["" 126.713"", "" 137.207"", ""  61.139""], ["" 124.428"", "" 133.701"", ""  61.766""], ["" 127.338"", "" 138.171"", ""  60.995""], ["" 125.765"", "" 133.654"", ""  61.972""], ["" 123.781"", "" 137.268"", ""  60.646""], ["" 123.674"", "" 132.413"", ""  62.035""], ["" 128.570"", "" 132.772"", ""  62.103""], ["" 129.018"", "" 132.229"", ""  60.746""], ["" 129.169"", "" 133.155"", ""  59.774""], ["" 129.190"", "" 131.018"", ""  60.610""], ["" 128.944"", "" 134.106"", ""  60.028""], ["" 129.581"", "" 133.001"", ""  58.437""], ["" 128.563"", "" 133.051"", ""  57.480""], ["" 130.912"", "" 132.826"", ""  58.023""], ["" 128.862"", "" 132.915"", ""  56.128""], ["" 131.208"", "" 132.692"", ""  56.670""], ["" 130.183"", "" 132.735"", ""  55.728""]]",[],1d_Grossjean_2025
9,1295,1e_Grossjean_2025,4h2i_c_4_mae_prepped,1,15,-7.87,-0.3421739130434783,0.0,0.0,2,190.2,-9.07,-9.07,0.0,-9.07,0.0,-0.75,1.19,-0.75,61,4,0.0,0.0,0.0,5.941913,17.229288,7.803823,-0.82874192,0.5049314,0.24131124,98.468842,"146.181366, 311.92865, 120.67218, 119.440964, ","[["" 128.561"", "" 132.796"", ""  62.096""], ["" 128.228"", "" 134.581"", ""  62.011""], ["" 126.486"", "" 134.823"", ""  61.723""], ["" 124.511"", "" 136.085"", ""  61.110""], ["" 125.911"", "" 136.046"", ""  61.302""], ["" 123.758"", "" 134.926"", ""  61.322""], ["" 126.721"", "" 137.236"", ""  61.027""], ["" 124.410"", "" 133.758"", ""  61.710""], ["" 127.358"", "" 138.177"", ""  60.810""], ["" 125.748"", "" 133.698"", ""  61.903""], ["" 123.774"", "" 137.349"", ""  60.667""], ["" 123.651"", "" 132.464"", ""  61.937""], ["" 129.009"", "" 132.231"", ""  60.746""], ["" 129.347"", "" 133.145"", ""  59.811""], ["" 129.016"", "" 131.011"", ""  60.578""], ["" 129.230"", "" 134.116"", ""  60.062""], ["" 129.779"", "" 132.927"", ""  58.490""], ["" 128.989"", "" 133.219"", ""  57.414""], ["" 131.054"", "" 132.371"", ""  58.335""], ["" 129.468"", "" 132.969"", ""  56.169""], ["" 131.532"", "" 132.120"", ""  57.046""], ["" 130.733"", "" 132.420"", ""  55.943""], ["" 128.538"", "" 133.320"", ""  55.023""]]",[],1e_Grossjean_2025
10,1312,1f_Grossjean_2025,4h2i_c_4_mae_prepped,1,18,-7.68,-0.34909090909090906,0.0,0.0,5,192.19,-8.87,-8.81,-0.06,-8.87,0.0,-0.66,1.19,-0.66,44,5,0.0,0.0,0.0,7.128817,16.976134,8.13469,0.96997331,0.23612651,0.05827555,298.290649,"150.366882, 19.525982, 135.339066, 339.723419, ","[["" 128.192"", "" 134.484"", ""  62.143""], ["" 126.444"", "" 134.391"", ""  61.809""], ["" 124.292"", "" 135.244"", ""  61.098""], ["" 125.670"", "" 135.468"", ""  61.317""], ["" 123.754"", "" 133.978"", ""  61.355""], ["" 126.262"", "" 136.771"", ""  61.000""], ["" 124.596"", "" 132.967"", ""  61.811""], ["" 126.727"", "" 137.800"", ""  60.751""], ["" 125.918"", "" 133.160"", ""  62.031""], ["" 123.353"", "" 136.332"", ""  60.581""], ["" 124.078"", "" 131.569"", ""  62.095""], ["" 128.864"", "" 132.787"", ""  62.171""], ["" 129.952"", "" 132.506"", ""  61.123""], ["" 129.561"", "" 132.693"", ""  59.845""], ["" 131.082"", "" 132.161"", ""  61.473""], ["" 128.614"", "" 133.019"", ""  59.713""], ["" 130.286"", "" 132.524"", ""  58.650""], ["" 129.864"", "" 133.272"", ""  57.545""], ["" 131.385"", "" 131.662"", ""  58.473""], ["" 130.462"", "" 133.211"", ""  56.327""], ["" 132.012"", "" 131.588"", ""  57.226""], ["" 131.522"", "" 132.377"", ""  56.184""]]",[],1f_Grossjean_2025
11,9400,1g_Grossjean_2025,4h2i_c_4_mae_prepped,2,9,-7.22,-0.3139130434782609,0.0,0.0,5,183.83,-8.72,-8.51,-0.2,-8.72,0.0,-2.06,1.49,-2.06,30,5,0.0,0.0,0.0,3.320307,9.61499,5.775581,0.9801556,-0.08514599,0.17901162,202.387634,"62.193657, 106.436241, 180.304764, 321.43808, 329.478821, ","[["" 123.783"", "" 123.922"", ""  60.355""], ["" 123.832"", "" 123.886"", ""  58.538""], ["" 125.309"", "" 124.740"", ""  58.033""], ["" 127.447"", "" 124.945"", ""  56.916""], ["" 126.322"", "" 124.154"", ""  57.237""], ["" 127.511"", "" 126.265"", ""  57.375""], ["" 126.210"", "" 122.786"", ""  56.723""], ["" 126.455"", "" 126.769"", ""  58.133""], ["" 126.124"", "" 121.707"", ""  56.314""], ["" 125.368"", "" 126.028"", ""  58.455""], ["" 128.610"", "" 124.420"", ""  56.074""], ["" 126.456"", "" 128.196"", ""  58.646""], ["" 125.182"", "" 123.850"", ""  60.967""], ["" 125.950"", "" 124.944"", ""  60.826""], ["" 125.547"", "" 122.831"", ""  61.555""], ["" 125.578"", "" 125.729"", ""  60.311""], ["" 127.335"", "" 125.074"", ""  61.280""], ["" 128.101"", "" 123.756"", ""  61.341""], ["" 128.596"", "" 123.292"", ""  62.564""], ["" 128.300"", "" 123.009"", ""  60.176""], ["" 129.295"", "" 122.089"", ""  62.621""], ["" 128.998"", "" 121.805"", ""  60.234""], ["" 129.492"", "" 121.351"", ""  61.455""]]",[],1g_Grossjean_2025
12,1309,1h_Grossjean_2025,4h2i_c_4_mae_prepped,1,6,-6.9,-0.23793103448275862,0.0,0.0,4,189.23,-9.29,-8.85,-0.44,-9.29,0.0,-2.11,2.39,-2.11,50,8,0.0,0.0,0.0,2.905468,16.045548,6.387137,0.79429021,-0.58399753,-0.16748121,276.076385,"117.574631, 106.271759, 190.814972, 344.521912, 39.540508, 186.738083, 346.397461, 19.096912, ","[["" 124.107"", "" 131.239"", ""  59.350""], ["" 125.169"", "" 130.416"", ""  59.426""], ["" 123.761"", "" 131.812"", ""  58.317""], ["" 125.390"", "" 129.997"", ""  60.318""], ["" 123.316"", "" 131.452"", ""  60.640""], ["" 123.908"", "" 132.899"", ""  61.570""], ["" 125.523"", "" 132.512"", ""  62.227""], ["" 127.041"", "" 131.221"", ""  63.606""], ["" 125.727"", "" 131.449"", ""  63.137""], ["" 128.079"", "" 132.044"", ""  63.158""], ["" 124.621"", "" 130.601"", ""  63.588""], ["" 127.789"", "" 133.068"", ""  62.259""], ["" 123.747"", "" 129.930"", ""  63.944""], ["" 126.539"", "" 133.304"", ""  61.797""], ["" 127.379"", "" 130.105"", ""  64.593""], ["" 128.870"", "" 133.996"", ""  61.736""], ["" 126.079"", "" 130.106"", ""  58.324""], ["" 127.251"", "" 131.073"", ""  58.195""], ["" 127.392"", "" 131.860"", ""  57.052""], ["" 128.221"", "" 131.134"", ""  59.197""], ["" 128.478"", "" 132.739"", ""  56.912""], ["" 129.320"", "" 132.000"", ""  59.082""], ["" 129.431"", "" 132.805"", ""  57.939""], ["" 128.674"", "" 133.557"", ""  55.814""], ["" 127.933"", "" 133.315"", ""  54.623""], ["" 130.317"", "" 132.114"", ""  60.034""], ["" 130.791"", "" 130.944"", ""  60.693""], ["" 130.505"", "" 133.653"", ""  57.810""], ["" 131.562"", "" 133.131"", ""  57.017""]]",[],1h_Grossjean_2025
13,1679,1i_Grossjean_2025,4h2i_c_4_mae_prepped,2,20,-7.61,-0.3623809523809524,0.0,0.0,8,191.41,-8.81,-8.7,-0.1,-8.81,0.0,-0.8,1.19,-0.8,49,5,0.0,0.0,0.0,6.366114,17.876252,6.868641,0.98532332,0.11654133,-0.12472401,78.236305,"265.085724, 224.623901, 129.971375, 296.447235, ","[["" 128.114"", "" 134.503"", ""  62.052""], ["" 126.387"", "" 134.801"", ""  61.745""], ["" 124.471"", "" 136.141"", ""  61.110""], ["" 125.867"", "" 136.045"", ""  61.317""], ["" 123.666"", "" 135.022"", ""  61.350""], ["" 126.722"", "" 137.219"", ""  61.121""], ["" 124.261"", "" 133.843"", ""  61.793""], ["" 127.395"", "" 138.148"", ""  60.966""], ["" 125.595"", "" 133.727"", ""  61.994""], ["" 123.794"", "" 137.427"", ""  60.641""], ["" 123.441"", "" 132.599"", ""  62.081""], ["" 128.418"", "" 132.728"", ""  61.807""], ["" 128.524"", "" 132.361"", ""  60.325""], ["" 129.049"", "" 133.315"", ""  59.525""], ["" 128.135"", "" 131.255"", ""  59.948""], ["" 129.357"", "" 134.171"", ""  59.965""], ["" 129.259"", "" 133.242"", ""  58.155""], ["" 130.379"", "" 133.556"", ""  57.523""], ["" 128.284"", "" 132.811"", ""  57.258""], ["" 130.149"", "" 133.334"", ""  56.164""], ["" 128.880"", "" 132.884"", ""  56.020""]]",[],1i_Grossjean_2025
14,9029,1j_Grossjean_2025,4h2i_c_4_mae_prepped,1,8,-7.39,-0.3519047619047619,0.0,0.0,5,191.21,-8.58,-8.58,-0.01,-8.58,0.0,-0.45,1.19,-0.45,43,5,0.0,0.0,0.0,6.576456,17.78741,6.976886,-0.98030029,-0.18161987,0.07762448,287.242279,"260.847961, 213.328522, 27.761406, 338.502472, ","[["" 128.213"", "" 134.531"", ""  62.100""], ["" 126.469"", "" 134.663"", ""  61.769""], ["" 124.444"", "" 135.812"", ""  61.105""], ["" 125.838"", "" 135.851"", ""  61.331""], ["" 123.746"", "" 134.622"", ""  61.337""], ["" 126.579"", "" 137.101"", ""  61.145""], ["" 124.445"", "" 133.507"", ""  61.794""], ["" 127.161"", "" 138.090"", ""  60.998""], ["" 125.781"", "" 133.520"", ""  62.013""], ["" 123.653"", "" 137.027"", ""  60.621""], ["" 123.743"", "" 132.191"", ""  62.078""], ["" 128.669"", "" 132.777"", ""  61.974""], ["" 129.744"", "" 132.538"", ""  60.912""], ["" 129.350"", "" 132.719"", ""  59.633""], ["" 130.876"", "" 132.202"", ""  61.264""], ["" 128.400"", "" 133.020"", ""  59.474""], ["" 130.133"", "" 132.572"", ""  58.496""], ["" 130.116"", "" 133.306"", ""  57.404""], ["" 131.285"", "" 131.276"", ""  58.490""], ["" 130.999"", "" 132.881"", ""  56.522""], ["" 131.760"", "" 131.778"", ""  56.895""]]",[],1j_Grossjean_2025
