,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,6989,1a_Ghoteimi_2023,receptor_tmp,1,16,-9.41,-0.22951219512195123,0.0,0.0,1,188.12,-12.69,-12.17,-0.52,-12.69,0.0,-1.89,3.28,-1.89,66,5,0.0,0.0,0.0,5.985744,15.561839,11.197938,-0.6986089,0.23723084,0.6750312,94.882561,"233.950439, 208.164474, 203.556702, 244.026367, 183.119202, 291.200867, 127.806076, 287.621796, 279.610779, 177.022156, 237.165985, ","[["" 129.466"", "" 131.835"", ""  62.686""], ["" 128.872"", "" 131.557"", ""  61.505""], ["" 130.491"", "" 132.499"", ""  62.834""], ["" 128.005"", "" 131.042"", ""  61.554""], ["" 128.771"", "" 131.262"", ""  63.922""], ["" 127.945"", "" 129.685"", ""  63.559""], ["" 128.795"", "" 128.450"", ""  64.515""], ["" 130.279"", "" 126.560"", ""  64.823""], ["" 129.662"", "" 127.489"", ""  63.951""], ["" 129.991"", "" 126.637"", ""  66.192""], ["" 129.913"", "" 127.449"", ""  62.507""], ["" 129.135"", "" 127.628"", ""  66.687""], ["" 130.111"", "" 127.416"", ""  61.367""], ["" 128.550"", "" 128.520"", ""  65.845""], ["" 131.227"", "" 125.496"", ""  64.371""], ["" 133.014"", "" 123.515"", ""  63.485""], ["" 131.651"", "" 123.240"", ""  63.596""], ["" 133.480"", "" 124.796"", ""  63.817""], ["" 130.763"", "" 124.221"", ""  64.031""], ["" 132.591"", "" 125.776"", ""  64.253""], ["" 133.817"", "" 122.482"", ""  63.045""], ["" 133.498"", "" 121.828"", ""  61.821""], ["" 128.798"", "" 127.759"", ""  68.144""], ["" 129.638"", "" 128.455"", ""  69.028""], ["" 127.632"", "" 127.181"", ""  68.671""], ["" 129.322"", "" 128.575"", ""  70.379""], ["" 127.313"", "" 127.300"", ""  70.020""], ["" 128.160"", "" 128.002"", ""  70.889""], ["" 127.925"", "" 128.173"", ""  72.240""], ["" 128.537"", "" 129.265"", ""  72.917""], ["" 129.252"", "" 131.917"", ""  60.198""], ["" 128.517"", "" 132.761"", ""  59.351""], ["" 130.461"", "" 131.385"", ""  59.751""], ["" 128.990"", "" 133.055"", ""  58.075""], ["" 130.934"", "" 131.680"", ""  58.475""], ["" 130.205"", "" 132.518"", ""  57.621""], ["" 130.744"", "" 132.819"", ""  56.252""], ["" 130.145"", "" 133.513"", ""  55.425""], ["" 131.952"", "" 132.246"", ""  56.015""], ["" 132.060"", "" 131.037"", ""  55.273""], ["" 132.649"", "" 131.340"", ""  53.892""]]",[],1a_Ghoteimi_2023
1,10168,1a_Grossjean_2025,receptor_tmp,1,3,-7.77,-0.28777777777777774,0.0,0.0,5,190.35,-9.85,-9.59,-0.26,-9.85,0.0,-1.75,2.09,-1.75,51,4,0.0,0.0,0.0,5.020182,16.101892,7.590624,-0.24312428,0.72614594,0.64311947,128.320221,"139.980103, 90.999733, 145.534592, 283.51297, 127.928513, 78.484482, 76.456306, ","[["" 127.054"", "" 131.897"", ""  59.374""], ["" 127.886"", "" 132.991"", ""  59.617""], ["" 128.948"", "" 133.274"", ""  58.764""], ["" 129.198"", "" 132.469"", ""  57.645""], ["" 128.354"", "" 131.374"", ""  57.398""], ["" 127.292"", "" 131.090"", ""  58.251""], ["" 126.014"", "" 131.703"", ""  60.303""], ["" 124.683"", "" 131.885"", ""  60.167""], ["" 124.115"", "" 132.273"", ""  59.146""], ["" 126.323"", "" 131.344"", ""  61.194""], ["" 123.848"", "" 131.570"", ""  61.410""], ["" 124.551"", "" 132.312"", ""  62.914""], ["" 124.764"", "" 131.007"", ""  64.104""], ["" 125.905"", "" 129.122"", ""  65.109""], ["" 125.859"", "" 130.111"", ""  64.099""], ["" 124.873"", "" 129.057"", ""  66.052""], ["" 126.903"", "" 130.166"", ""  63.073""], ["" 123.821"", "" 129.966"", ""  65.966""], ["" 127.729"", "" 130.208"", ""  62.264""], ["" 123.757"", "" 130.923"", ""  65.010""], ["" 127.041"", "" 128.105"", ""  65.213""], ["" 122.668"", "" 129.941"", ""  66.952""], ["" 130.354"", "" 132.800"", ""  56.747""], ["" 131.532"", "" 132.585"", ""  57.050""], ["" 129.975"", "" 133.347"", ""  55.562""], ["" 129.922"", "" 132.563"", ""  54.377""], ["" 131.258"", "" 131.841"", ""  54.181""]]",[],1a_Grossjean_2025
2,6603,1aa_Ghoteimi_2023,receptor_tmp,1,17,-8.93,-0.2178048780487805,0.0,0.0,3,186.12,-12.21,-11.44,-0.77,-12.21,0.0,-2.95,3.28,-2.95,58,11,0.0,0.0,0.0,9.27487,10.396924,12.788308,-0.80643703,0.54415115,0.23142784,139.483856,"207.467865, 343.940796, 115.228561, 35.216663, 266.924225, 43.849174, 27.18667, 14.810998, 259.428192, 196.968765, 63.016739, ","[["" 133.365"", "" 125.170"", ""  65.054""], ["" 132.439"", "" 124.605"", ""  64.245""], ["" 134.583"", "" 125.056"", ""  64.916""], ["" 131.476"", "" 124.799"", ""  64.481""], ["" 132.850"", "" 126.017"", ""  66.229""], ["" 131.548"", "" 125.575"", ""  66.633""], ["" 130.556"", "" 126.498"", ""  66.934""], ["" 128.734"", "" 127.944"", ""  66.246""], ["" 129.734"", "" 127.001"", ""  65.912""], ["" 128.602"", "" 128.318"", ""  67.590""], ["" 129.918"", "" 126.518"", ""  64.542""], ["" 129.445"", "" 127.777"", ""  68.568""], ["" 130.414"", "" 126.886"", ""  68.232""], ["" 130.066"", "" 126.135"", ""  63.460""], ["" 127.811"", "" 128.565"", ""  65.249""], ["" 126.051"", "" 129.739"", ""  63.397""], ["" 125.600"", "" 128.755"", ""  64.276""], ["" 127.395"", "" 130.139"", ""  63.452""], ["" 126.469"", "" 128.175"", ""  65.196""], ["" 128.263"", "" 129.556"", ""  64.372""], ["" 125.119"", "" 130.258"", ""  62.519""], ["" 123.745"", "" 130.265"", ""  62.890""], ["" 129.355"", "" 128.155"", ""  70.019""], ["" 128.155"", "" 128.007"", ""  70.731""], ["" 130.468"", "" 128.662"", ""  70.710""], ["" 128.069"", "" 128.358"", ""  72.075""], ["" 130.384"", "" 129.014"", ""  72.054""], ["" 129.177"", "" 128.865"", ""  72.750""], ["" 128.998"", "" 129.187"", ""  74.081""], ["" 128.101"", "" 130.237"", ""  74.427""], ["" 132.596"", "" 123.786"", ""  63.111""], ["" 133.155"", "" 122.500"", ""  63.116""], ["" 132.144"", "" 124.331"", ""  61.908""], ["" 133.259"", "" 121.779"", ""  61.929""], ["" 132.249"", "" 123.610"", ""  60.723""], ["" 132.808"", "" 122.325"", ""  60.717""], ["" 132.907"", "" 121.574"", ""  59.421""], ["" 133.092"", "" 120.354"", ""  59.358""], ["" 132.775"", "" 122.368"", ""  58.328""], ["" 133.863"", "" 123.150"", ""  57.853""], ["" 133.342"", "" 124.210"", ""  56.878""]]",[],1aa_Ghoteimi_2023
3,6053,1b_Ghoteimi_2023,receptor_tmp,1,11,-8.96,-0.256,0.0,0.0,9,184.46,-11.35,-10.66,-0.69,-11.35,0.0,-2.71,2.39,-2.71,73,12,0.0,0.0,0.0,10.322182,9.299654,7.020013,0.97685278,-0.14030535,-0.16147154,254.777313,"359.348083, 28.359947, 51.571968, 112.499016, 214.906403, 217.778488, 3.86175, 179.927399, ","[["" 130.889"", "" 124.229"", ""  62.223""], ["" 132.210"", "" 124.221"", ""  61.712""], ["" 133.351"", "" 124.480"", ""  62.596""], ["" 134.251"", "" 124.685"", ""  63.294""], ["" 132.392"", "" 123.896"", ""  60.350""], ["" 131.359"", "" 123.553"", ""  59.542""], ["" 130.090"", "" 123.552"", ""  60.027""], ["" 129.839"", "" 123.885"", ""  61.362""], ["" 130.546"", "" 124.578"", ""  63.634""], ["" 129.881"", "" 125.218"", ""  66.289""], ["" 130.116"", "" 123.894"", ""  65.918""], ["" 129.974"", "" 126.226"", ""  65.318""], ["" 130.444"", "" 123.576"", ""  64.603""], ["" 130.301"", "" 125.904"", ""  64.004""], ["" 129.561"", "" 125.440"", ""  67.615""], ["" 129.322"", "" 126.772"", ""  68.058""], ["" 133.976"", "" 123.844"", ""  59.536""], ["" 133.757"", "" 122.998"", ""  57.935""], ["" 133.108"", "" 123.849"", ""  56.834""], ["" 131.777"", "" 124.038"", ""  56.978""], ["" 133.784"", "" 124.307"", ""  55.910""], ["" 131.331"", "" 123.602"", ""  57.772""], ["" 130.933"", "" 124.757"", ""  56.140""], ["" 130.861"", "" 124.641"", ""  54.824""], ["" 130.039"", "" 125.721"", ""  56.605""], ["" 129.891"", "" 125.546"", ""  54.392""], ["" 129.403"", "" 126.191"", ""  55.479""], ["" 129.004"", "" 123.171"", ""  59.060""], ["" 129.300"", "" 122.473"", ""  57.880""], ["" 127.660"", "" 123.493"", ""  59.310""], ["" 128.296"", "" 122.117"", ""  56.984""], ["" 126.653"", "" 123.137"", ""  58.417""], ["" 126.965"", "" 122.443"", ""  57.241""], ["" 126.038"", "" 122.048"", ""  56.296""], ["" 124.673"", "" 122.410"", ""  56.471""]]",[],1b_Ghoteimi_2023
4,6068,1b_Grossjean_2025,receptor_tmp,1,15,-7.31,-0.28115384615384614,0.0,0.0,7,189.87,-9.1,-8.83,-0.27,-9.1,0.0,-1.68,1.79,-1.68,44,4,0.0,0.0,0.0,4.555225,16.765752,7.847099,-0.6570374,0.54341405,0.52249692,201.878586,"23.533289, 21.766991, 296.464539, 113.835785, 112.203064, 304.005371, ","[["" 124.516"", "" 131.946"", ""  60.166""], ["" 125.851"", "" 131.835"", ""  60.338""], ["" 123.950"", "" 132.191"", ""  59.101""], ["" 126.161"", "" 131.639"", ""  61.279""], ["" 123.673"", "" 131.731"", ""  61.424""], ["" 124.463"", "" 132.427"", ""  62.906""], ["" 124.709"", "" 131.089"", ""  64.054""], ["" 125.886"", "" 129.189"", ""  64.985""], ["" 125.815"", "" 130.208"", ""  64.009""], ["" 124.880"", "" 129.097"", ""  65.953""], ["" 126.880"", "" 130.351"", ""  63.013""], ["" 123.838"", "" 130.021"", ""  65.935""], ["" 127.722"", "" 130.461"", ""  62.227""], ["" 123.750"", "" 131.005"", ""  65.009""], ["" 127.028"", "" 128.175"", ""  65.035""], ["" 122.722"", "" 129.980"", ""  66.962""], ["" 126.900"", "" 131.968"", ""  59.408""], ["" 127.865"", "" 132.926"", ""  59.719""], ["" 127.031"", "" 131.219"", ""  58.229""], ["" 128.947"", "" 133.141"", ""  58.871""], ["" 128.113"", "" 131.435"", ""  57.381""], ["" 129.085"", "" 132.396"", ""  57.690""], ["" 130.241"", "" 132.600"", ""  56.752""], ["" 130.411"", "" 133.637"", ""  56.103""], ["" 131.072"", "" 131.529"", ""  56.684""], ["" 131.845"", "" 131.132"", ""  57.809""]]",[],1b_Grossjean_2025
5,11143,1c_Ghoteimi_2023,receptor_tmp,1,9,-8.44,-0.24114285714285713,0.0,0.0,2,192.22,-10.83,-10.16,-0.67,-10.83,0.0,-2.03,2.39,-2.03,34,5,0.0,0.0,0.0,7.827687,12.405318,12.770635,0.41052591,-0.83612104,0.36382698,115.640236,"350.431274, 15.674466, 32.121117, 305.281555, 288.982361, 334.922485, 78.613274, 305.806641, ","[["" 129.358"", "" 126.736"", ""  65.942""], ["" 128.880"", "" 126.406"", ""  67.232""], ["" 129.542"", "" 125.379"", ""  68.045""], ["" 130.066"", "" 124.570"", ""  68.685""], ["" 127.755"", "" 127.103"", ""  67.719""], ["" 127.113"", "" 128.050"", ""  66.994""], ["" 127.543"", "" 128.342"", ""  65.738""], ["" 128.665"", "" 127.701"", ""  65.201""], ["" 130.585"", "" 126.142"", ""  65.334""], ["" 132.907"", "" 125.067"", ""  64.174""], ["" 132.905"", "" 125.471"", ""  65.509""], ["" 131.734"", "" 125.208"", ""  63.415""], ["" 131.757"", "" 126.005"", ""  66.084""], ["" 130.586"", "" 125.743"", ""  63.993""], ["" 134.092"", "" 124.548"", ""  63.687""], ["" 134.104"", "" 123.929"", ""  62.405""], ["" 127.150"", "" 126.912"", ""  69.381""], ["" 128.308"", "" 127.871"", ""  70.412""], ["" 128.926"", "" 127.023"", ""  71.529""], ["" 129.140"", "" 125.726"", ""  71.216""], ["" 129.151"", "" 127.535"", ""  72.627""], ["" 128.920"", "" 125.433"", ""  70.277""], ["" 129.540"", "" 124.720"", ""  72.082""], ["" 129.367"", "" 124.660"", ""  73.385""], ["" 130.322"", "" 123.341"", ""  71.381""], ["" 129.840"", "" 123.535"", ""  73.884""], ["" 130.411"", "" 122.650"", ""  72.974""], ["" 126.782"", "" 129.403"", ""  64.997""], ["" 125.396"", "" 129.553"", ""  65.156""], ["" 127.438"", "" 130.277"", ""  64.117""], ["" 124.695"", "" 130.541"", ""  64.470""], ["" 126.741"", "" 131.267"", ""  63.430""], ["" 125.357"", "" 131.407"", ""  63.604""], ["" 124.583"", "" 132.359"", ""  62.967""], ["" 124.205"", "" 132.154"", ""  61.611""]]",[],1c_Ghoteimi_2023
6,5882,1c_Grossjean_2025,receptor_tmp,1,18,-7.19,-0.29958333333333337,0.0,0.0,4,191.55,-8.68,-8.47,-0.21,-8.68,0.0,-1.04,1.49,-1.04,49,5,0.0,0.0,0.0,6.670241,15.631073,8.107283,-0.76249275,0.49862979,0.41227799,186.862961,"217.763321, 304.886749, 352.740906, 266.736115, 58.394489, ","[["" 129.939"", "" 131.745"", ""  61.824""], ["" 129.431"", "" 131.443"", ""  60.610""], ["" 130.876"", "" 132.515"", ""  62.035""], ["" 128.615"", "" 130.850"", ""  60.604""], ["" 129.258"", "" 131.058"", ""  63.009""], ["" 128.255"", "" 132.221"", ""  63.982""], ["" 126.651"", "" 132.355"", ""  63.219""], ["" 124.995"", "" 133.311"", ""  61.732""], ["" 126.310"", "" 133.330"", ""  62.253""], ["" 124.099"", "" 132.334"", ""  62.174""], ["" 127.280"", "" 134.313"", ""  61.761""], ["" 124.528"", "" 131.395"", ""  63.110""], ["" 128.044"", "" 135.089"", ""  61.373""], ["" 125.780"", "" 131.396"", ""  63.623""], ["" 124.507"", "" 134.319"", ""  60.693""], ["" 123.608"", "" 130.300"", ""  63.617""], ["" 129.834"", "" 131.889"", ""  59.336""], ["" 131.000"", "" 131.472"", ""  58.676""], ["" 128.974"", "" 132.789"", ""  58.705""], ["" 131.298"", "" 131.968"", ""  57.411""], ["" 129.276"", "" 133.284"", ""  57.440""], ["" 130.447"", "" 132.877"", ""  56.782""], ["" 130.829"", "" 133.313"", ""  55.528""], ["" 130.457"", "" 132.552"", ""  54.385""]]",[],1c_Grossjean_2025
7,10738,1d_Ghoteimi_2023,receptor_tmp,1,2,-7.65,-0.255,0.0,0.0,3,191.96,-10.03,-9.32,-0.71,-10.03,0.0,-1.02,2.39,-1.02,37,8,0.0,0.0,0.0,7.406852,11.915097,13.419808,0.20861266,0.94523516,0.25102041,137.347824,"83.360207, 10.366443, 103.885651, 42.720825, 44.615829, 206.750412, 330.039551, 330.530151, ","[["" 126.684"", "" 129.672"", ""  65.439""], ["" 127.951"", "" 128.660"", ""  66.170""], ["" 129.779"", "" 127.066"", ""  66.140""], ["" 128.826"", "" 127.835"", ""  65.427""], ["" 129.830"", "" 127.192"", ""  67.534""], ["" 128.798"", "" 127.821"", ""  63.961""], ["" 128.959"", "" 128.059"", ""  68.204""], ["" 128.777"", "" 127.809"", ""  62.805""], ["" 128.032"", "" 128.774"", ""  67.517""], ["" 130.744"", "" 126.128"", ""  65.488""], ["" 132.571"", "" 124.368"", ""  64.276""], ["" 133.000"", "" 125.282"", ""  65.237""], ["" 131.212"", "" 124.331"", ""  63.928""], ["" 132.096"", "" 126.153"", ""  65.840""], ["" 130.310"", "" 125.201"", ""  64.533""], ["" 133.538"", "" 123.549"", ""  63.726""], ["" 134.143"", "" 123.919"", ""  62.492""], ["" 128.978"", "" 128.239"", ""  69.694""], ["" 127.877"", "" 127.877"", ""  70.486""], ["" 130.097"", "" 128.784"", ""  70.342""], ["" 127.894"", "" 128.050"", ""  71.867""], ["" 130.117"", "" 128.961"", ""  71.723""], ["" 129.010"", "" 128.593"", ""  72.499""], ["" 128.937"", "" 128.732"", ""  73.872""], ["" 128.156"", "" 129.788"", ""  74.421""], ["" 125.102"", "" 128.816"", ""  65.700""], ["" 124.029"", "" 129.884"", ""  65.900""], ["" 123.516"", "" 130.079"", ""  67.003""], ["" 123.746"", "" 130.546"", ""  64.759""], ["" 123.931"", "" 129.921"", ""  63.498""]]",[],1d_Ghoteimi_2023
8,6847,1d_Grossjean_2025,receptor_tmp,1,11,-6.73,-0.3059090909090909,0.0,0.0,1,191.06,-7.92,-7.83,-0.1,-7.92,0.0,-1.55,1.19,-1.55,44,3,0.0,0.0,0.0,10.508607,16.162916,6.10064,0.99920119,0.00511033,0.0396341,107.371315,"193.476456, 304.111542, 13.373216, 293.415955, ","[["" 131.436"", "" 131.826"", ""  61.686""], ["" 129.855"", "" 132.363"", ""  61.073""], ["" 127.553"", "" 133.089"", ""  61.282""], ["" 128.753"", "" 132.674"", ""  61.905""], ["" 127.497"", "" 133.161"", ""  59.886""], ["" 128.820"", "" 132.545"", ""  63.362""], ["" 128.623"", "" 132.812"", ""  59.144""], ["" 128.870"", "" 132.444"", ""  64.514""], ["" 129.783"", "" 132.415"", ""  59.719""], ["" 126.301"", "" 133.461"", ""  62.073""], ["" 128.622"", "" 132.859"", ""  57.628""], ["" 131.948"", "" 130.395"", ""  60.687""], ["" 132.433"", "" 130.808"", ""  59.296""], ["" 131.468"", "" 130.915"", ""  58.356""], ["" 133.635"", "" 130.992"", ""  59.108""], ["" 130.531"", "" 130.684"", ""  58.653""], ["" 131.565"", "" 131.285"", ""  57.002""], ["" 131.242"", "" 130.288"", ""  56.077""], ["" 131.936"", "" 132.561"", ""  56.545""], ["" 131.299"", "" 130.551"", ""  54.711""], ["" 131.991"", "" 132.821"", ""  55.178""], ["" 131.675"", "" 131.816"", ""  54.267""]]",[],1d_Grossjean_2025
9,6119,1e_Grossjean_2025,receptor_tmp,1,18,-6.98,-0.30347826086956525,0.0,0.0,1,190.28,-8.18,-8.12,-0.06,-8.18,0.0,-1.48,1.19,-1.48,43,1,0.0,0.0,0.0,12.290038,15.454089,6.128722,-0.29324201,-0.91955391,-0.26159078,153.7827,"178.307968, 142.34523, 111.076469, 193.984512, ","[["" 132.776"", "" 130.307"", ""  59.162""], ["" 133.128"", "" 131.425"", ""  57.773""], ["" 131.593"", "" 131.828"", ""  56.962""], ["" 130.120"", "" 132.132"", ""  55.062""], ["" 131.398"", "" 131.789"", ""  55.561""], ["" 129.104"", "" 132.473"", ""  55.960""], ["" 132.456"", "" 131.373"", ""  54.637""], ["" 129.376"", "" 132.459"", ""  57.327""], ["" 133.291"", "" 131.044"", ""  53.906""], ["" 130.592"", "" 132.138"", ""  57.826""], ["" 129.792"", "" 132.137"", ""  53.570""], ["" 128.311"", "" 132.801"", ""  58.350""], ["" 132.147"", "" 131.045"", ""  60.346""], ["" 130.801"", "" 131.157"", ""  60.321""], ["" 132.878"", "" 131.505"", ""  61.225""], ["" 130.331"", "" 130.791"", ""  59.505""], ["" 129.958"", "" 131.786"", ""  61.253""], ["" 129.466"", "" 133.044"", ""  61.050""], ["" 129.665"", "" 131.064"", ""  62.416""], ["" 128.668"", "" 133.593"", ""  62.000""], ["" 128.841"", "" 131.642"", ""  63.384""], ["" 128.332"", "" 132.925"", ""  63.181""], ["" 128.158"", "" 134.991"", ""  61.706""]]",[],1e_Grossjean_2025
10,6693,1f_Grossjean_2025,receptor_tmp,1,11,-6.95,-0.3159090909090909,0.0,0.0,4,192.39,-8.14,-7.99,-0.15,-8.14,0.0,-1.52,1.19,-1.52,41,4,0.0,0.0,0.0,10.442861,15.142076,6.860378,-0.76733108,-0.51834446,-0.37752091,33.888813,"79.468361, 41.988575, 133.810776, 302.138611, ","[["" 131.439"", "" 132.079"", ""  61.759""], ["" 129.749"", "" 132.311"", ""  61.244""], ["" 127.375"", "" 132.656"", ""  61.578""], ["" 128.663"", "" 132.482"", ""  62.135""], ["" 127.227"", "" 132.671"", ""  60.187""], ["" 128.846"", "" 132.519"", ""  63.588""], ["" 128.355"", "" 132.524"", ""  59.386""], ["" 128.989"", "" 132.547"", ""  64.736""], ["" 129.597"", "" 132.352"", ""  59.897""], ["" 126.125"", "" 132.838"", ""  62.437""], ["" 128.263"", "" 132.545"", ""  57.871""], ["" 132.107"", "" 130.611"", ""  60.903""], ["" 132.597"", "" 130.866"", ""  59.471""], ["" 131.647"", "" 131.317"", ""  58.624""], ["" 133.778"", "" 130.682"", ""  59.173""], ["" 130.730"", "" 131.460"", ""  59.021""], ["" 131.743"", "" 131.642"", ""  57.257""], ["" 131.184"", "" 132.861"", ""  56.859""], ["" 132.339"", "" 130.842"", ""  56.264""], ["" 131.197"", "" 133.307"", ""  55.576""], ["" 132.361"", "" 131.287"", ""  54.939""], ["" 131.782"", "" 132.520"", ""  54.639""]]",[],1f_Grossjean_2025
11,10621,1g_Grossjean_2025,receptor_tmp,1,15,-6.99,-0.30391304347826087,0.0,0.0,1,185.04,-8.48,-8.44,-0.05,-8.48,0.0,-1.31,1.49,-1.31,41,3,0.0,0.0,0.0,8.313998,4.638428,5.792155,0.59191706,0.78288694,0.19163045,146.105362,"357.060272, 173.858444, 215.084732, 216.022446, 299.281342, ","[["" 129.387"", "" 120.374"", ""  61.269""], ["" 131.058"", "" 120.030"", ""  60.641""], ["" 131.904"", "" 121.589"", ""  60.507""], ["" 132.771"", "" 123.690"", ""  61.340""], ["" 132.086"", "" 122.480"", ""  61.590""], ["" 133.252"", "" 123.951"", ""  60.053""], ["" 131.620"", "" 122.162"", ""  62.943""], ["" 133.050"", "" 123.005"", ""  59.050""], ["" 131.253"", "" 121.913"", ""  64.012""], ["" 132.394"", "" 121.840"", ""  59.266""], ["" 133.018"", "" 124.736"", ""  62.427""], ["" 133.562"", "" 123.221"", ""  57.639""], ["" 128.852"", "" 121.715"", ""  60.764""], ["" 129.108"", "" 122.013"", ""  59.479""], ["" 128.219"", "" 122.451"", ""  61.523""], ["" 129.653"", "" 121.360"", ""  58.934""], ["" 128.743"", "" 123.261"", ""  58.808""], ["" 127.275"", "" 123.347"", ""  58.400""], ["" 126.848"", "" 122.763"", ""  57.203""], ["" 126.358"", "" 124.002"", ""  59.227""], ["" 125.508"", "" 122.842"", ""  56.831""], ["" 125.018"", "" 124.078"", ""  58.855""], ["" 124.600"", "" 123.499"", ""  57.659""]]",[],1g_Grossjean_2025
12,5810,1h_Grossjean_2025,receptor_tmp,1,6,-6.41,-0.2210344827586207,0.0,0.0,2,187.43,-8.79,-8.5,-0.29,-8.79,0.0,-1.69,2.39,-1.69,41,7,0.0,0.0,0.0,6.81077,9.615935,6.784699,0.76571561,0.63238888,-0.11731974,254.768936,"1.043071, 121.396042, 37.172695, 341.814636, 47.803947, 330.891876, 179.350128, 165.627594, ","[["" 129.075"", "" 125.181"", ""  60.288""], ["" 129.144"", "" 125.419"", ""  61.611""], ["" 129.670"", "" 125.849"", ""  59.443""], ["" 128.613"", "" 124.829"", ""  62.235""], ["" 128.193"", "" 124.012"", ""  59.851""], ["" 128.774"", "" 122.429"", ""  60.534""], ["" 130.487"", "" 122.225"", ""  60.076""], ["" 132.576"", "" 120.995"", ""  60.018""], ["" 131.222"", "" 121.066"", ""  60.420""], ["" 133.132"", "" 122.061"", ""  59.302""], ["" 130.612"", "" 119.964"", ""  61.169""], ["" 132.336"", "" 123.164"", ""  59.003""], ["" 130.131"", "" 119.093"", ""  61.760""], ["" 131.038"", "" 123.252"", ""  59.378""], ["" 133.466"", "" 119.796"", ""  60.336""], ["" 132.880"", "" 124.352"", ""  58.232""], ["" 129.897"", "" 126.506"", ""  62.236""], ["" 130.890"", "" 126.042"", ""  63.297""], ["" 132.098"", "" 125.452"", ""  62.921""], ["" 130.570"", "" 126.153"", ""  64.651""], ["" 133.011"", "" 125.003"", ""  63.888""], ["" 131.462"", "" 125.707"", ""  65.640""], ["" 132.684"", "" 125.143"", ""  65.245""], ["" 134.229"", "" 124.422"", ""  63.588""], ["" 134.459"", "" 123.919"", ""  62.277""], ["" 131.212"", "" 125.787"", ""  66.998""], ["" 129.956"", "" 125.349"", ""  67.505""], ["" 133.564"", "" 124.697"", ""  66.201""], ["" 134.816"", "" 125.368"", ""  66.193""]]",[],1h_Grossjean_2025
13,5867,1i_Grossjean_2025,receptor_tmp,1,14,-6.97,-0.33190476190476187,0.0,0.0,5,184.79,-8.17,-7.76,-0.41,-8.17,0.0,-1.58,1.19,-1.58,40,5,0.0,0.0,0.0,8.189721,8.521018,3.602033,0.53349522,0.84451637,-0.04663647,152.526443,"135.84726, 66.378555, 64.296204, 289.362061, ","[["" 131.172"", "" 125.112"", ""  57.977""], ["" 131.090"", "" 123.610"", ""  58.927""], ["" 131.979"", "" 121.573"", ""  59.890""], ["" 132.186"", "" 122.734"", ""  59.109""], ["" 130.711"", "" 121.328"", ""  60.429""], ["" 133.492"", "" 122.983"", ""  58.494""], ["" 129.682"", "" 122.233"", ""  60.178""], ["" 134.524"", "" 123.178"", ""  58.007""], ["" 129.859"", "" 123.353"", ""  59.437""], ["" 133.087"", "" 120.558"", ""  60.165""], ["" 128.284"", "" 122.018"", ""  60.725""], ["" 131.129"", "" 124.655"", ""  56.218""], ["" 129.747"", "" 124.157"", ""  55.787""], ["" 129.051"", "" 123.483"", ""  56.729""], ["" 129.354"", "" 124.385"", ""  54.642""], ["" 129.476"", "" 123.390"", ""  57.641""], ["" 127.783"", "" 122.933"", ""  56.604""], ["" 127.464"", "" 121.873"", ""  55.880""], ["" 126.663"", "" 123.449"", ""  57.252""], ["" 126.092"", "" 121.673"", ""  56.043""], ["" 125.622"", "" 122.633"", ""  56.874""]]",[],1i_Grossjean_2025
14,12444,1j_Grossjean_2025,receptor_tmp,3,9,-6.31,-0.30047619047619045,0.0,0.0,11,184.27,-7.5,-7.3,-0.2,-7.5,0.0,-1.5,1.19,-1.5,39,5,0.0,0.0,0.0,7.844471,7.801697,3.532913,-0.80527908,0.49295632,0.32942324,120.078354,"143.503693, 1.598816, 49.389046, 303.783752, ","[["" 127.587"", "" 122.795"", ""  56.496""], ["" 127.352"", "" 122.973"", ""  58.251""], ["" 126.163"", "" 123.658"", ""  60.246""], ["" 126.219"", "" 123.587"", ""  58.836""], ["" 127.221"", "" 123.143"", ""  61.000""], ["" 125.146"", "" 124.168"", ""  58.026""], ["" 128.310"", "" 122.579"", ""  60.340""], ["" 124.297"", "" 124.629"", ""  57.388""], ["" 128.384"", "" 122.496"", ""  58.991""], ["" 124.987"", "" 124.288"", ""  60.993""], ["" 129.496"", "" 122.015"", ""  61.101""], ["" 128.332"", "" 124.334"", ""  55.880""], ["" 129.858"", "" 124.319"", ""  55.993""], ["" 130.349"", "" 123.914"", ""  57.185""], ["" 130.539"", "" 124.666"", ""  55.028""], ["" 129.687"", "" 123.630"", ""  57.892""], ["" 131.688"", "" 123.807"", ""  57.536""], ["" 132.738"", "" 124.180"", ""  56.835""], ["" 132.048"", "" 123.104"", ""  59.079""], ["" 133.861"", "" 123.927"", ""  57.477""], ["" 133.735"", "" 123.337"", ""  58.731""]]",[],1j_Grossjean_2025
