,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,9118,1a_Ghoteimi_2023,4h2i_c_3_mae_prepped,1,11,-10.14,-0.24731707317073173,0.0,0.0,2,185.09,-13.42,-12.86,-0.56,-13.42,0.0,-2.22,3.28,-2.22,59,7,0.0,0.0,0.0,2.072931,14.327761,3.85814,0.96039855,0.14718046,-0.23658517,56.223766,"145.672318, 183.455276, 293.745117, 243.826508, 97.975662, 111.552361, 59.427952, 59.743397, 235.70253, 229.127014, 16.214552, ","[["" 125.968"", "" 129.957"", ""  55.751""], ["" 126.715"", "" 130.988"", ""  56.201""], ["" 126.374"", "" 129.030"", ""  55.050""], ["" 126.246"", "" 131.643"", ""  56.810""], ["" 124.499"", "" 129.976"", ""  56.174""], ["" 124.294"", "" 130.614"", ""  57.863""], ["" 125.099"", "" 129.445"", ""  58.935""], ["" 126.026"", "" 128.686"", ""  61.040""], ["" 125.381"", "" 129.702"", ""  60.294""], ["" 126.355"", "" 127.489"", ""  60.392""], ["" 125.025"", "" 130.982"", ""  60.913""], ["" 126.028"", "" 127.293"", ""  59.044""], ["" 124.745"", "" 131.993"", ""  61.403""], ["" 125.405"", "" 128.271"", ""  58.335""], ["" 126.377"", "" 128.812"", ""  62.487""], ["" 127.027"", "" 129.088"", ""  65.208""], ["" 128.031"", "" 128.928"", ""  64.254""], ["" 125.687"", "" 129.114"", ""  64.791""], ["" 127.712"", "" 128.795"", ""  62.905""], ["" 125.370"", "" 128.980"", ""  63.442""], ["" 127.438"", "" 129.214"", ""  66.520""], ["" 128.588"", "" 128.498"", ""  66.959""], ["" 126.353"", "" 126.028"", ""  58.303""], ["" 125.511"", "" 124.906"", ""  58.371""], ["" 127.515"", "" 125.925"", ""  57.523""], ["" 125.814"", "" 123.735"", ""  57.682""], ["" 127.821"", "" 124.756"", ""  56.833""], ["" 126.968"", "" 123.646"", ""  56.907""], ["" 127.188"", "" 122.447"", ""  56.257""], ["" 127.131"", "" 122.408"", ""  54.836""], ["" 128.077"", "" 131.275"", ""  55.990""], ["" 128.835"", "" 130.818"", ""  54.901""], ["" 128.681"", "" 132.088"", ""  56.950""], ["" 130.178"", "" 131.167"", ""  54.788""], ["" 130.025"", "" 132.437"", ""  56.835""], ["" 130.789"", "" 131.981"", ""  55.753""], ["" 132.234"", "" 132.379"", ""  55.658""], ["" 132.741"", "" 132.851"", ""  54.636""], ["" 132.926"", "" 132.161"", ""  56.806""], ["" 132.963"", "" 130.873"", ""  57.409""], ["" 132.380"", "" 130.959"", ""  58.823""]]",[],1a_Ghoteimi_2023
1,331,1a_Grossjean_2025,4h2i_c_3_mae_prepped,1,3,-7.49,-0.27740740740740744,0.0,0.0,10,188.0,-9.58,-9.23,-0.35,-9.58,0.0,-2.05,2.09,-2.05,25,4,0.0,0.0,0.0,6.735016,12.8943,3.719577,0.06484132,-0.94649229,0.31614545,207.355255,"126.320381, 291.577209, 84.423088, 251.236938, 293.055786, 141.909225, 108.833466, ","[["" 127.271"", "" 127.061"", ""  57.428""], ["" 128.235"", "" 126.251"", ""  56.826""], ["" 128.281"", "" 124.887"", ""  57.097""], ["" 127.360"", "" 124.304"", ""  57.978""], ["" 126.387"", "" 125.120"", ""  58.576""], ["" 126.340"", "" 126.485"", ""  58.305""], ["" 127.319"", "" 128.426"", ""  57.083""], ["" 126.913"", "" 129.052"", ""  55.958""], ["" 126.400"", "" 128.506"", ""  54.981""], ["" 127.688"", "" 129.019"", ""  57.811""], ["" 127.129"", "" 130.567"", ""  55.937""], ["" 127.505"", "" 131.229"", ""  57.587""], ["" 129.184"", "" 130.784"", ""  57.971""], ["" 131.590"", "" 130.863"", ""  57.699""], ["" 130.310"", "" 131.299"", ""  57.285""], ["" 131.693"", "" 129.939"", ""  58.745""], ["" 130.175"", "" 132.228"", ""  56.160""], ["" 130.530"", "" 129.468"", ""  59.348""], ["" 130.071"", "" 132.961"", ""  55.271""], ["" 129.294"", "" 129.874"", ""  58.971""], ["" 132.878"", "" 131.354"", ""  57.041""], ["" 130.575"", "" 128.459"", ""  60.481""], ["" 127.441"", "" 122.830"", ""  58.252""], ["" 127.853"", "" 122.360"", ""  59.317""], ["" 127.001"", "" 122.067"", ""  57.218""], ["" 125.891"", "" 122.472"", ""  56.427""], ["" 126.366"", "" 122.796"", ""  55.008""]]",[],1a_Grossjean_2025
2,9078,1aa_Ghoteimi_2023,4h2i_c_3_mae_prepped,1,9,-7.82,-0.19073170731707317,0.0,0.0,3,185.63,-11.11,-10.77,-0.33,-11.11,0.0,-3.56,3.28,-3.56,64,6,0.0,0.0,0.0,2.412071,15.871392,4.01078,-0.8143237,-0.57553668,0.07506296,320.379242,"141.569962, 155.971939, 252.761658, 1.618517, 70.803436, 213.592194, 288.829407, 64.049004, 225.279144, 234.075577, 28.15946, ","[["" 125.913"", "" 130.045"", ""  55.838""], ["" 126.643"", "" 131.073"", ""  56.330""], ["" 126.346"", "" 129.170"", ""  55.088""], ["" 126.148"", "" 131.705"", ""  56.944""], ["" 124.434"", "" 129.970"", ""  56.250""], ["" 124.316"", "" 129.592"", ""  57.628""], ["" 125.282"", "" 129.978"", ""  58.547""], ["" 127.133"", "" 129.442"", ""  60.020""], ["" 126.161"", "" 129.022"", ""  59.082""], ["" 127.181"", "" 130.801"", ""  60.357""], ["" 126.064"", "" 127.631"", ""  58.636""], ["" 126.284"", "" 131.711"", ""  59.785""], ["" 125.343"", "" 131.292"", ""  58.899""], ["" 125.985"", "" 126.532"", ""  58.282""], ["" 128.111"", "" 128.520"", ""  60.672""], ["" 129.929"", "" 126.760"", ""  61.898""], ["" 128.629"", "" 126.887"", ""  62.385""], ["" 130.317"", "" 127.520"", ""  60.784""], ["" 127.726"", "" 127.755"", ""  61.778""], ["" 129.413"", "" 128.389"", ""  60.178""], ["" 130.755"", "" 125.875"", ""  62.564""], ["" 130.674"", "" 125.782"", ""  63.982""], ["" 126.283"", "" 133.175"", ""  60.123""], ["" 127.430"", "" 133.797"", ""  60.638""], ["" 125.139"", "" 133.966"", ""  59.929""], ["" 127.431"", "" 135.153"", ""  60.954""], ["" 125.137"", "" 135.322"", ""  60.244""], ["" 126.289"", "" 135.928"", ""  60.763""], ["" 126.383"", "" 137.264"", ""  61.105""], ["" 127.137"", "" 138.141"", ""  60.276""], ["" 127.996"", "" 131.407"", ""  56.134""], ["" 128.735"", "" 131.130"", ""  54.974""], ["" 128.612"", "" 132.069"", ""  57.196""], ["" 130.072"", "" 131.510"", ""  54.891""], ["" 129.948"", "" 132.448"", ""  57.111""], ["" 130.696"", "" 132.174"", ""  55.958""], ["" 132.136"", "" 132.596"", ""  55.899""], ["" 132.600"", "" 133.293"", ""  54.992""], ["" 132.874"", "" 132.134"", ""  56.941""], ["" 132.774"", "" 130.782"", ""  57.369""], ["" 132.202"", "" 130.737"", ""  58.789""]]",[],1aa_Ghoteimi_2023
3,9084,1b_Ghoteimi_2023,4h2i_c_3_mae_prepped,1,14,-8.94,-0.2554285714285714,0.0,0.0,2,185.62,-11.32,-10.9,-0.42,-11.32,0.0,-1.52,2.39,-1.52,40,5,0.0,0.0,0.0,7.892108,11.733984,7.418595,-0.79680874,-0.40872103,-0.44502017,300.800781,"198.942154, 348.495697, 125.259323, 141.666245, 56.162884, 188.122284, 351.305298, 267.026276, ","[["" 127.898"", "" 126.617"", ""  59.694""], ["" 129.067"", "" 127.388"", ""  59.483""], ["" 129.969"", "" 127.084"", ""  58.369""], ["" 130.681"", "" 126.842"", ""  57.488""], ["" 129.298"", "" 128.489"", ""  60.338""], ["" 128.423"", "" 128.849"", ""  61.309""], ["" 127.297"", "" 128.117"", ""  61.512""], ["" 127.019"", "" 127.003"", ""  60.713""], ["" 127.540"", "" 125.414"", ""  58.884""], ["" 126.848"", "" 123.144"", ""  57.377""], ["" 125.907"", "" 124.144"", ""  57.624""], ["" 128.144"", "" 123.283"", ""  57.896""], ["" 126.248"", "" 125.267"", ""  58.372""], ["" 128.481"", "" 124.408"", ""  58.644""], ["" 126.420"", "" 122.066"", ""  56.626""], ["" 125.252"", "" 122.199"", ""  55.824""], ["" 130.715"", "" 129.563"", ""  60.227""], ["" 130.133"", "" 131.281"", ""  60.422""], ["" 129.562"", "" 131.922"", ""  59.148""], ["" 130.305"", "" 131.725"", ""  58.036""], ["" 128.504"", "" 132.555"", ""  59.182""], ["" 131.159"", "" 131.196"", ""  58.138""], ["" 130.036"", "" 132.185"", ""  56.753""], ["" 130.834"", "" 132.941"", ""  56.016""], ["" 128.854"", "" 131.897"", ""  56.073""], ["" 130.173"", "" 133.165"", ""  54.807""], ["" 128.978"", "" 132.528"", ""  54.856""], ["" 126.388"", "" 128.579"", ""  62.617""], ["" 125.174"", "" 129.223"", ""  62.331""], ["" 126.717"", "" 128.375"", ""  63.966""], ["" 124.330"", "" 129.650"", ""  63.352""], ["" 125.875"", "" 128.799"", ""  64.989""], ["" 124.667"", "" 129.444"", ""  64.688""], ["" 123.768"", "" 129.900"", ""  65.632""], ["" 123.953"", "" 129.542"", ""  66.996""]]",[],1b_Ghoteimi_2023
4,8920,1b_Grossjean_2025,4h2i_c_3_mae_prepped,1,17,-7.26,-0.2792307692307692,0.0,0.0,7,186.48,-9.05,-8.71,-0.34,-9.05,0.0,-2.08,1.79,-2.08,49,5,0.0,0.0,0.0,6.568371,9.818228,8.04002,-0.68695896,-0.30681383,0.65875083,303.591705,"225.393112, 96.065651, 238.957108, 89.353737, 159.438095, 285.624512, ","[["" 129.012"", "" 123.888"", ""  62.257""], ["" 128.551"", "" 124.482"", ""  61.135""], ["" 128.896"", "" 122.694"", ""  62.534""], ["" 128.720"", "" 125.475"", ""  61.060""], ["" 129.744"", "" 124.810"", ""  63.234""], ["" 130.331"", "" 126.332"", ""  62.431""], ["" 131.108"", "" 125.859"", ""  60.901""], ["" 132.879"", "" 124.926"", ""  59.540""], ["" 132.383"", "" 125.251"", ""  60.823""], ["" 132.098"", "" 125.203"", ""  58.413""], ["" 133.164"", "" 124.929"", ""  62.019""], ["" 130.844"", "" 125.785"", ""  58.586""], ["" 133.783"", "" 124.674"", ""  62.963""], ["" 130.349"", "" 126.105"", ""  59.804""], ["" 134.244"", "" 124.273"", ""  59.327""], ["" 129.946"", "" 126.102"", ""  57.404""], ["" 127.848"", "" 123.939"", ""  60.043""], ["" 126.486"", "" 124.233"", ""  59.996""], ["" 128.416"", "" 123.147"", ""  59.033""], ["" 125.694"", "" 123.748"", ""  58.960""], ["" 127.622"", "" 122.662"", ""  57.997""], ["" 126.253"", "" 122.956"", ""  57.946""], ["" 125.429"", "" 122.417"", ""  56.812""], ["" 124.198"", "" 122.320"", ""  56.855""], ["" 126.171"", "" 122.042"", ""  55.739""], ["" 126.458"", "" 122.959"", ""  54.692""]]",[],1b_Grossjean_2025
5,194,1c_Ghoteimi_2023,4h2i_c_3_mae_prepped,1,15,-7.94,-0.22685714285714287,0.0,0.0,1,191.6,-10.32,-10.05,-0.27,-10.32,0.0,-2.34,2.39,-2.34,60,5,0.0,0.0,0.0,3.814145,15.27573,8.608297,0.22884119,-0.91835697,0.32288107,242.899139,"163.806351, 167.986099, 23.581032, 198.449615, 141.425888, 80.916153, 219.001846, 211.582855, ","[["" 126.419"", "" 130.153"", ""  62.316""], ["" 126.083"", "" 129.370"", ""  61.187""], ["" 126.043"", "" 127.906"", ""  61.266""], ["" 126.010"", "" 126.750"", ""  61.330""], ["" 125.775"", "" 130.041"", ""  59.985""], ["" 125.811"", "" 131.390"", ""  59.872""], ["" 126.172"", "" 132.145"", ""  60.943""], ["" 126.473"", "" 131.544"", ""  62.170""], ["" 126.686"", "" 129.585"", ""  63.671""], ["" 127.195"", "" 128.472"", ""  66.199""], ["" 128.235"", "" 129.007"", ""  65.440""], ["" 125.890"", "" 128.493"", ""  65.682""], ["" 127.985"", "" 129.556"", ""  64.187""], ["" 125.642"", "" 129.043"", ""  64.428""], ["" 127.536"", "" 127.948"", ""  67.432""], ["" 128.902"", "" 127.660"", ""  67.710""], ["" 125.174"", "" 129.196"", ""  58.539""], ["" 125.013"", "" 130.497"", ""  57.273""], ["" 126.313"", "" 130.706"", ""  56.489""], ["" 127.301"", "" 131.329"", ""  57.169""], ["" 126.379"", "" 130.346"", ""  55.313""], ["" 127.123"", "" 131.566"", ""  58.133""], ["" 128.509"", "" 131.773"", ""  56.654""], ["" 128.829"", "" 131.958"", ""  55.391""], ["" 129.748"", "" 132.186"", ""  57.794""], ["" 130.055"", "" 132.429"", ""  55.267""], ["" 130.756"", "" 132.637"", ""  56.451""], ["" 126.187"", "" 133.633"", ""  60.742""], ["" 127.307"", "" 134.405"", ""  61.090""], ["" 125.077"", "" 134.298"", ""  60.201""], ["" 127.319"", "" 135.784"", ""  60.898""], ["" 125.086"", "" 135.676"", ""  60.006""], ["" 126.213"", "" 136.433"", ""  60.354""], ["" 126.313"", "" 137.802"", ""  60.196""], ["" 127.549"", "" 138.365"", ""  59.771""]]",[],1c_Ghoteimi_2023
6,9547,1c_Grossjean_2025,4h2i_c_3_mae_prepped,1,15,-7.15,-0.29791666666666666,0.0,0.0,6,189.84,-8.65,-8.4,-0.25,-8.65,0.0,-1.85,1.49,-1.85,36,5,0.0,0.0,0.0,7.449155,15.089375,1.735835,-0.22075993,0.46304383,-0.85840286,209.715317,"180.399643, 283.101257, 44.138794, 2.763397, 104.47683, ","[["" 129.782"", "" 132.395"", ""  55.365""], ["" 129.313"", "" 131.748"", ""  56.453""], ["" 130.750"", "" 133.154"", ""  55.347""], ["" 128.554"", "" 131.103"", ""  56.295""], ["" 129.021"", "" 132.126"", ""  54.064""], ["" 128.960"", "" 130.354"", ""  53.669""], ["" 128.063"", "" 129.520"", ""  54.962""], ["" 127.708"", "" 127.816"", ""  56.648""], ["" 128.531"", "" 128.369"", ""  55.639""], ["" 126.486"", "" 128.429"", ""  56.946""], ["" 129.838"", "" 127.773"", ""  55.351""], ["" 126.116"", "" 129.575"", ""  56.247""], ["" 130.870"", "" 127.302"", ""  55.124""], ["" 126.886"", "" 130.119"", ""  55.276""], ["" 128.100"", "" 126.571"", ""  57.441""], ["" 124.812"", "" 130.295"", ""  56.534""], ["" 129.773"", "" 131.789"", ""  57.784""], ["" 129.009"", "" 132.218"", ""  58.879""], ["" 131.077"", "" 131.337"", ""  57.993""], ["" 129.559"", "" 132.208"", ""  60.158""], ["" 131.623"", "" 131.327"", ""  59.273""], ["" 130.865"", "" 131.767"", ""  60.369""], ["" 131.322"", "" 131.796"", ""  61.673""], ["" 132.666"", "" 131.416"", ""  61.945""]]",[],1c_Grossjean_2025
7,91,1d_Ghoteimi_2023,4h2i_c_3_mae_prepped,1,18,-7.8,-0.26,0.0,0.0,3,188.11,-10.19,-9.75,-0.44,-10.19,0.0,-1.11,2.39,-1.11,43,10,0.0,0.0,0.0,6.613082,10.209628,7.677555,0.68392656,-0.72817148,-0.04484151,57.424587,"113.66095, 188.856674, 166.10498, 124.942528, 1.279562, 203.151413, 28.332542, 28.468922, ","[["" 130.622"", "" 125.455"", ""  63.401""], ["" 129.213"", "" 125.657"", ""  62.333""], ["" 127.772"", "" 125.088"", ""  60.466""], ["" 128.919"", "" 124.800"", ""  61.247""], ["" 126.972"", "" 126.177"", ""  60.833""], ["" 129.733"", "" 123.613"", ""  60.972""], ["" 127.299"", "" 126.961"", ""  61.945""], ["" 130.375"", "" 122.676"", ""  60.754""], ["" 128.413"", "" 126.695"", ""  62.674""], ["" 127.360"", "" 124.289"", ""  59.272""], ["" 126.603"", "" 122.782"", ""  57.022""], ["" 127.916"", "" 123.229"", ""  57.165""], ["" 125.665"", "" 123.086"", ""  58.021""], ["" 128.293"", "" 123.973"", ""  58.280""], ["" 126.045"", "" 123.829"", ""  59.135""], ["" 126.318"", "" 122.057"", ""  55.881""], ["" 126.399"", "" 122.697"", ""  54.612""], ["" 126.471"", "" 128.133"", ""  62.387""], ["" 125.801"", "" 128.944"", ""  61.457""], ["" 126.347"", "" 128.459"", ""  63.746""], ["" 125.039"", "" 130.033"", ""  61.869""], ["" 125.587"", "" 129.548"", ""  64.161""], ["" 124.923"", "" 130.348"", ""  63.220""], ["" 124.150"", "" 131.448"", ""  63.536""], ["" 123.767"", "" 132.347"", ""  62.500""], ["" 132.103"", "" 125.556"", ""  62.352""], ["" 133.227"", "" 124.815"", ""  63.072""], ["" 133.497"", "" 125.048"", ""  64.252""], ["" 133.842"", "" 123.917"", ""  62.276""], ["" 133.806"", "" 124.062"", ""  60.864""]]",[],1d_Ghoteimi_2023
8,9188,1d_Grossjean_2025,4h2i_c_3_mae_prepped,1,6,-7.4,-0.33636363636363636,0.0,0.0,4,183.96,-8.59,-8.52,-0.08,-8.59,0.0,-0.78,1.19,-0.78,53,3,0.0,0.0,0.0,6.60285,6.699458,7.09779,0.04917449,-0.70017316,-0.71227762,163.083313,"282.647125, 30.779671, 15.99359, 312.889862, ","[["" 129.005"", "" 121.887"", ""  62.500""], ["" 130.529"", "" 121.917"", ""  61.583""], ["" 132.292"", "" 120.959"", ""  60.226""], ["" 131.071"", "" 120.791"", ""  60.919""], ["" 132.918"", "" 122.210"", ""  60.236""], ["" 130.423"", "" 119.479"", ""  60.963""], ["" 132.325"", "" 123.259"", ""  60.936""], ["" 129.913"", "" 118.440"", ""  60.996""], ["" 131.156"", "" 123.122"", ""  61.604""], ["" 132.969"", "" 119.821"", ""  59.465""], ["" 132.960"", "" 124.635"", ""  60.993""], ["" 128.088"", "" 123.400"", ""  62.079""], ["" 127.083"", "" 123.168"", ""  60.949""], ["" 127.587"", "" 123.257"", ""  59.700""], ["" 125.905"", "" 122.944"", ""  61.230""], ["" 128.565"", "" 123.496"", ""  59.631""], ["" 126.951"", "" 123.084"", ""  58.456""], ["" 127.792"", "" 122.778"", ""  57.383""], ["" 125.565"", "" 123.178"", ""  58.245""], ["" 127.265"", "" 122.581"", ""  56.110""], ["" 125.040"", "" 122.980"", ""  56.971""], ["" 125.890"", "" 122.684"", ""  55.909""]]",[],1d_Grossjean_2025
9,9851,1e_Grossjean_2025,4h2i_c_3_mae_prepped,1,18,-7.07,-0.3073913043478261,0.0,0.0,3,184.07,-8.26,-8.22,-0.04,-8.26,0.0,-1.64,1.19,-1.64,42,4,0.0,0.0,0.0,6.3079,8.329659,9.229544,-0.28914931,0.90693355,0.30637268,127.018188,"209.515396, 139.099686, 219.330399, 164.44397, ","[["" 128.715"", "" 123.090"", ""  62.229""], ["" 129.566"", "" 124.693"", ""  62.116""], ["" 130.606"", "" 124.686"", ""  60.669""], ["" 132.700"", "" 124.504"", ""  59.464""], ["" 132.008"", "" 124.488"", ""  60.696""], ["" 131.984"", "" 124.693"", ""  58.278""], ["" 132.735"", "" 124.232"", ""  61.942""], ["" 130.601"", "" 124.853"", ""  58.341""], ["" 133.312"", "" 124.030"", ""  62.925""], ["" 129.918"", "" 124.845"", ""  59.510""], ["" 134.213"", "" 124.312"", ""  59.367""], ["" 129.767"", "" 125.043"", ""  57.089""], ["" 127.533"", "" 123.000"", ""  61.261""], ["" 127.828"", "" 123.180"", ""  59.955""], ["" 126.404"", "" 122.797"", ""  61.710""], ["" 128.787"", "" 123.406"", ""  59.734""], ["" 126.956"", "" 123.167"", ""  58.852""], ["" 127.379"", "" 122.813"", ""  57.602""], ["" 125.635"", "" 123.558"", ""  59.096""], ["" 126.484"", "" 122.836"", ""  56.582""], ["" 124.726"", "" 123.576"", ""  58.036""], ["" 125.149"", "" 123.212"", ""  56.757""], ["" 127.022"", "" 122.429"", ""  55.223""]]",[],1e_Grossjean_2025
10,9606,1f_Grossjean_2025,4h2i_c_3_mae_prepped,1,14,-7.2,-0.32727272727272727,0.0,0.0,6,185.71,-8.39,-8.21,-0.18,-8.39,0.0,-1.61,1.19,-1.61,50,5,0.0,0.0,0.0,6.587112,7.636436,7.889472,-0.49218444,0.35238519,-0.79597685,166.374008,"90.352242, 31.117413, 146.605637, 305.569763, ","[["" 129.733"", "" 122.266"", ""  61.517""], ["" 130.683"", "" 123.223"", ""  60.353""], ["" 132.712"", "" 124.115"", ""  59.375""], ["" 132.095"", "" 123.315"", ""  60.365""], ["" 131.917"", "" 124.760"", ""  58.423""], ["" 132.915"", "" 122.587"", ""  61.337""], ["" 130.536"", "" 124.591"", ""  58.469""], ["" 133.563"", "" 122.012"", ""  62.104""], ["" 129.924"", "" 123.834"", ""  59.409""], ["" 134.226"", "" 124.300"", ""  59.293""], ["" 129.620"", "" 125.253"", ""  57.456""], ["" 128.242"", "" 123.219"", ""  61.964""], ["" 127.054"", "" 123.051"", ""  61.005""], ["" 127.368"", "" 123.172"", ""  59.697""], ["" 125.929"", "" 122.802"", ""  61.440""], ["" 128.342"", "" 123.335"", ""  59.487""], ["" 126.539"", "" 123.085"", ""  58.562""], ["" 127.087"", "" 122.479"", ""  57.427""], ["" 125.219"", "" 123.565"", ""  58.473""], ["" 126.410"", "" 122.326"", ""  56.259""], ["" 124.509"", "" 123.416"", ""  57.279""], ["" 125.138"", "" 122.792"", ""  56.201""]]",[],1f_Grossjean_2025
11,97,1g_Grossjean_2025,4h2i_c_3_mae_prepped,1,6,-8.3,-0.36086956521739133,0.0,0.0,1,183.04,-9.79,-9.77,-0.02,-9.79,0.0,-0.75,1.49,-0.75,72,3,0.0,0.0,0.0,7.178381,5.682693,6.46865,-0.60837546,0.6745277,0.41820053,265.169739,"114.212799, 23.821445, 2.209976, 214.49115, 282.411774, ","[["" 130.246"", "" 122.531"", ""  60.474""], ["" 128.573"", "" 122.800"", ""  61.134""], ["" 127.497"", "" 123.082"", ""  59.746""], ["" 125.357"", "" 123.431"", ""  58.668""], ["" 126.093"", "" 123.217"", ""  59.855""], ["" 126.036"", "" 123.517"", ""  57.448""], ["" 125.408"", "" 123.175"", ""  61.150""], ["" 127.425"", "" 123.398"", ""  57.436""], ["" 124.865"", "" 123.144"", ""  62.172""], ["" 128.149"", "" 123.190"", ""  58.561""], ["" 123.836"", "" 123.580"", ""  58.657""], ["" 128.220"", "" 123.500"", ""  56.148""], ["" 130.762"", "" 121.124"", ""  60.780""], ["" 129.829"", "" 120.182"", ""  61.000""], ["" 131.974"", "" 120.905"", ""  60.809""], ["" 128.857"", "" 120.454"", ""  60.976""], ["" 130.097"", "" 118.791"", ""  61.364""], ["" 130.493"", "" 117.899"", ""  60.191""], ["" 131.676"", "" 118.153"", ""  59.490""], ["" 129.679"", "" 116.824"", ""  59.824""], ["" 132.039"", "" 117.339"", ""  58.420""], ["" 130.043"", "" 116.010"", ""  58.755""], ["" 131.220"", "" 116.271"", ""  58.058""]]",[],1g_Grossjean_2025
12,9408,1h_Grossjean_2025,4h2i_c_3_mae_prepped,1,10,-7.59,-0.2617241379310345,0.0,0.0,2,188.4,-9.98,-9.26,-0.71,-9.98,0.0,-1.1,2.39,-1.1,63,10,0.0,0.0,0.0,4.599774,15.301691,7.592638,-0.93966849,-0.31312056,0.13776296,259.166046,"88.06176, 262.863068, 217.58345, 60.329666, 14.458843, 334.834381, 264.755188, 76.006073, ","[["" 126.422"", "" 131.622"", ""  61.360""], ["" 126.641"", "" 132.094"", ""  60.119""], ["" 127.317"", "" 131.410"", ""  62.178""], ["" 125.849"", "" 132.226"", ""  59.507""], ["" 124.967"", "" 131.338"", ""  61.734""], ["" 124.700"", "" 129.586"", ""  62.145""], ["" 125.065"", "" 129.362"", ""  63.878""], ["" 126.552"", "" 128.852"", ""  65.724""], ["" 126.358"", "" 129.012"", ""  64.333""], ["" 125.471"", "" 129.045"", ""  66.590""], ["" 127.473"", "" 128.818"", ""  63.401""], ["" 124.231"", "" 129.391"", ""  66.058""], ["" 128.354"", "" 128.665"", ""  62.666""], ["" 124.023"", "" 129.550"", ""  64.730""], ["" 127.902"", "" 128.471"", ""  66.327""], ["" 123.019"", "" 129.613"", ""  66.944""], ["" 127.954"", "" 132.395"", ""  59.549""], ["" 128.063"", "" 132.105"", ""  58.055""], ["" 129.085"", "" 132.681"", ""  57.299""], ["" 127.106"", "" 131.309"", ""  57.425""], ["" 129.183"", "" 132.440"", ""  55.920""], ["" 127.176"", "" 131.055"", ""  56.046""], ["" 128.226"", "" 131.617"", ""  55.307""], ["" 130.176"", "" 132.965"", ""  55.113""], ["" 131.535"", "" 132.638"", ""  55.375""], ["" 126.265"", "" 130.274"", ""  55.358""], ["" 125.027"", "" 129.936"", ""  55.974""], ["" 128.305"", "" 131.382"", ""  53.956""], ["" 129.442"", "" 130.625"", ""  53.565""]]",[],1h_Grossjean_2025
13,8903,1i_Grossjean_2025,4h2i_c_3_mae_prepped,1,14,-7.31,-0.34809523809523807,0.0,0.0,7,184.24,-8.5,-8.4,-0.1,-8.5,0.0,-0.68,1.19,-0.68,50,4,0.0,0.0,0.0,6.832163,6.078929,6.467702,3.42e-05,0.79513882,0.60642746,187.068039,"116.225731, 17.371643, 212.953735, 277.033691, ","[["" 128.665"", "" 121.720"", ""  61.890""], ["" 130.277"", "" 121.312"", ""  61.255""], ["" 132.590"", "" 121.758"", ""  60.696""], ["" 131.363"", "" 122.217"", ""  61.228""], ["" 132.677"", "" 120.450"", ""  60.206""], ["" 131.237"", "" 123.598"", ""  61.700""], ["" 131.549"", "" 119.635"", ""  60.250""], ["" 131.139"", "" 124.691"", ""  62.071""], ["" 130.365"", "" 120.052"", ""  60.759""], ["" 133.837"", "" 122.639"", ""  60.621""], ["" 131.576"", "" 118.212"", ""  59.725""], ["" 128.058"", "" 123.162"", ""  60.963""], ["" 127.969"", "" 122.884"", ""  59.461""], ["" 126.723"", "" 122.909"", ""  58.937""], ["" 129.000"", "" 122.657"", ""  58.826""], ["" 125.963"", "" 123.138"", ""  59.562""], ["" 126.363"", "" 122.697"", ""  57.614""], ["" 127.079"", "" 122.054"", ""  56.707""], ["" 125.162"", "" 123.151"", ""  57.071""], ["" 126.343"", "" 122.078"", ""  55.521""], ["" 125.187"", "" 122.744"", ""  55.757""]]",[],1i_Grossjean_2025
14,371,1j_Grossjean_2025,4h2i_c_3_mae_prepped,1,9,-7.45,-0.3547619047619048,0.0,0.0,1,194.51,-8.64,-8.2,-0.44,-8.64,0.0,-0.5,1.19,-0.5,44,7,0.0,0.0,0.0,4.208798,16.889962,20.732574,0.60853659,0.75261156,0.25151353,178.45993,"314.950714, 91.846992, 337.598328, 136.367188, ","[["" 127.294"", "" 132.463"", ""  75.362""], ["" 127.015"", "" 130.735"", ""  75.037""], ["" 125.713"", "" 128.694"", ""  74.996""], ["" 125.796"", "" 130.070"", ""  75.307""], ["" 126.829"", "" 128.046"", ""  74.458""], ["" 124.656"", "" 130.756"", ""  75.920""], ["" 127.998"", "" 128.773"", ""  74.250""], ["" 123.754"", "" 131.295"", ""  76.406""], ["" 128.099"", "" 130.093"", ""  74.535""], ["" 124.447"", "" 127.870"", ""  75.233""], ["" 129.247"", "" 128.124"", ""  73.682""], ["" 127.209"", "" 133.344"", ""  73.775""], ["" 128.518"", "" 133.241"", ""  72.990""], ["" 129.133"", "" 134.415"", ""  72.726""], ["" 128.931"", "" 132.133"", ""  72.647""], ["" 128.706"", "" 135.257"", ""  73.083""], ["" 130.327"", "" 134.588"", ""  72.041""], ["" 130.492"", "" 134.881"", ""  70.768""], ["" 131.794"", "" 134.408"", ""  72.947""], ["" 131.769"", "" 134.972"", ""  70.455""], ["" 132.675"", "" 134.751"", ""  71.489""]]",[],1j_Grossjean_2025
