,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,3925,1a_Ghoteimi_2023,receptor_tmp,1,4,-8.93,-0.2178048780487805,0.0,0.0,4,186.48,-12.21,-11.67,-0.54,-12.21,0.0,-2.2,3.28,-2.2,64,8,0.0,0.0,0.0,6.705378,9.726072,9.847232,-0.47565167,-0.42645123,0.76934702,173.871552,"31.468025, 20.094336, 236.415787, 147.37059, 10.645576, 37.797707, 161.28952, 78.600807, 170.470474, 264.085419, 165.105484, ","[["" 124.944"", "" 129.204"", ""  65.570""], ["" 125.481"", "" 129.064"", ""  64.339""], ["" 123.991"", "" 129.928"", ""  65.858""], ["" 126.229"", "" 128.392"", ""  64.255""], ["" 125.600"", "" 128.371"", ""  66.671""], ["" 127.312"", "" 128.894"", ""  66.981""], ["" 128.254"", "" 127.402"", ""  67.197""], ["" 129.459"", "" 125.444"", ""  66.431""], ["" 128.717"", "" 126.610"", ""  66.124""], ["" 129.687"", "" 125.134"", ""  67.778""], ["" 128.434"", "" 126.979"", ""  64.733""], ["" 129.215"", "" 125.974"", ""  68.794""], ["" 128.210"", "" 127.269"", ""  63.635""], ["" 128.507"", "" 127.094"", ""  68.491""], ["" 130.020"", "" 124.519"", ""  65.400""], ["" 131.084"", "" 122.752"", ""  63.489""], ["" 131.738"", "" 123.947"", ""  63.790""], ["" 129.890"", "" 122.441"", ""  64.158""], ["" 131.214"", "" 124.822"", ""  64.738""], ["" 129.367"", "" 123.318"", ""  65.105""], ["" 131.678"", "" 121.948"", ""  62.537""], ["" 130.857"", "" 121.140"", ""  61.701""], ["" 129.436"", "" 125.691"", ""  70.252""], ["" 129.902"", "" 124.441"", ""  70.690""], ["" 129.178"", "" 126.669"", ""  71.225""], ["" 130.106"", "" 124.182"", ""  72.043""], ["" 129.382"", "" 126.414"", ""  72.577""], ["" 129.851"", "" 125.162"", ""  72.999""], ["" 130.084"", "" 124.819"", ""  74.317""], ["" 131.372"", "" 124.342"", ""  74.692""], ["" 125.128"", "" 129.685"", ""  63.125""], ["" 125.849"", "" 129.573"", ""  61.926""], ["" 123.962"", "" 130.449"", ""  63.152""], ["" 125.406"", "" 130.228"", ""  60.780""], ["" 123.519"", "" 131.104"", ""  62.005""], ["" 124.235"", "" 131.001"", ""  60.805""], ["" 123.729"", "" 131.716"", ""  59.586""], ["" 123.022"", "" 131.177"", ""  58.728""], ["" 124.130"", "" 133.011"", ""  59.520""], ["" 124.771"", "" 133.639"", ""  60.623""], ["" 123.760"", "" 134.520"", ""  61.364""]]",[],1a_Ghoteimi_2023
1,8215,1a_Grossjean_2025,receptor_tmp,1,1,-8.0,-0.2962962962962963,0.0,0.0,8,190.2,-10.08,-9.6,-0.48,-10.08,0.0,-0.81,2.09,-0.81,49,8,0.0,0.0,0.0,9.791109,7.806752,10.151,-0.97585038,-0.1828012,-0.11958163,84.386353,"129.559402, 49.874985, 133.476334, 155.672867, 11.99167, 92.745163, 267.993927, ","[["" 129.749"", "" 125.130"", ""  69.053""], ["" 129.193"", "" 126.379"", ""  69.335""], ["" 128.998"", "" 126.784"", ""  70.652""], ["" 129.357"", "" 125.946"", ""  71.716""], ["" 129.922"", "" 124.693"", ""  71.429""], ["" 130.119"", "" 124.287"", ""  70.112""], ["" 129.898"", "" 124.823"", ""  67.686""], ["" 129.299"", "" 125.364"", ""  66.604""], ["" 128.471"", "" 126.275"", ""  66.626""], ["" 130.584"", "" 124.107"", ""  67.501""], ["" 129.714"", "" 124.766"", ""  65.258""], ["" 130.044"", "" 122.982"", ""  65.373""], ["" 130.872"", "" 122.495"", ""  63.876""], ["" 132.736"", "" 122.404"", ""  62.332""], ["" 132.199"", "" 122.866"", ""  63.556""], ["" 131.941"", "" 121.621"", ""  61.488""], ["" 132.997"", "" 123.728"", ""  64.433""], ["" 130.635"", "" 121.324"", ""  61.873""], ["" 133.629"", "" 124.407"", ""  65.123""], ["" 130.102"", "" 121.753"", ""  63.041""], ["" 134.159"", "" 122.731"", ""  61.882""], ["" 129.720"", "" 120.488"", ""  60.997""], ["" 129.128"", "" 126.411"", ""  73.125""], ["" 129.990"", "" 126.982"", ""  73.799""], ["" 127.872"", "" 126.156"", ""  73.577""], ["" 126.806"", "" 127.065"", ""  73.336""], ["" 125.600"", "" 126.677"", ""  74.195""]]",[],1a_Grossjean_2025
2,3542,1aa_Ghoteimi_2023,receptor_tmp,1,5,-8.91,-0.2173170731707317,0.0,0.0,6,185.43,-12.19,-11.76,-0.43,-12.19,0.0,-2.34,3.28,-2.34,55,7,0.0,0.0,0.0,8.204407,10.346154,8.624454,0.49603916,0.63325966,-0.59407689,178.573441,"143.81694, 326.040466, 53.197136, 150.174423, 302.45459, 24.558603, 30.93676, 81.647293, 171.750748, 99.894257, 341.406006, ","[["" 124.955"", "" 129.259"", ""  65.699""], ["" 125.417"", "" 129.279"", ""  64.427""], ["" 123.934"", "" 129.827"", ""  66.086""], ["" 126.264"", "" 128.754"", ""  64.262""], ["" 125.771"", "" 128.465"", ""  66.732""], ["" 127.163"", "" 128.479"", ""  66.390""], ["" 128.009"", "" 127.480"", ""  66.852""], ["" 129.594"", "" 125.692"", ""  66.436""], ["" 128.742"", "" 126.706"", ""  65.938""], ["" 129.676"", "" 125.522"", ""  67.825""], ["" 128.625"", "" 126.986"", ""  64.506""], ["" 128.927"", "" 126.330"", ""  68.689""], ["" 128.098"", "" 127.288"", ""  68.197""], ["" 128.530"", "" 127.208"", ""  63.375""], ["" 130.410"", "" 124.792"", ""  65.568""], ["" 131.973"", "" 123.100"", ""  63.955""], ["" 132.469"", "" 124.333"", ""  64.377""], ["" 130.684"", "" 122.713"", ""  64.351""], ["" 131.698"", "" 125.170"", ""  65.178""], ["" 129.914"", "" 123.552"", ""  65.152""], ["" 132.808"", "" 122.336"", ""  63.163""], ["" 133.654"", "" 122.983"", ""  62.220""], ["" 128.967"", "" 126.180"", ""  70.183""], ["" 128.345"", "" 127.118"", ""  71.020""], ["" 129.621"", "" 125.094"", ""  70.788""], ["" 128.382"", "" 126.982"", ""  72.405""], ["" 129.661"", "" 124.956"", ""  72.173""], ["" 129.040"", "" 125.905"", ""  72.996""], ["" 129.026"", "" 125.853"", ""  74.377""], ["" 130.257"", "" 125.728"", ""  75.079""], ["" 124.902"", "" 129.911"", ""  63.280""], ["" 123.596"", "" 130.403"", ""  63.148""], ["" 125.794"", "" 130.044"", ""  62.215""], ["" 123.196"", "" 131.014"", ""  61.962""], ["" 125.394"", "" 130.654"", ""  61.031""], ["" 124.090"", "" 131.147"", ""  60.888""], ["" 123.689"", "" 131.799"", ""  59.596""], ["" 123.042"", "" 131.221"", ""  58.718""], ["" 124.108"", "" 133.086"", ""  59.492""], ["" 124.703"", "" 133.757"", ""  60.596""], ["" 123.647"", "" 134.613"", ""  61.302""]]",[],1aa_Ghoteimi_2023
3,3524,1b_Ghoteimi_2023,receptor_tmp,1,9,-9.97,-0.28485714285714286,0.0,0.0,10,187.19,-12.36,-11.64,-0.72,-12.36,0.0,-1.39,2.39,-1.39,46,8,0.0,0.0,0.0,8.62384,10.857664,10.188324,0.45664179,0.2684112,0.84819438,220.331985,"141.141891, 61.849724, 103.40062, 244.968689, 359.725128, 302.424164, 18.143244, 122.48465, ","[["" 127.079"", "" 128.536"", ""  65.562""], ["" 126.559"", "" 128.061"", ""  66.791""], ["" 125.289"", "" 128.576"", ""  67.311""], ["" 124.286"", "" 128.984"", ""  67.721""], ["" 127.268"", "" 127.038"", ""  67.460""], ["" 128.388"", "" 126.476"", ""  66.944""], ["" 128.889"", "" 126.923"", ""  65.763""], ["" 128.247"", "" 127.948"", ""  65.060""], ["" 126.450"", "" 129.629"", ""  64.762""], ["" 125.262"", "" 131.669"", ""  63.235""], ["" 124.551"", "" 130.508"", ""  63.541""], ["" 126.581"", "" 131.802"", ""  63.694""], ["" 125.139"", "" 129.496"", ""  64.295""], ["" 127.166"", "" 130.789"", ""  64.447""], ["" 124.599"", "" 132.618"", ""  62.482""], ["" 123.745"", "" 132.193"", ""  61.425""], ["" 126.769"", "" 126.325"", ""  69.014""], ["" 127.939"", "" 126.892"", ""  70.293""], ["" 128.372"", "" 125.817"", ""  71.300""], ["" 128.950"", "" 124.727"", ""  70.747""], ["" 128.190"", "" 125.977"", ""  72.509""], ["" 129.033"", "" 124.708"", ""  69.741""], ["" 129.434"", "" 123.605"", ""  71.409""], ["" 128.819"", "" 122.438"", ""  71.513""], ["" 130.664"", "" 123.580"", ""  72.064""], ["" 129.657"", "" 121.606"", ""  72.255""], ["" 130.768"", "" 122.309"", ""  72.581""], ["" 130.141"", "" 126.253"", ""  65.269""], ["" 131.161"", "" 125.885"", ""  66.159""], ["" 130.328"", "" 125.969"", ""  63.907""], ["" 132.321"", "" 125.263"", ""  65.706""], ["" 131.485"", "" 125.346"", ""  63.450""], ["" 132.497"", "" 124.986"", ""  64.351""], ["" 133.678"", "" 124.366"", ""  63.994""], ["" 134.090"", "" 124.390"", ""  62.632""]]",[],1b_Ghoteimi_2023
4,3579,1b_Grossjean_2025,receptor_tmp,1,17,-7.84,-0.30153846153846153,0.0,0.0,7,189.51,-9.63,-9.36,-0.27,-9.63,0.0,-0.64,1.79,-0.64,36,7,0.0,0.0,0.0,10.552353,6.715505,10.11627,0.86192239,0.49345553,-0.11658234,219.709091,"348.173126, 317.313354, 313.771851, 310.433167, 181.759842, 359.9039, ","[["" 129.601"", "" 125.634"", ""  66.288""], ["" 129.834"", "" 125.143"", ""  67.525""], ["" 128.849"", "" 126.569"", ""  66.020""], ["" 130.474"", "" 124.364"", ""  67.578""], ["" 130.366"", "" 124.946"", ""  65.156""], ["" 130.087"", "" 123.150"", ""  65.131""], ["" 130.912"", "" 122.504"", ""  63.692""], ["" 132.777"", "" 122.237"", ""  62.171""], ["" 132.245"", "" 122.824"", ""  63.342""], ["" 131.981"", "" 121.366"", ""  61.420""], ["" 133.075"", "" 123.704"", ""  64.168""], ["" 130.685"", "" 121.091"", ""  61.852""], ["" 133.733"", "" 124.399"", ""  64.818""], ["" 130.155"", "" 121.642"", ""  62.969""], ["" 134.200"", "" 122.510"", ""  61.687""], ["" 129.776"", "" 120.148"", ""  61.086""], ["" 129.309"", "" 125.536"", ""  68.770""], ["" 129.746"", "" 124.797"", ""  69.870""], ["" 128.404"", "" 126.590"", ""  68.967""], ["" 129.293"", "" 125.099"", ""  71.150""], ["" 127.951"", "" 126.891"", ""  70.248""], ["" 128.389"", "" 126.152"", ""  71.355""], ["" 127.879"", "" 126.507"", ""  72.723""], ["" 128.253"", "" 125.939"", ""  73.754""], ["" 126.962"", "" 127.508"", ""  72.711""], ["" 125.725"", "" 127.374"", ""  73.398""]]",[],1b_Grossjean_2025
5,8402,1c_Ghoteimi_2023,receptor_tmp,2,5,-9.45,-0.26999999999999996,0.0,0.0,6,191.42,-11.84,-11.07,-0.77,-11.84,0.0,-1.39,2.39,-1.39,47,10,0.0,0.0,0.0,9.28784,8.344335,9.783456,0.17442414,0.7792375,0.60196772,126.126701,"150.626129, 140.996765, 333.025848, 321.368378, 260.93158, 14.886574, 196.402451, 340.324677, ","[["" 129.709"", "" 125.925"", ""  66.382""], ["" 129.090"", "" 127.077"", ""  65.840""], ["" 129.177"", "" 127.379"", ""  64.407""], ["" 129.247"", "" 127.617"", ""  63.277""], ["" 128.375"", "" 127.918"", ""  66.718""], ["" 128.280"", "" 127.675"", ""  68.047""], ["" 128.906"", "" 126.593"", ""  68.579""], ["" 129.618"", "" 125.707"", ""  67.762""], ["" 130.426"", "" 124.905"", ""  65.563""], ["" 131.758"", "" 123.005"", ""  63.980""], ["" 132.402"", "" 124.180"", ""  64.365""], ["" 130.434"", "" 122.785"", ""  64.389""], ["" 131.743"", "" 125.123"", ""  65.147""], ["" 129.776"", "" 123.730"", ""  65.171""], ["" 132.490"", "" 122.126"", ""  63.204""], ["" 133.500"", "" 122.637"", ""  62.340""], ["" 127.410"", "" 129.301"", ""  66.151""], ["" 125.694"", "" 128.892"", ""  66.610""], ["" 124.673"", "" 129.555"", ""  65.679""], ["" 124.903"", "" 129.386"", ""  64.358""], ["" 123.752"", "" 130.217"", ""  66.160""], ["" 125.689"", "" 128.812"", ""  64.094""], ["" 124.229"", "" 130.000"", ""  63.315""], ["" 122.959"", "" 130.341"", ""  63.263""], ["" 125.161"", "" 130.426"", ""  61.916""], ["" 122.667"", "" 130.946"", ""  62.127""], ["" 123.717"", "" 131.108"", ""  61.229""], ["" 128.755"", "" 126.389"", ""  70.059""], ["" 128.007"", "" 127.278"", ""  70.846""], ["" 129.362"", "" 125.300"", ""  70.701""], ["" 127.865"", "" 127.083"", ""  72.217""], ["" 129.222"", "" 125.100"", ""  72.071""], ["" 128.467"", "" 125.995"", ""  72.843""], ["" 128.272"", "" 125.877"", ""  74.206""], ["" 127.228"", "" 126.620"", ""  74.826""]]",[],1c_Ghoteimi_2023
6,3530,1c_Grossjean_2025,receptor_tmp,1,13,-7.47,-0.31124999999999997,0.0,0.0,5,189.71,-8.96,-8.52,-0.44,-8.96,0.0,-0.55,1.49,-0.55,38,7,0.0,0.0,0.0,11.930151,7.584176,9.695168,0.38308439,-0.19256718,0.90341808,238.198502,"7.549182, 42.426369, 145.680344, 5.833484, 161.437378, ","[["" 129.499"", "" 125.569"", ""  66.806""], ["" 129.902"", "" 124.931"", ""  67.925""], ["" 128.689"", "" 126.495"", ""  66.763""], ["" 130.627"", "" 124.239"", ""  67.807""], ["" 130.133"", "" 125.073"", ""  65.504""], ["" 130.155"", "" 123.258"", ""  65.411""], ["" 130.966"", "" 122.783"", ""  63.897""], ["" 132.795"", "" 122.707"", ""  62.311""], ["" 132.283"", "" 123.164"", ""  63.548""], ["" 131.998"", "" 121.895"", ""  61.498""], ["" 133.123"", "" 123.970"", ""  64.437""], ["" 130.722"", "" 121.547"", ""  61.933""], ["" 133.786"", "" 124.607"", ""  65.139""], ["" 130.210"", "" 121.975"", ""  63.111""], ["" 134.198"", "" 123.060"", ""  61.821""], ["" 129.815"", "" 120.656"", ""  61.105""], ["" 129.506"", "" 125.134"", ""  69.261""], ["" 129.937"", "" 124.358"", ""  70.348""], ["" 128.644"", "" 126.209"", ""  69.485""], ["" 129.491"", "" 124.652"", ""  71.633""], ["" 128.201"", "" 126.500"", ""  70.772""], ["" 128.620"", "" 125.719"", ""  71.859""], ["" 128.233"", "" 125.931"", ""  73.169""], ["" 127.250"", "" 126.921"", ""  73.449""]]",[],1c_Grossjean_2025
7,8135,1d_Ghoteimi_2023,receptor_tmp,1,5,-8.63,-0.2876666666666667,0.0,0.0,12,191.48,-11.01,-10.24,-0.77,-11.01,0.0,-0.97,2.39,-0.97,38,10,0.0,0.0,0.0,9.58279,9.790078,9.865716,-0.9051717,0.19061027,0.3799104,205.321655,"56.287079, 16.162432, 195.390381, 135.702988, 46.253853, 241.759033, 304.951294, 348.731628, ","[["" 131.043"", "" 125.013"", ""  65.547""], ["" 129.781"", "" 125.997"", ""  66.325""], ["" 127.931"", "" 127.565"", ""  66.364""], ["" 128.876"", "" 126.820"", ""  65.617""], ["" 127.916"", "" 127.416"", ""  67.757""], ["" 128.868"", "" 126.857"", ""  64.151""], ["" 128.815"", "" 126.552"", ""  68.392""], ["" 128.861"", "" 126.888"", ""  62.994""], ["" 129.735"", "" 125.860"", ""  67.672""], ["" 126.938"", "" 128.499"", ""  65.751""], ["" 125.058"", "" 130.253"", ""  64.613""], ["" 124.691"", "" 129.401"", ""  65.654""], ["" 126.381"", "" 130.231"", ""  64.147""], ["" 125.621"", "" 128.534"", ""  66.221""], ["" 127.310"", "" 129.363"", ""  64.716""], ["" 124.068"", "" 131.074"", ""  64.108""], ["" 123.752"", "" 131.010"", ""  62.722""], ["" 128.836"", "" 126.349"", ""  69.879""], ["" 128.322"", "" 127.319"", ""  70.754""], ["" 129.377"", "" 125.183"", ""  70.442""], ["" 128.347"", "" 127.131"", ""  72.133""], ["" 129.406"", "" 124.993"", ""  71.821""], ["" 128.888"", "" 125.971"", ""  72.681""], ["" 128.875"", "" 125.872"", ""  74.059""], ["" 128.037"", "" 126.745"", ""  74.809""], ["" 132.626"", "" 125.863"", ""  65.825""], ["" 133.742"", "" 124.865"", ""  65.525""], ["" 134.700"", "" 124.726"", ""  66.286""], ["" 133.534"", "" 124.195"", ""  64.373""], ["" 133.474"", "" 124.889"", ""  63.136""]]",[],1d_Ghoteimi_2023
8,3488,1d_Grossjean_2025,receptor_tmp,1,6,-6.8,-0.3090909090909091,0.0,0.0,1,189.45,-7.99,-7.62,-0.37,-7.99,0.0,-0.62,1.19,-0.62,43,6,0.0,0.0,0.0,9.125247,10.754956,12.785773,0.49235455,-0.15001847,0.85736892,151.537796,"274.623016, 80.965263, 69.028458, 17.269455, ","[["" 127.008"", "" 126.499"", ""  69.291""], ["" 127.757"", "" 126.853"", ""  67.717""], ["" 127.908"", "" 127.930"", ""  65.553""], ["" 127.204"", "" 127.742"", ""  66.765""], ["" 129.098"", "" 127.227"", ""  65.337""], ["" 125.932"", "" 128.430"", ""  66.993""], ["" 129.556"", "" 126.353"", ""  66.319""], ["" 124.926"", "" 128.975"", ""  67.169""], ["" 128.901"", "" 126.160"", ""  67.488""], ["" 127.417"", "" 128.871"", ""  64.454""], ["" 130.833"", "" 125.555"", ""  66.140""], ["" 128.354"", "" 126.256"", ""  70.490""], ["" 127.883"", "" 126.453"", ""  71.932""], ["" 126.888"", "" 127.350"", ""  72.098""], ["" 128.433"", "" 125.821"", ""  72.834""], ["" 126.574"", "" 127.824"", ""  71.264""], ["" 126.221"", "" 127.751"", ""  73.270""], ["" 124.903"", "" 127.305"", ""  73.400""], ["" 126.793"", "" 128.529"", ""  74.292""], ["" 124.155"", "" 127.639"", ""  74.525""], ["" 126.042"", "" 128.861"", ""  75.416""], ["" 124.727"", "" 128.417"", ""  75.528""]]",[],1d_Grossjean_2025
9,3555,1e_Grossjean_2025,receptor_tmp,1,12,-6.7,-0.29130434782608694,0.0,0.0,1,190.25,-7.89,-7.91,0.02,-7.89,0.0,-0.67,1.19,-0.67,51,8,0.0,0.0,0.0,9.499836,8.568967,15.443533,-0.64201086,-0.07012476,0.76348188,142.805664,"127.51355, 121.875153, 57.074715, 68.056717, ","[["" 129.133"", "" 127.022"", ""  73.252""], ["" 127.449"", "" 126.743"", ""  73.878""], ["" 126.812"", "" 128.284"", ""  74.508""], ["" 125.137"", "" 129.742"", ""  75.477""], ["" 125.499"", "" 128.459"", ""  75.006""], ["" 126.082"", "" 130.772"", ""  75.451""], ["" 124.539"", "" 127.354"", ""  75.080""], ["" 127.362"", "" 130.505"", ""  74.969""], ["" 123.779"", "" 126.483"", ""  75.140""], ["" 127.729"", "" 129.286"", ""  74.510""], ["" 123.747"", "" 130.056"", ""  76.028""], ["" 128.435"", "" 131.575"", ""  74.933""], ["" 129.146"", "" 127.289"", ""  71.745""], ["" 128.276"", "" 126.561"", ""  71.012""], ["" 129.941"", "" 128.112"", ""  71.288""], ["" 127.730"", "" 125.873"", ""  71.508""], ["" 128.075"", "" 126.580"", ""  69.620""], ["" 129.118"", "" 126.570"", ""  68.739""], ["" 126.746"", "" 126.635"", ""  69.183""], ["" 128.848"", "" 126.603"", ""  67.409""], ["" 126.485"", "" 126.668"", ""  67.811""], ["" 127.545"", "" 126.653"", ""  66.905""], ["" 130.055"", "" 126.586"", ""  66.490""]]",[],1e_Grossjean_2025
10,3725,1f_Grossjean_2025,receptor_tmp,1,15,-6.88,-0.31272727272727274,0.0,0.0,4,190.38,-8.07,-7.82,-0.25,-8.07,0.0,-0.35,1.19,-0.35,48,5,0.0,0.0,0.0,9.351405,9.966326,11.997459,-0.54840961,0.83568661,0.02957688,254.8862,"345.3591, 286.973389, 296.600311, 36.252232, ","[["" 126.779"", "" 126.629"", ""  68.851""], ["" 126.544"", "" 127.632"", ""  67.397""], ["" 127.141"", "" 128.547"", ""  65.236""], ["" 127.464"", "" 127.706"", ""  66.325""], ["" 125.932"", "" 129.250"", ""  65.248""], ["" 128.700"", "" 126.919"", ""  66.304""], ["" 125.072"", "" 129.096"", ""  66.333""], ["" 129.676"", "" 126.299"", ""  66.286""], ["" 125.363"", "" 128.300"", ""  67.388""], ["" 128.059"", "" 128.718"", ""  64.027""], ["" 123.740"", "" 129.820"", ""  66.401""], ["" 128.559"", "" 126.610"", ""  69.256""], ["" 128.920"", "" 125.861"", ""  70.548""], ["" 129.436"", "" 124.629"", ""  70.356""], ["" 128.755"", "" 126.395"", ""  71.646""], ["" 129.552"", "" 124.340"", ""  69.395""], ["" 129.864"", "" 123.677"", ""  71.301""], ["" 129.111"", "" 122.500"", ""  71.396""], ["" 130.970"", "" 123.814"", ""  72.160""], ["" 129.400"", "" 121.495"", ""  72.261""], ["" 131.280"", "" 122.787"", ""  73.057""], ["" 130.474"", "" 121.649"", ""  73.075""]]",[],1f_Grossjean_2025
11,8025,1g_Grossjean_2025,receptor_tmp,1,12,-6.96,-0.3026086956521739,0.0,0.0,1,191.36,-8.45,-8.53,0.08,-8.45,0.0,-0.75,1.49,-0.75,49,5,0.0,0.0,0.0,8.314415,11.256717,14.748573,-0.70145691,0.12712344,0.70128299,191.843445,"111.743187, 17.643892, 219.224701, 236.053497, 210.375977, ","[["" 129.324"", "" 127.694"", ""  72.594""], ["" 127.728"", "" 127.187"", ""  73.303""], ["" 127.066"", "" 128.592"", ""  74.171""], ["" 125.360"", "" 129.820"", ""  75.373""], ["" 125.760"", "" 128.635"", ""  74.714""], ["" 126.262"", "" 130.884"", ""  75.477""], ["" 124.851"", "" 127.489"", ""  74.639""], ["" 127.538"", "" 130.745"", ""  74.934""], ["" 124.131"", "" 126.585"", ""  74.583""], ["" 127.942"", "" 129.621"", ""  74.296""], ["" 123.971"", "" 129.989"", ""  75.989""], ["" 128.567"", "" 131.855"", ""  75.029""], ["" 129.361"", "" 127.508"", ""  71.077""], ["" 128.936"", "" 126.321"", ""  70.612""], ["" 129.760"", "" 128.422"", ""  70.353""], ["" 128.644"", "" 125.620"", ""  71.279""], ["" 128.940"", "" 125.908"", ""  69.209""], ["" 128.144"", "" 126.823"", ""  68.283""], ["" 126.751"", "" 126.719"", ""  68.227""], ["" 128.808"", "" 127.770"", ""  67.498""], ["" 126.024"", "" 127.554"", ""  67.382""], ["" 128.080"", "" 128.607"", ""  66.655""], ["" 126.693"", "" 128.495"", ""  66.600""]]",[],1g_Grossjean_2025
12,3970,1h_Grossjean_2025,receptor_tmp,1,3,-7.3,-0.2517241379310345,0.0,0.0,4,189.33,-9.69,-8.76,-0.93,-9.69,0.0,-1.22,2.39,-1.22,45,10,0.0,0.0,0.0,9.216002,11.109878,10.809349,0.00887065,-0.42789549,-0.90378469,66.919319,"45.403343, 40.654915, 115.152939, 101.932953, 60.548569, 170.94809, 94.163185, 1.053351, ","[["" 129.120"", "" 128.149"", ""  67.702""], ["" 128.709"", "" 126.872"", ""  67.595""], ["" 130.137"", "" 128.491"", ""  68.305""], ["" 127.855"", "" 126.681"", ""  67.093""], ["" 128.243"", "" 129.205"", ""  67.029""], ["" 126.586"", "" 128.566"", ""  66.639""], ["" 126.167"", "" 129.087"", ""  64.984""], ["" 124.664"", "" 130.029"", ""  63.331""], ["" 124.907"", "" 129.649"", ""  64.671""], ["" 125.667"", "" 129.838"", ""  62.375""], ["" 123.876"", "" 129.839"", ""  65.694""], ["" 126.881"", "" 129.279"", ""  62.770""], ["" 123.060"", "" 129.990"", ""  66.502""], ["" 127.134"", "" 128.909"", ""  64.046""], ["" 123.341"", "" 130.641"", ""  62.877""], ["" 128.007"", "" 129.045"", ""  61.781""], ["" 129.378"", "" 125.717"", ""  68.193""], ["" 129.263"", "" 125.652"", ""  69.713""], ["" 128.734"", "" 126.729"", ""  70.426""], ["" 129.739"", "" 124.537"", ""  70.404""], ["" 128.642"", "" 126.690"", ""  71.826""], ["" 129.665"", "" 124.472"", ""  71.805""], ["" 129.104"", "" 125.551"", ""  72.503""], ["" 128.118"", "" 127.713"", ""  72.594""], ["" 126.804"", "" 127.586"", ""  73.124""], ["" 130.115"", "" 123.400"", ""  72.553""], ["" 131.489"", "" 123.032"", ""  72.492""], ["" 129.031"", "" 125.505"", ""  73.874""], ["" 130.239"", "" 125.864"", ""  74.531""]]",[],1h_Grossjean_2025
13,3300,1i_Grossjean_2025,receptor_tmp,1,16,-7.34,-0.3495238095238095,0.0,0.0,10,189.37,-8.53,-8.04,-0.49,-8.53,0.0,-0.82,1.19,-0.82,30,7,0.0,0.0,0.0,7.779184,10.897837,12.202895,0.39370048,0.05424243,0.91763702,180.63382,"313.647675, 103.716888, 138.207306, 99.4217, ","[["" 126.820"", "" 126.228"", ""  69.143""], ["" 127.635"", "" 126.729"", ""  67.643""], ["" 127.879"", "" 128.011"", ""  65.602""], ["" 127.125"", "" 127.710"", ""  66.760""], ["" 129.076"", "" 127.325"", ""  65.368""], ["" 125.844"", "" 128.381"", ""  66.999""], ["" 129.491"", "" 126.357"", ""  66.279""], ["" 124.832"", "" 128.910"", ""  67.185""], ["" 128.787"", "" 126.055"", ""  67.396""], ["" 127.437"", "" 129.057"", ""  64.580""], ["" 130.772"", "" 125.571"", ""  66.075""], ["" 127.728"", "" 126.963"", ""  70.535""], ["" 128.313"", "" 125.899"", ""  71.467""], ["" 128.845"", "" 124.818"", ""  70.855""], ["" 128.267"", "" 126.073"", ""  72.685""], ["" 128.847"", "" 124.812"", ""  69.845""], ["" 129.440"", "" 123.719"", ""  71.458""], ["" 128.926"", "" 122.503"", ""  71.536""], ["" 130.693"", "" 123.771"", ""  72.066""], ["" 129.855"", "" 121.716"", ""  72.219""], ["" 130.917"", "" 122.496"", ""  72.533""]]",[],1i_Grossjean_2025
14,8230,1j_Grossjean_2025,receptor_tmp,1,7,-6.68,-0.3180952380952381,0.0,0.0,5,189.28,-7.88,-7.44,-0.44,-7.88,0.0,-0.54,1.19,-0.54,42,6,0.0,0.0,0.0,10.012528,7.980736,12.174615,-0.24005933,0.95827744,-0.155164,287.132446,"181.602005, 111.80574, 16.453547, 342.457031, ","[["" 129.071"", "" 127.174"", ""  69.332""], ["" 129.105"", "" 126.764"", ""  67.600""], ["" 128.895"", "" 127.227"", ""  65.232""], ["" 128.830"", "" 127.690"", ""  66.566""], ["" 129.207"", "" 125.886"", ""  64.988""], ["" 128.453"", "" 129.078"", ""  66.846""], ["" 129.438"", "" 125.038"", ""  66.069""], ["" 128.154"", "" 130.174"", ""  67.064""], ["" 129.386"", "" 125.460"", ""  67.354""], ["" 128.629"", "" 128.134"", ""  64.031""], ["" 129.767"", "" 123.570"", ""  65.870""], ["" 127.890"", "" 126.054"", ""  70.141""], ["" 128.524"", "" 125.299"", ""  71.311""], ["" 129.267"", "" 124.222"", ""  70.974""], ["" 128.330"", "" 125.694"", ""  72.461""], ["" 129.371"", "" 124.014"", ""  69.992""], ["" 129.947"", "" 123.381"", ""  71.844""], ["" 129.738"", "" 122.098"", ""  72.054""], ["" 131.234"", "" 124.076"", ""  72.774""], ["" 130.574"", "" 121.614"", ""  72.951""], ["" 131.489"", "" 122.513"", ""  73.490""]]",[],1j_Grossjean_2025
