,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,6379,ZINC100024116,4h2i_c_1_mae_prepped,19,19,-5.45,-0.45416666666666666,0.0,0.0,20,191.74,-5.45,-5.4,-0.06,-5.45,0.0,0.0,0.0,0.0,23,0,0.0,0.0,0.0,16.539276,18.598543,4.735283,-0.36231219,0.92666524,-0.10010698,195.286362,,"[["" 133.034"", "" 130.121"", ""  57.481""], ["" 131.352"", "" 130.208"", ""  58.095""], ["" 130.856"", "" 131.683"", ""  58.091""], ["" 129.413"", "" 131.801"", ""  59.142""], ["" 130.487"", "" 132.228"", ""  56.681""], ["" 131.976"", "" 132.593"", ""  55.750""], ["" 129.569"", "" 131.249"", ""  55.899""], ["" 129.248"", "" 131.877"", ""  54.253""], ["" 130.126"", "" 129.802"", ""  55.850""], ["" 128.923"", "" 128.735"", ""  55.062""], ["" 130.414"", "" 129.275"", ""  57.280""], ["" 131.074"", "" 127.611"", ""  57.239""]]",[],ZINC100024116
1,10895,ZINC100034590,4h2i_c_1_mae_prepped,1,14,-3.96,-0.14142857142857143,0.0,0.0,12,190.06,-6.65,-6.69,0.04,-6.65,0.0,-0.7,2.68,-0.7,97,6,0.0,0.0,0.0,16.695158,19.651221,5.022991,0.84487511,-0.44314946,0.29967417,173.491425,"341.118896, 67.469727, 98.214218, 34.85759, 6.495229, 41.569275, 3.123399, 27.874352, 55.261387, ","[["" 130.857"", "" 131.251"", ""  56.773""], ["" 130.463"", "" 130.024"", ""  56.409""], ["" 130.156"", "" 132.278"", ""  56.052""], ["" 128.932"", "" 131.976"", ""  55.375""], ["" 128.330"", "" 133.119"", ""  55.038""], ["" 128.104"", "" 131.291"", ""  56.168""], ["" 129.287"", "" 131.163"", ""  54.116""], ["" 130.548"", "" 130.727"", ""  54.116""], ["" 129.080"", "" 131.849"", ""  52.990""], ["" 128.184"", "" 129.620"", ""  54.010""], ["" 126.768"", "" 129.973"", ""  54.164""], ["" 128.792"", "" 128.488"", ""  54.719""], ["" 128.394"", "" 129.316"", ""  52.427""], ["" 132.374"", "" 131.422"", ""  56.480""], ["" 132.640"", "" 131.366"", ""  55.175""], ["" 132.834"", "" 132.597"", ""  56.914""], ["" 133.107"", "" 130.480"", ""  57.075""], ["" 130.492"", "" 131.464"", ""  58.268""], ["" 129.807"", "" 132.597"", ""  58.449""], ["" 129.726"", "" 130.458"", ""  58.701""], ["" 131.710"", "" 131.500"", ""  59.022""], ["" 131.690"", "" 131.093"", ""  60.396""], ["" 130.801"", "" 131.816"", ""  61.081""], ["" 131.341"", "" 129.808"", ""  60.492""], ["" 133.107"", "" 131.310"", ""  60.961""], ["" 133.473"", "" 130.294"", ""  61.743""], ["" 134.014"", "" 131.406"", ""  59.988""], ["" 133.177"", "" 132.420"", ""  61.695""]]",[],ZINC100034590
2,342,ZINC100043079,4h2i_c_1_mae_prepped,3,13,-2.92,-0.10814814814814815,0.0,0.0,20,189.18,-3.81,-3.8,-0.01,-3.81,0.0,0.13,0.89,0.13,79,0,0.0,0.0,0.0,16.671676,18.661912,5.502264,0.35464769,-0.88262297,-0.30854775,270.001373,"296.763306, 36.94215, 14.540709, ","[["" 131.785"", "" 130.891"", ""  59.887""], ["" 131.252"", "" 129.735"", ""  60.295""], ["" 130.924"", "" 131.850"", ""  60.243""], ["" 133.110"", "" 131.115"", ""  60.664""], ["" 133.360"", "" 130.130"", ""  61.527""], ["" 133.072"", "" 132.251"", ""  61.364""], ["" 134.163"", "" 131.192"", ""  59.849""], ["" 131.948"", "" 130.877"", ""  58.330""], ["" 132.798"", "" 131.856"", ""  58.007""], ["" 132.586"", "" 129.750"", ""  58.004""], ["" 130.582"", "" 131.016"", ""  57.524""], ["" 129.778"", "" 129.670"", ""  57.412""], ["" 130.757"", "" 131.634"", ""  56.089""], ["" 128.436"", "" 129.814"", ""  56.632""], ["" 129.417"", "" 131.779"", ""  55.309""], ["" 128.656"", "" 130.428"", ""  55.223""], ["" 129.769"", "" 131.858"", ""  58.173""], ["" 130.533"", "" 128.765"", ""  56.783""], ["" 129.527"", "" 129.181"", ""  58.629""], ["" 131.349"", "" 132.829"", ""  56.172""], ["" 131.574"", "" 130.850"", ""  55.378""], ["" 127.840"", "" 128.623"", ""  56.522""], ["" 127.609"", "" 130.603"", ""  57.324""], ["" 129.650"", "" 132.248"", ""  54.081""], ["" 128.643"", "" 132.674"", ""  55.930""], ["" 129.371"", "" 129.575"", ""  54.485""], ["" 127.484"", "" 130.597"", ""  54.605""]]",[],ZINC100043079
3,3703,ZINC100045963,4h2i_c_1_mae_prepped,1,7,-9.12,-0.24,0.0,0.0,4,184.61,-12.1,-11.73,-0.38,-12.1,0.0,-2.14,2.98,-2.14,44,7,0.0,0.0,0.0,10.388268,17.03799,9.55908,-0.19022774,0.07542354,0.97883844,274.489716,"65.792831, 18.938148, 140.265778, 60.255699, 20.398733, 177.261429, 85.362671, 0.074831, 164.729492, 357.918457, ","[["" 126.744"", "" 135.299"", ""  61.022""], ["" 126.351"", "" 136.784"", ""  61.002""], ["" 125.638"", "" 137.201"", ""  59.703""], ["" 125.685"", "" 138.718"", ""  59.455""], ["" 124.299"", "" 139.376"", ""  59.501""], ["" 125.672"", "" 134.537"", ""  60.470""], ["" 125.776"", "" 133.160"", ""  60.416""], ["" 127.060"", "" 132.629"", ""  60.530""], ["" 124.686"", "" 132.290"", ""  60.258""], ["" 127.264"", "" 131.253"", ""  60.473""], ["" 124.890"", "" 130.913"", ""  60.203""], ["" 126.180"", "" 130.391"", ""  60.290""], ["" 126.376"", "" 128.935"", ""  60.233""], ["" 127.141"", "" 128.226"", ""  59.369""], ["" 127.366"", "" 126.773"", ""  59.423""], ["" 127.911"", "" 128.662"", ""  58.184""], ["" 126.873"", "" 125.844"", ""  60.344""], ["" 128.169"", "" 126.359"", ""  58.360""], ["" 128.635"", "" 127.587"", ""  57.661""], ["" 128.005"", "" 129.923"", ""  57.589""], ["" 127.133"", "" 124.478"", ""  60.194""], ["" 128.338"", "" 124.978"", ""  58.127""], ["" 129.611"", "" 127.831"", ""  56.672""], ["" 128.878"", "" 130.156"", ""  56.520""], ["" 127.854"", "" 124.062"", ""  59.070""], ["" 129.690"", "" 129.102"", ""  56.091""], ["" 126.621"", "" 123.493"", ""  61.179""], ["" 127.426"", "" 122.779"", ""  61.769""], ["" 125.410"", "" 123.427"", ""  61.369""], ["" 128.906"", "" 124.439"", ""  56.878""], ["" 129.382"", "" 123.308"", ""  56.897""], ["" 128.822"", "" 125.131"", ""  55.868""], ["" 130.630"", "" 126.836"", ""  56.291""], ["" 130.825"", "" 126.649"", ""  55.094""], ["" 131.192"", "" 126.209"", ""  57.184""], ["" 128.969"", "" 131.496"", ""  55.891""], ["" 128.275"", "" 131.730"", ""  54.905""], ["" 129.733"", "" 132.325"", ""  56.376""]]",[],ZINC100045963
4,6070,ZINC100046143,4h2i_c_1_mae_prepped,1,12,-3.87,-0.13344827586206898,0.0,0.0,3,187.44,-7.75,-7.54,-0.21,-7.75,0.0,-0.46,3.88,-0.46,72,2,0.0,0.0,0.0,15.136887,15.654176,3.796673,0.02778412,0.1780842,0.98362293,140.528778,"101.487846, 185.130569, 1.76198, 59.51329, 317.053131, 215.777893, 334.997589, 239.51889, 299.465118, 108.872643, 105.449631, 54.595963, 22.507359, ","[["" 129.083"", "" 126.242"", ""  56.429""], ["" 130.224"", "" 125.209"", ""  56.528""], ["" 129.927"", "" 124.088"", ""  57.541""], ["" 128.437"", "" 123.712"", ""  57.602""], ["" 128.217"", "" 122.189"", ""  57.674""], ["" 127.464"", "" 121.707"", ""  56.563""], ["" 126.110"", "" 121.839"", ""  56.504""], ["" 125.405"", "" 121.367"", ""  55.610""], ["" 125.528"", "" 122.604"", ""  57.606""], ["" 125.167"", "" 123.900"", ""  57.531""], ["" 129.530"", "" 127.637"", ""  55.925""], ["" 130.747"", "" 127.902"", ""  56.406""], ["" 129.651"", "" 127.602"", ""  54.596""], ["" 128.529"", "" 128.757"", ""  56.346""], ["" 127.503"", "" 128.193"", ""  56.991""], ["" 129.124"", "" 129.552"", ""  57.240""], ["" 127.995"", "" 129.613"", ""  55.151""], ["" 127.605"", "" 128.800"", ""  54.167""], ["" 126.897"", "" 130.270"", ""  55.534""], ["" 129.040"", "" 130.636"", ""  54.593""], ["" 130.191"", "" 130.005"", ""  54.344""], ["" 128.621"", "" 131.101"", ""  53.414""], ["" 129.314"", "" 131.841"", ""  55.549""], ["" 128.986"", "" 132.987"", ""  54.948""], ["" 128.535"", "" 131.755"", ""  56.631""], ["" 130.789"", "" 131.942"", ""  56.018""], ["" 131.618"", "" 132.085"", ""  54.982""], ["" 130.988"", "" 132.983"", ""  56.828""], ["" 131.177"", "" 130.854"", ""  56.686""]]",[],ZINC100046143
5,6701,ZINC100050078,4h2i_c_1_mae_prepped,1,5,-9.0,-0.25,0.0,0.0,14,186.37,-11.68,-11.29,-0.39,-11.68,0.0,-2.4,2.68,-2.4,56,9,0.0,0.0,0.0,15.742985,12.293502,4.810759,0.03867675,0.33706932,0.94068506,270.582489,"355.291229, 63.268261, 330.316132, 318.19165, 348.510223, 345.799988, 304.332458, 315.544403, 344.362793, ","[["" 128.574"", "" 128.556"", ""  55.095""], ["" 128.788"", "" 129.982"", ""  54.578""], ["" 127.891"", "" 130.570"", ""  53.969""], ["" 130.015"", "" 130.482"", ""  54.853""], ["" 130.163"", "" 131.618"", ""  55.695""], ["" 131.653"", "" 131.915"", ""  55.889""], ["" 129.765"", "" 128.037"", ""  55.683""], ["" 129.690"", "" 126.897"", ""  56.462""], ["" 128.688"", "" 126.675"", ""  57.421""], ["" 130.681"", "" 125.924"", ""  56.268""], ["" 128.667"", "" 125.501"", ""  58.166""], ["" 130.649"", "" 124.747"", ""  57.034""], ["" 129.640"", "" 124.513"", ""  57.976""], ["" 131.647"", "" 126.193"", ""  55.314""], ["" 133.005"", "" 125.859"", ""  55.578""], ["" 129.626"", "" 123.193"", ""  58.788""], ["" 128.140"", "" 122.732"", ""  59.124""], ["" 127.477"", "" 123.510"", ""  60.301""], ["" 127.276"", "" 122.524"", ""  57.844""], ["" 128.120"", "" 124.078"", ""  61.182""], ["" 125.941"", "" 123.526"", ""  60.339""], ["" 125.751"", "" 122.610"", ""  58.010""], ["" 127.763"", "" 122.280"", ""  56.740""], ["" 125.272"", "" 123.740"", ""  58.957""], ["" 123.751"", "" 123.568"", ""  59.150""], ["" 125.630"", "" 125.136"", ""  58.376""], ["" 130.641"", "" 123.185"", ""  60.008""], ["" 130.471"", "" 122.002"", ""  60.990""], ["" 132.135"", "" 123.288"", ""  59.615""], ["" 129.740"", "" 121.030"", ""  60.805""], ["" 131.352"", "" 122.138"", ""  62.245""], ["" 133.065"", "" 123.450"", ""  60.829""], ["" 132.562"", "" 123.243"", ""  58.462""], ["" 132.866"", "" 122.334"", ""  61.908""], ["" 133.565"", "" 122.812"", ""  63.198""], ["" 133.454"", "" 121.000"", ""  61.380""]]",[],ZINC100050078
6,3075,ZINC100050142,4h2i_c_1_mae_prepped,1,10,-8.46,-0.22864864864864867,0.0,0.0,17,188.42,-12.04,-11.37,-0.67,-12.04,0.0,-3.84,3.58,-3.84,48,13,0.0,0.0,0.0,16.591094,13.273626,6.338846,0.08263987,0.38933452,0.91738175,106.637154,"278.473389, 161.390091, 37.537071, 311.90802, 103.20266, 237.917007, 183.858276, 257.526062, 172.18808, 355.921112, 101.70546, 42.625957, ","[["" 130.861"", "" 127.752"", ""  57.359""], ["" 131.281"", "" 126.468"", ""  57.743""], ["" 130.387"", "" 125.465"", ""  58.171""], ["" 129.017"", "" 125.799"", ""  58.218""], ["" 128.588"", "" 127.073"", ""  57.819""], ["" 129.489"", "" 128.057"", ""  57.405""], ["" 131.738"", "" 128.721"", ""  56.898""], ["" 132.424"", "" 129.563"", ""  57.818""], ["" 128.950"", "" 129.314"", ""  57.039""], ["" 127.668"", "" 129.395"", ""  56.328""], ["" 127.750"", "" 129.519"", ""  54.793""], ["" 127.063"", "" 130.638"", ""  54.279""], ["" 126.376"", "" 130.887"", ""  54.901""], ["" 129.230"", "" 130.379"", ""  58.003""], ["" 129.012"", "" 131.795"", ""  57.443""], ["" 130.118"", "" 132.239"", ""  56.582""], ["" 130.989"", "" 132.590"", ""  55.904""], ["" 130.794"", "" 124.164"", ""  58.552""], ["" 130.875"", "" 123.929"", ""  59.797""], ["" 131.282"", "" 122.612"", ""  60.029""], ["" 132.662"", "" 122.324"", ""  60.048""], ["" 130.362"", "" 121.557"", ""  60.275""], ["" 133.124"", "" 121.031"", ""  60.275""], ["" 130.865"", "" 120.262"", ""  60.497""], ["" 132.235"", "" 119.981"", ""  60.500""], ["" 133.847"", "" 123.563"", ""  59.785""], ["" 128.879"", "" 121.755"", ""  60.313""], ["" 128.281"", "" 121.767"", ""  61.383""], ["" 128.282"", "" 121.896"", ""  59.249""], ["" 132.731"", "" 118.603"", ""  60.741""], ["" 133.927"", "" 118.372"", ""  60.584""], ["" 131.930"", "" 117.742"", ""  61.091""], ["" 128.094"", "" 124.807"", ""  58.627""], ["" 126.750"", "" 124.802"", ""  58.498""], ["" 126.079"", "" 125.712"", ""  58.011""], ["" 128.495"", "" 124.065"", ""  59.181""], ["" 126.038"", "" 123.569"", ""  59.045""]]",[],ZINC100050142
7,13961,ZINC100052783,4h2i_c_1_mae_prepped,1,3,-9.93,-0.21127659574468086,0.0,0.0,6,182.94,-13.51,-13.33,-0.18,-13.51,0.0,-2.89,3.58,-2.89,74,4,0.0,0.0,0.0,17.175116,12.259011,6.706469,0.85185496,-0.52318832,-0.02484167,85.355743,"80.408226, 202.651016, 79.718002, 68.337181, 178.216965, 171.739258, 234.491821, 0.62674, 58.267559, 46.632359, 240.326202, 33.852654, ","[["" 131.355"", "" 125.072"", ""  57.620""], ["" 132.698"", "" 124.882"", ""  57.297""], ["" 133.459"", "" 124.249"", ""  58.278""], ["" 132.762"", "" 123.903"", ""  59.436""], ["" 131.106"", "" 124.434"", ""  59.231""], ["" 130.215"", "" 125.716"", ""  56.802""], ["" 128.843"", "" 125.278"", ""  57.384""], ["" 126.340"", "" 124.473"", ""  58.453""], ["" 127.188"", "" 123.553"", ""  57.816""], ["" 126.768"", "" 125.808"", ""  58.530""], ["" 128.414"", "" 123.948"", ""  57.290""], ["" 127.995"", "" 126.203"", ""  58.005""], ["" 125.084"", "" 124.070"", ""  58.992""], ["" 123.842"", "" 124.533"", ""  58.372""], ["" 124.992"", "" 123.628"", ""  60.384""], ["" 130.372"", "" 125.221"", ""  55.475""], ["" 130.852"", "" 124.390"", ""  55.519""], ["" 130.309"", "" 127.264"", ""  56.748""], ["" 129.632"", "" 128.024"", ""  55.785""], ["" 131.119"", "" 127.935"", ""  57.671""], ["" 129.751"", "" 129.410"", ""  55.759""], ["" 131.239"", "" 129.322"", ""  57.643""], ["" 130.555"", "" 130.091"", ""  56.688""], ["" 130.682"", "" 131.508"", ""  56.654""], ["" 132.000"", "" 132.123"", ""  56.491""], ["" 129.634"", "" 132.352"", ""  57.231""], ["" 133.261"", "" 123.201"", ""  60.720""], ["" 134.681"", "" 123.264"", ""  60.683""], ["" 134.940"", "" 124.184"", ""  60.597""], ["" 132.806"", "" 123.927"", ""  62.017""], ["" 133.779"", "" 124.454"", ""  62.876""], ["" 131.459"", "" 124.103"", ""  62.358""], ["" 133.420"", "" 125.117"", ""  64.045""], ["" 131.101"", "" 124.769"", ""  63.527""], ["" 132.071"", "" 125.287"", ""  64.398""], ["" 131.702"", "" 125.971"", ""  65.591""], ["" 130.314"", "" 125.941"", ""  66.055""], ["" 132.718"", "" 126.311"", ""  66.588""], ["" 132.817"", "" 121.713"", ""  60.664""], ["" 133.690"", "" 120.664"", ""  60.983""], ["" 131.500"", "" 121.393"", ""  60.311""], ["" 133.261"", "" 119.342"", ""  60.936""], ["" 131.071"", "" 120.070"", ""  60.267""], ["" 131.943"", "" 119.014"", ""  60.578""], ["" 131.506"", "" 117.659"", ""  60.528""], ["" 131.631"", "" 116.804"", ""  61.709""], ["" 130.529"", "" 117.243"", ""  59.522""]]",[],ZINC100052783
8,7251,ZINC100053898,4h2i_c_1_mae_prepped,1,1,-9.7,-0.2255813953488372,0.0,0.0,2,185.93,-13.58,-13.17,-0.41,-13.58,0.0,-2.37,3.88,-2.37,59,11,0.0,0.0,0.0,15.079602,12.789734,7.66085,-0.06454741,-0.72303859,-0.68778545,98.911705,"126.597984, 299.117676, 182.414093, 229.926331, 336.847717, 324.978302, 327.675262, 236.562881, 33.104942, 346.233673, 216.708664, 129.754654, 58.050522, ","[["" 129.075"", "" 126.858"", ""  59.615""], ["" 127.975"", "" 126.095"", ""  59.468""], ["" 127.195"", "" 126.150"", ""  58.512""], ["" 129.687"", "" 126.768"", ""  60.414""], ["" 129.448"", "" 127.765"", ""  58.693""], ["" 130.237"", "" 128.650"", ""  59.157""], ["" 130.790"", "" 129.746"", ""  58.350""], ["" 130.401"", "" 131.639"", ""  56.841""], ["" 129.921"", "" 130.571"", ""  57.622""], ["" 131.783"", "" 131.866"", ""  56.792""], ["" 132.658"", "" 131.053"", ""  57.507""], ["" 132.167"", "" 130.004"", ""  58.279""], ["" 129.588"", "" 132.488"", ""  56.110""], ["" 128.749"", "" 131.959"", ""  55.090""], ["" 129.617"", "" 131.169"", ""  54.105""], ["" 132.295"", "" 132.893"", ""  56.041""], ["" 131.616"", "" 133.422"", ""  55.615""], ["" 127.691"", "" 125.096"", ""  60.611""], ["" 126.404"", "" 124.273"", ""  60.348""], ["" 126.387"", "" 123.497"", ""  59.039""], ["" 125.248"", "" 123.534"", ""  58.207""], ["" 127.513"", "" 122.744"", ""  58.649""], ["" 125.236"", "" 122.822"", ""  56.991""], ["" 127.501"", "" 122.030"", ""  57.434""], ["" 126.362"", "" 122.070"", ""  56.605""], ["" 126.349"", "" 121.380"", ""  55.427""], ["" 127.204"", "" 121.354"", ""  54.994""], ["" 128.827"", "" 124.191"", ""  60.823""], ["" 128.799"", "" 123.017"", ""  61.484""], ["" 127.771"", "" 122.555"", ""  61.984""], ["" 129.702"", "" 124.503"", ""  60.427""], ["" 130.106"", "" 122.254"", ""  61.556""], ["" 131.254"", "" 122.884"", ""  62.053""], ["" 130.206"", "" 120.920"", ""  61.130""], ["" 132.481"", "" 122.212"", ""  62.137""], ["" 131.417"", "" 120.218"", ""  61.201""], ["" 132.544"", "" 120.879"", ""  61.708""], ["" 133.686"", "" 122.895"", ""  62.670""], ["" 134.786"", "" 122.587"", ""  62.216""], ["" 133.544"", "" 123.744"", ""  63.544""], ["" 131.504"", "" 118.808"", ""  60.747""], ["" 130.463"", "" 118.176"", ""  60.584""], ["" 132.614"", "" 118.320"", ""  60.550""]]",[],ZINC100053898
9,10107,ZINC100058471,4h2i_c_1_mae_prepped,2,9,-8.27,-0.3595652173913043,0.0,0.0,20,191.64,-8.87,-8.86,-0.01,-8.87,0.0,-0.32,0.6,-0.32,36,1,0.0,0.0,0.0,13.323679,19.86838,7.607634,0.86438099,-0.06662155,-0.49840453,162.707275,"24.070904, 47.400455, ","[["" 129.805"", "" 131.916"", ""  57.377""], ["" 131.125"", "" 132.368"", ""  57.237""], ["" 131.832"", "" 132.156"", ""  56.052""], ["" 131.227"", "" 131.488"", ""  54.989""], ["" 129.917"", "" 131.032"", ""  55.111""], ["" 129.006"", "" 130.028"", ""  53.518""], ["" 129.211"", "" 131.243"", ""  56.296""], ["" 129.093"", "" 132.155"", ""  58.639""], ["" 128.431"", "" 131.255"", ""  59.266""], ["" 127.830"", "" 131.658"", ""  60.428""], ["" 125.623"", "" 131.219"", ""  59.792""], ["" 126.480"", "" 131.572"", ""  60.606""], ["" 126.184"", "" 132.063"", ""  62.018""], ["" 127.558"", "" 132.279"", ""  62.650""], ["" 125.493"", "" 131.028"", ""  62.965""], ["" 128.552"", "" 131.898"", ""  61.561""], ["" 127.541"", "" 131.351"", ""  63.909""], ["" 125.276"", "" 131.734"", ""  64.306""], ["" 126.674"", "" 130.216"", ""  63.431""], ["" 129.776"", "" 131.870"", ""  61.708""], ["" 126.495"", "" 131.925"", ""  64.868""], ["" 126.571"", "" 128.865"", ""  64.115""], ["" 127.190"", "" 128.970"", ""  62.740""]]",[],ZINC100058471
10,4547,ZINC100073136,4h2i_c_1_mae_prepped,1,5,-4.11,-0.12454545454545456,0.0,0.0,5,183.13,-7.39,-8.19,-0.04,-8.23,0.84,-2.96,3.28,-2.96,53,1,0.0,0.0,0.0,17.286909,10.447988,7.50447,-0.03536052,-0.30973341,-0.95016569,117.160698,"0.049081, 0.003504, 359.9729, 325.496338, 15.554584, 333.714447, 345.182739, 238.557251, 54.406937, 2.174225, 29.639141, ","[["" 131.965"", "" 127.036"", ""  57.487""], ["" 131.809"", "" 125.541"", ""  57.863""], ["" 132.718"", "" 124.737"", ""  56.900""], ["" 132.016"", "" 125.382"", ""  59.429""], ["" 132.701"", "" 124.158"", ""  60.147""], ["" 133.897"", "" 123.620"", ""  59.313""], ["" 133.351"", "" 124.758"", ""  61.431""], ["" 131.675"", "" 123.039"", ""  60.505""], ["" 131.735"", "" 121.737"", ""  59.969""], ["" 130.652"", "" 123.193"", ""  61.480""], ["" 130.642"", "" 120.886"", ""  60.210""], ["" 129.406"", "" 122.815"", ""  60.912""], ["" 129.412"", "" 121.568"", ""  60.250""], ["" 130.965"", "" 122.386"", ""  62.816""], ["" 132.459"", "" 122.435"", ""  63.256""], ["" 130.210"", "" 123.046"", ""  63.999""], ["" 130.544"", "" 120.845"", ""  62.761""], ["" 130.833"", "" 119.991"", ""  61.454""], ["" 129.843"", "" 118.798"", ""  61.390""], ["" 132.253"", "" 119.361"", ""  61.522""], ["" 130.544"", "" 120.846"", ""  62.761""], ["" 130.966"", "" 122.386"", ""  62.816""], ["" 128.099"", "" 123.639"", ""  61.031""], ["" 126.875"", "" 122.683"", ""  60.965""], ["" 128.012"", "" 124.408"", ""  62.378""], ["" 127.940"", "" 124.629"", ""  59.815""], ["" 130.445"", "" 125.278"", ""  57.503""], ["" 129.901"", "" 124.268"", ""  58.444""], ["" 128.468"", "" 124.292"", ""  58.383""], ["" 127.981"", "" 122.862"", ""  58.023""], ["" 127.936"", "" 125.286"", ""  57.311""], ["" 127.946"", "" 124.634"", ""  59.819""], ["" 128.100"", "" 123.644"", ""  61.035""]]",[],ZINC100073136
11,1686,ZINC100076884,4h2i_c_1_mae_prepped,1,18,-6.05,-0.22407407407407406,0.0,0.0,2,189.15,-7.84,-7.29,-0.55,-7.84,0.0,-1.62,1.79,-1.62,40,13,0.0,0.0,0.0,12.964027,19.080733,7.233563,-0.07596158,0.91673236,0.39221375,69.518669,"285.249634, 358.293945, 273.936584, 24.66629, 150.050186, 297.09848, ","[["" 127.133"", "" 131.608"", ""  59.859""], ["" 127.071"", "" 130.503"", ""  58.956""], ["" 127.667"", "" 130.725"", ""  57.730""], ["" 127.110"", "" 130.066"", ""  56.627""], ["" 127.691"", "" 130.232"", ""  55.364""], ["" 128.818"", "" 131.038"", ""  55.219""], ["" 129.371"", "" 131.682"", ""  56.325""], ["" 128.810"", "" 131.541"", ""  57.603""], ["" 129.421"", "" 132.244"", ""  58.824""], ["" 128.568"", "" 132.138"", ""  60.097""], ["" 129.004"", "" 132.486"", ""  61.196""], ["" 126.439"", "" 131.252"", ""  61.176""], ["" 126.164"", "" 131.620"", ""  63.574""], ["" 126.794"", "" 131.919"", ""  62.353""], ["" 125.163"", "" 130.638"", ""  63.591""], ["" 124.798"", "" 129.977"", ""  62.418""], ["" 125.429"", "" 130.284"", ""  61.216""], ["" 126.472"", "" 132.239"", ""  64.774""], ["" 127.680"", "" 131.901"", ""  65.445""], ["" 124.525"", "" 130.316"", ""  64.761""], ["" 124.858"", "" 130.814"", ""  65.512""], ["" 126.004"", "" 129.266"", ""  56.780""], ["" 125.937"", "" 128.594"", ""  56.097""], ["" 127.170"", "" 129.608"", ""  54.258""], ["" 126.745"", "" 128.773"", ""  54.466""], ["" 130.485"", "" 132.461"", ""  56.138""], ["" 131.243"", "" 131.960"", ""  55.829""]]",[],ZINC100076884
12,3519,ZINC100083562,4h2i_c_1_mae_prepped,1,5,-9.49,-0.2791176470588235,0.0,0.0,5,186.87,-10.98,-10.6,-0.38,-10.98,0.0,-1.92,1.49,-1.92,62,10,0.0,0.0,0.0,12.975009,13.907982,9.845773,-0.20831449,0.14594433,0.96711185,210.483017,"64.431396, 79.031479, 161.39621, 227.156998, 133.885223, ","[["" 131.256"", "" 125.044"", ""  63.644""], ["" 130.733"", "" 126.277"", ""  63.228""], ["" 129.457"", "" 126.270"", ""  62.657""], ["" 128.820"", "" 127.348"", ""  62.201""], ["" 129.182"", "" 128.581"", ""  62.125""], ["" 127.571"", "" 126.932"", ""  61.709""], ["" 127.454"", "" 125.557"", ""  61.895""], ["" 128.683"", "" 125.088"", ""  62.476""], ["" 129.237"", "" 123.855"", ""  62.887""], ["" 130.510"", "" 123.869"", ""  63.470""], ["" 132.602"", "" 124.985"", ""  64.268""], ["" 133.496"", "" 124.376"", ""  63.688""], ["" 132.776"", "" 125.547"", ""  65.346""], ["" 128.521"", "" 122.576"", ""  62.727""], ["" 127.406"", "" 122.478"", ""  63.231""], ["" 129.082"", "" 121.666"", ""  62.128""], ["" 126.699"", "" 127.845"", ""  61.067""], ["" 126.561"", "" 127.842"", ""  59.674""], ["" 125.999"", "" 128.786"", ""  61.830""], ["" 125.730"", "" 128.773"", ""  59.054""], ["" 125.171"", "" 129.721"", ""  61.209""], ["" 125.036"", "" 129.715"", ""  59.814""], ["" 124.334"", "" 130.875"", ""  62.189""], ["" 124.022"", "" 130.859"", ""  59.003""], ["" 126.383"", "" 124.783"", ""  61.497""], ["" 125.589"", "" 124.688"", ""  62.115""], ["" 126.173"", "" 124.166"", ""  60.252""], ["" 124.900"", "" 124.004"", ""  59.689""], ["" 127.285"", "" 123.675"", ""  59.566""], ["" 124.751"", "" 123.390"", ""  58.447""], ["" 127.142"", "" 123.058"", ""  58.321""], ["" 125.867"", "" 122.919"", ""  57.757""], ["" 128.554"", "" 122.482"", ""  57.507""], ["" 125.642"", "" 122.166"", ""  56.215""]]",[],ZINC100083562
