,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,6095,1a_Ghoteimi_2023,receptor_tmp,1,16,-10.24,-0.2497560975609756,0.0,0.0,3,186.81,-13.52,-12.66,-0.86,-13.52,0.0,-1.88,3.28,-1.88,47,9,0.0,0.0,0.0,12.596768,16.146282,14.81571,-0.43137731,-0.53611683,0.72559794,197.423828,"136.164703, 20.475285, 85.861229, 285.146393, 34.703636, 39.967407, 121.917488, 341.314362, 306.903381, 170.309814, 22.186131, ","[["" 124.957"", "" 129.784"", ""  65.099""], ["" 125.681"", "" 129.953"", ""  63.971""], ["" 123.752"", "" 130.005"", ""  65.216""], ["" 126.651"", "" 129.678"", ""  64.021""], ["" 125.736"", "" 129.267"", ""  66.308""], ["" 127.497"", "" 129.702"", ""  66.210""], ["" 128.395"", "" 128.245"", ""  66.694""], ["" 129.745"", "" 126.274"", ""  66.293""], ["" 129.064"", "" 127.404"", ""  65.779""], ["" 129.711"", "" 126.046"", ""  67.675""], ["" 129.051"", "" 127.686"", ""  64.340""], ["" 129.043"", "" 126.933"", ""  68.529""], ["" 129.041"", "" 127.907"", ""  63.204""], ["" 128.396"", "" 128.018"", ""  68.029""], ["" 130.504"", "" 125.304"", ""  65.447""], ["" 131.936"", "" 123.454"", ""  63.888""], ["" 132.509"", "" 124.675"", ""  64.242""], ["" 130.635"", "" 123.159"", ""  64.325""], ["" 131.804"", "" 125.591"", ""  65.018""], ["" 129.930"", "" 124.077"", ""  65.099""], ["" 132.711"", "" 122.609"", ""  63.118""], ["" 133.445"", "" 123.145"", ""  62.024""], ["" 128.981"", "" 126.739"", ""  70.017""], ["" 129.399"", "" 127.746"", ""  70.902""], ["" 128.507"", "" 125.540"", ""  70.570""], ["" 129.340"", "" 127.564"", ""  72.280""], ["" 128.446"", "" 125.355"", ""  71.948""], ["" 128.863"", "" 126.371"", ""  72.818""], ["" 128.837"", "" 126.279"", ""  74.197""], ["" 129.933"", "" 125.673"", ""  74.872""], ["" 125.281"", "" 130.417"", ""  62.703""], ["" 124.241"", "" 131.330"", ""  62.473""], ["" 126.004"", "" 129.918"", ""  61.620""], ["" 123.932"", "" 131.726"", ""  61.175""], ["" 125.694"", "" 130.315"", ""  60.321""], ["" 124.655"", "" 131.224"", ""  60.083""], ["" 124.349"", "" 131.633"", ""  58.671""], ["" 123.356"", "" 132.297"", ""  58.357""], ["" 125.270"", "" 131.196"", ""  57.775""], ["" 124.883"", "" 130.455"", ""  56.624""], ["" 126.010"", "" 130.500"", ""  55.588""]]",[],1a_Ghoteimi_2023
1,12192,1a_Grossjean_2025,receptor_tmp,1,13,-7.84,-0.2903703703703704,0.0,0.0,8,187.79,-9.93,-9.57,-0.35,-9.93,0.0,-1.77,2.09,-1.77,47,4,0.0,0.0,0.0,16.257101,12.234718,8.786777,0.77403307,0.31017864,-0.55196197,103.260353,"131.137405, 85.653854, 157.371048, 300.741364, 45.391579, 234.459167, 263.191254, ","[["" 129.662"", "" 123.913"", ""  59.120""], ["" 128.948"", "" 122.775"", ""  59.497""], ["" 127.882"", "" 122.322"", ""  58.724""], ["" 127.511"", "" 123.000"", ""  57.556""], ["" 128.236"", "" 124.140"", ""  57.176""], ["" 129.302"", "" 124.593"", ""  57.947""], ["" 130.718"", "" 124.282"", ""  59.977""], ["" 132.021"", "" 124.504"", ""  59.702""], ["" 132.542"", "" 124.421"", ""  58.590""], ["" 130.436"", "" 124.427"", ""  60.935""], ["" 132.887"", "" 124.891"", ""  60.903""], ["" 132.867"", "" 123.618"", ""  62.201""], ["" 132.539"", "" 124.436"", ""  63.746""], ["" 131.158"", "" 125.597"", ""  65.362""], ["" 131.280"", "" 124.978"", ""  64.097""], ["" 132.276"", "" 125.666"", ""  66.201""], ["" 130.135"", "" 124.937"", ""  63.182""], ["" 133.483"", "" 125.127"", ""  65.763""], ["" 129.231"", "" 124.906"", ""  62.462""], ["" 133.622"", "" 124.526"", ""  64.558""], ["" 129.848"", "" 126.209"", ""  65.856""], ["" 134.734"", "" 125.179"", ""  66.622""], ["" 126.353"", "" 122.488"", ""  56.748""], ["" 126.486"", "" 121.788"", ""  55.740""], ["" 125.145"", "" 122.859"", ""  57.246""], ["" 124.832"", "" 124.228"", ""  57.468""], ["" 124.169"", "" 124.384"", ""  58.840""]]",[],1a_Grossjean_2025
2,6736,1aa_Ghoteimi_2023,receptor_tmp,1,17,-9.54,-0.23268292682926828,0.0,0.0,3,185.67,-12.82,-11.95,-0.87,-12.82,0.0,-2.86,3.28,-2.86,53,8,0.0,0.0,0.0,13.725758,17.016379,14.183913,-0.4669702,-0.70567303,0.5328831,203.99791,"128.961304, 344.396759, 269.729584, 257.077911, 291.601624, 46.888962, 16.742916, 326.719269, 320.109039, 177.982178, 30.983027, ","[["" 124.967"", "" 129.743"", ""  65.234""], ["" 125.723"", "" 129.932"", ""  64.128""], ["" 123.751"", "" 129.928"", ""  65.296""], ["" 126.707"", "" 129.725"", ""  64.231""], ["" 125.685"", "" 129.257"", ""  66.503""], ["" 127.100"", "" 129.454"", ""  66.386""], ["" 127.981"", "" 128.444"", ""  66.747""], ["" 129.633"", "" 126.768"", ""  66.157""], ["" 128.746"", "" 127.796"", ""  65.762""], ["" 129.718"", "" 126.458"", ""  67.522""], ["" 128.621"", "" 128.220"", ""  64.366""], ["" 128.936"", "" 127.143"", ""  68.460""], ["" 128.074"", "" 128.117"", ""  68.065""], ["" 128.522"", "" 128.556"", ""  63.263""], ["" 130.484"", "" 125.994"", ""  65.206""], ["" 132.109"", "" 124.529"", ""  63.439""], ["" 132.665"", "" 125.498"", ""  64.274""], ["" 130.727"", "" 124.292"", ""  63.496""], ["" 131.863"", "" 126.222"", ""  65.151""], ["" 129.926"", "" 125.018"", ""  64.374""], ["" 132.981"", "" 123.860"", ""  62.601""], ["" 133.875"", "" 124.611"", ""  61.788""], ["" 128.978"", "" 126.840"", ""  69.930""], ["" 128.246"", "" 125.771"", ""  70.468""], ["" 129.754"", "" 127.611"", ""  70.811""], ["" 128.282"", "" 125.489"", ""  71.831""], ["" 129.791"", "" 127.332"", ""  72.174""], ["" 129.050"", "" 126.264"", ""  72.697""], ["" 129.023"", "" 125.910"", ""  74.033""], ["" 129.976"", "" 124.972"", ""  74.521""], ["" 125.361"", "" 130.368"", ""  62.840""], ["" 124.339"", "" 131.285"", ""  62.556""], ["" 126.105"", "" 129.826"", ""  61.790""], ["" 124.069"", "" 131.645"", ""  61.237""], ["" 125.835"", "" 130.187"", ""  60.474""], ["" 124.814"", "" 131.100"", ""  60.180""], ["" 124.547"", "" 131.468"", ""  58.749""], ["" 123.645"", "" 132.237"", ""  58.404""], ["" 125.396"", "" 130.870"", ""  57.874""], ["" 124.932"", "" 130.374"", ""  56.624""], ["" 126.039"", "" 130.519"", ""  55.575""]]",[],1aa_Ghoteimi_2023
3,6128,1b_Ghoteimi_2023,receptor_tmp,1,8,-9.31,-0.266,0.0,0.0,12,187.03,-11.7,-11.12,-0.57,-11.7,0.0,-2.16,2.39,-2.16,60,9,0.0,0.0,0.0,11.655495,18.559623,9.438424,0.15204487,0.856029,-0.49406144,190.106827,"20.504295, 73.398209, 326.372009, 274.782135, 85.651604, 304.51181, 74.439316, 136.534042, ","[["" 127.133"", "" 130.414"", ""  62.898""], ["" 125.802"", "" 130.898"", ""  62.858""], ["" 124.869"", "" 130.601"", ""  63.948""], ["" 124.132"", "" 130.365"", ""  64.809""], ["" 125.429"", "" 131.721"", ""  61.771""], ["" 126.307"", "" 132.092"", ""  60.808""], ["" 127.586"", "" 131.637"", ""  60.844""], ["" 128.015"", "" 130.802"", ""  61.881""], ["" 127.658"", "" 129.517"", ""  63.970""], ["" 128.659"", "" 127.847"", ""  65.998""], ["" 127.917"", "" 128.984"", ""  66.319""], ["" 128.904"", "" 127.550"", ""  64.649""], ["" 127.423"", "" 129.813"", ""  65.316""], ["" 128.409"", "" 128.381"", ""  63.648""], ["" 129.110"", "" 127.084"", ""  67.058""], ["" 130.205"", "" 126.197"", ""  66.859""], ["" 123.802"", "" 132.412"", ""  61.553""], ["" 122.986"", "" 131.507"", ""  60.195""], ["" 123.793"", "" 131.425"", ""  58.891""], ["" 124.645"", "" 130.377"", ""  58.821""], ["" 123.643"", "" 132.267"", ""  58.003""], ["" 124.686"", "" 129.761"", ""  59.619""], ["" 125.497"", "" 130.054"", ""  57.771""], ["" 125.238"", "" 130.215"", ""  56.484""], ["" 126.763"", "" 129.502"", ""  57.960""], ["" 126.359"", "" 129.761"", ""  55.788""], ["" 127.273"", "" 129.334"", ""  56.693""], ["" 128.490"", "" 132.087"", ""  59.730""], ["" 127.966"", "" 132.476"", ""  58.488""], ["" 129.883"", "" 132.140"", ""  59.897""], ["" 128.799"", "" 132.895"", ""  57.455""], ["" 130.719"", "" 132.560"", ""  58.867""], ["" 130.181"", "" 132.942"", ""  57.631""], ["" 130.928"", "" 133.372"", ""  56.551""], ["" 131.684"", "" 132.422"", ""  55.809""]]",[],1b_Ghoteimi_2023
4,6248,1b_Grossjean_2025,receptor_tmp,2,12,-7.35,-0.2826923076923077,0.0,0.0,9,186.45,-9.14,-8.85,-0.3,-9.14,0.0,-1.8,1.79,-1.8,46,6,0.0,0.0,0.0,17.092096,11.609179,7.742536,-0.45369323,-0.80547487,-0.38127771,203.240845,"210.24025, 67.929108, 322.052734, 225.37619, 68.179199, 350.407898, ","[["" 131.579"", "" 125.243"", ""  58.703""], ["" 130.554"", "" 124.477"", ""  59.135""], ["" 131.693"", "" 125.715"", ""  57.573""], ["" 130.612"", "" 124.158"", ""  60.092""], ["" 132.663"", "" 125.532"", ""  59.743""], ["" 133.507"", "" 124.018"", ""  60.294""], ["" 132.387"", "" 123.149"", ""  61.370""], ["" 131.389"", "" 122.592"", ""  63.504""], ["" 132.329"", "" 123.349"", ""  62.770""], ["" 130.556"", "" 121.693"", ""  62.829""], ["" 133.181"", "" 124.328"", ""  63.449""], ["" 130.668"", "" 121.576"", ""  61.445""], ["" 133.852"", "" 125.100"", ""  63.989""], ["" 131.560"", "" 122.291"", ""  60.722""], ["" 131.237"", "" 122.715"", ""  65.019""], ["" 129.787"", "" 120.626"", ""  60.655""], ["" 129.406"", "" 124.029"", ""  58.453""], ["" 128.648"", "" 123.064"", ""  59.117""], ["" 128.992"", "" 124.480"", ""  57.191""], ["" 127.493"", "" 122.551"", ""  58.536""], ["" 127.836"", "" 123.965"", ""  56.611""], ["" 127.071"", "" 122.996"", ""  57.274""], ["" 125.828"", "" 122.466"", ""  56.618""], ["" 125.847"", "" 121.747"", ""  55.614""], ["" 124.685"", "" 122.861"", ""  57.235""], ["" 124.501"", "" 124.212"", ""  57.635""]]",[],1b_Grossjean_2025
5,12253,1c_Ghoteimi_2023,receptor_tmp,1,11,-8.74,-0.24971428571428572,0.0,0.0,1,191.75,-11.13,-10.34,-0.79,-11.13,0.0,-1.47,2.39,-1.47,44,8,0.0,0.0,0.0,14.58998,13.871098,15.295509,-0.22070773,-0.78120942,-0.58395201,230.828171,"201.196457, 123.424965, 10.516464, 299.163269, 277.30777, 6.427038, 272.679382, 90.505577, ","[["" 129.708"", "" 126.172"", ""  66.545""], ["" 129.090"", "" 127.359"", ""  66.087""], ["" 129.057"", "" 127.693"", ""  64.659""], ["" 129.032"", "" 127.955"", ""  63.532""], ["" 128.494"", "" 128.206"", ""  67.044""], ["" 128.513"", "" 127.935"", ""  68.372""], ["" 129.141"", "" 126.816"", ""  68.820""], ["" 129.736"", "" 125.924"", ""  67.922""], ["" 130.304"", "" 125.144"", ""  65.641""], ["" 131.394"", "" 123.223"", ""  63.905""], ["" 131.936"", "" 124.507"", ""  63.969""], ["" 130.294"", "" 122.904"", ""  64.716""], ["" 131.395"", "" 125.460"", ""  64.826""], ["" 129.755"", "" 123.860"", ""  65.573""], ["" 131.995"", "" 122.343"", ""  63.025""], ["" 133.330"", "" 122.590"", ""  62.598""], ["" 127.539"", "" 129.640"", ""  66.599""], ["" 125.814"", "" 129.185"", ""  66.973""], ["" 124.850"", "" 129.610"", ""  65.859""], ["" 125.393"", "" 129.680"", ""  64.624""], ["" 123.685"", "" 129.893"", ""  66.139""], ["" 126.361"", "" 129.413"", ""  64.526""], ["" 124.789"", "" 130.179"", ""  63.481""], ["" 123.603"", "" 130.739"", ""  63.373""], ["" 125.707"", "" 130.114"", ""  62.011""], ["" 123.367"", "" 131.136"", ""  62.137""], ["" 124.379"", "" 130.901"", ""  61.211""], ["" 129.118"", "" 126.582"", ""  70.303""], ["" 128.362"", "" 125.542"", ""  70.867""], ["" 129.854"", "" 127.401"", ""  71.173""], ["" 128.348"", "" 125.325"", ""  72.242""], ["" 129.843"", "" 127.187"", ""  72.548""], ["" 129.087"", "" 126.141"", ""  73.095""], ["" 129.017"", "" 125.852"", ""  74.444""], ["" 129.986"", "" 124.983"", ""  75.021""]]",[],1c_Ghoteimi_2023
6,6110,1c_Grossjean_2025,receptor_tmp,1,7,-7.1,-0.29583333333333334,0.0,0.0,9,190.86,-8.59,-8.32,-0.27,-8.59,0.0,-1.77,1.49,-1.77,42,2,0.0,0.0,0.0,11.393908,18.260539,8.342494,-0.87785223,-0.13090766,-0.46069366,238.31015,"76.634369, 186.023376, 182.937592, 51.159607, 295.184265, ","[["" 124.679"", "" 131.633"", ""  59.348""], ["" 126.013"", "" 131.478"", ""  59.484""], ["" 124.112"", "" 132.122"", ""  58.371""], ["" 126.323"", "" 130.995"", ""  60.314""], ["" 123.838"", "" 131.140"", ""  60.528""], ["" 123.758"", "" 132.370"", ""  61.863""], ["" 125.313"", "" 133.237"", ""  61.923""], ["" 126.742"", "" 135.193"", ""  61.936""], ["" 125.439"", "" 134.646"", ""  61.875""], ["" 127.840"", "" 134.335"", ""  62.054""], ["" 124.274"", "" 135.531"", ""  61.807""], ["" 127.621"", "" 132.962"", ""  62.120""], ["" 123.354"", "" 136.230"", ""  61.752""], ["" 126.384"", "" 132.415"", ""  62.062""], ["" 127.006"", "" 136.697"", ""  61.883""], ["" 128.769"", "" 131.980"", ""  62.265""], ["" 127.049"", "" 131.835"", ""  58.599""], ["" 127.082"", "" 131.507"", ""  57.236""], ["" 128.086"", "" 132.591"", ""  59.148""], ["" 128.152"", "" 131.921"", ""  56.447""], ["" 129.154"", "" 133.003"", ""  58.356""], ["" 129.196"", "" 132.667"", ""  56.994""], ["" 130.213"", "" 133.029"", ""  56.132""], ["" 131.561"", "" 132.757"", ""  56.497""]]",[],1c_Grossjean_2025
7,12189,1d_Ghoteimi_2023,receptor_tmp,1,4,-8.43,-0.28099999999999997,0.0,0.0,8,192.1,-10.81,-10.01,-0.8,-10.81,0.0,-0.92,2.39,-0.92,43,9,0.0,0.0,0.0,15.032249,15.473084,15.633642,-0.92967355,0.2265557,0.29048167,174.400635,"249.16507, 196.184509, 95.625343, 71.836754, 75.615532, 278.628143, 263.363098, 8.741639, ","[["" 131.316"", "" 125.685"", ""  65.890""], ["" 130.025"", "" 126.598"", ""  66.706""], ["" 128.158"", "" 128.142"", ""  66.814""], ["" 129.129"", "" 127.462"", ""  66.037""], ["" 128.112"", "" 127.893"", ""  68.191""], ["" 129.155"", "" 127.605"", ""  64.579""], ["" 129.006"", "" 126.993"", ""  68.784""], ["" 129.174"", "" 127.719"", ""  63.427""], ["" 129.949"", "" 126.364"", ""  68.038""], ["" 127.170"", "" 129.109"", ""  66.246""], ["" 125.323"", "" 130.932"", ""  65.162""], ["" 126.651"", "" 130.934"", ""  64.738""], ["" 124.917"", "" 130.000"", ""  66.130""], ["" 127.567"", "" 130.030"", ""  65.272""], ["" 125.834"", "" 129.098"", ""  66.662""], ["" 124.488"", "" 131.867"", ""  64.583""], ["" 124.122"", "" 131.721"", ""  63.215""], ["" 128.993"", "" 126.682"", ""  70.253""], ["" 129.712"", "" 127.466"", ""  71.169""], ["" 128.266"", "" 125.592"", ""  70.754""], ["" 129.704"", "" 127.172"", ""  72.529""], ["" 128.257"", "" 125.295"", ""  72.115""], ["" 128.980"", "" 126.087"", ""  73.017""], ["" 129.033"", "" 125.870"", ""  74.380""], ["" 130.126"", "" 125.137"", ""  74.923""], ["" 132.826"", "" 125.897"", ""  66.881""], ["" 133.965"", "" 125.207"", ""  66.135""], ["" 135.093"", "" 125.121"", ""  66.624""], ["" 133.577"", "" 124.730"", ""  64.934""], ["" 133.847"", "" 125.461"", ""  63.747""]]",[],1d_Ghoteimi_2023
8,6459,1d_Grossjean_2025,receptor_tmp,1,15,-7.12,-0.32363636363636367,0.0,0.0,8,183.31,-8.31,-8.22,-0.09,-8.31,0.0,-1.67,1.19,-1.67,43,2,0.0,0.0,0.0,11.77722,13.731093,7.204657,0.28864048,0.05648153,0.95577011,167.603134,"222.691574, 242.397049, 161.464432, 137.642212, ","[["" 125.453"", "" 123.636"", ""  58.760""], ["" 126.625"", "" 123.916"", ""  57.451""], ["" 127.595"", "" 123.555"", ""  55.262""], ["" 126.601"", "" 123.231"", ""  56.213""], ["" 128.562"", "" 124.514"", ""  55.582""], ["" 125.608"", "" 122.195"", ""  55.919""], ["" 128.524"", "" 125.122"", ""  56.835""], ["" 124.826"", "" 121.376"", ""  55.683""], ["" 127.580"", "" 124.830"", ""  57.759""], ["" 127.666"", "" 122.891"", ""  53.888""], ["" 129.549"", "" 126.161"", ""  57.244""], ["" 126.162"", "" 124.333"", ""  60.282""], ["" 127.182"", "" 123.391"", ""  60.926""], ["" 128.258"", "" 123.097"", ""  60.165""], ["" 126.964"", "" 122.951"", ""  62.055""], ["" 128.270"", "" 123.499"", ""  59.239""], ["" 129.374"", "" 122.290"", ""  60.454""], ["" 129.088"", "" 120.993"", ""  60.890""], ["" 130.713"", "" 122.694"", ""  60.315""], ["" 130.119"", "" 120.111"", ""  61.198""], ["" 131.742"", "" 121.809"", ""  60.622""], ["" 131.443"", "" 120.523"", ""  61.064""]]",[],1d_Grossjean_2025
9,6242,1e_Grossjean_2025,receptor_tmp,1,9,-7.33,-0.31869565217391305,0.0,0.0,3,182.59,-8.53,-8.43,-0.1,-8.53,0.0,-1.61,1.19,-1.61,44,3,0.0,0.0,0.0,11.219272,11.221372,8.543605,0.98095843,-0.18549927,0.05753763,168.646988,"108.843307, 142.746201, 64.925095, 167.180222, ","[["" 125.887"", "" 124.379"", ""  60.199""], ["" 125.265"", "" 123.725"", ""  58.621""], ["" 126.491"", "" 124.012"", ""  57.361""], ["" 127.607"", "" 123.622"", ""  55.246""], ["" 126.581"", "" 123.276"", ""  56.156""], ["" 128.471"", "" 124.677"", ""  55.558""], ["" 125.632"", "" 122.212"", ""  55.818""], ["" 128.293"", "" 125.366"", ""  56.755""], ["" 124.884"", "" 121.372"", ""  55.549""], ["" 127.320"", "" 125.050"", ""  57.642""], ["" 127.812"", "" 122.894"", ""  53.918""], ["" 129.184"", "" 126.531"", ""  57.140""], ["" 126.975"", "" 123.486"", ""  60.800""], ["" 128.085"", "" 123.324"", ""  60.047""], ["" 126.781"", "" 122.957"", ""  61.896""], ["" 128.083"", "" 123.762"", ""  59.138""], ["" 129.230"", "" 122.559"", ""  60.330""], ["" 129.152"", "" 121.237"", ""  60.666""], ["" 130.458"", "" 123.229"", ""  60.273""], ["" 130.299"", "" 120.566"", ""  60.939""], ["" 131.630"", "" 122.524"", ""  60.556""], ["" 131.557"", "" 121.173"", ""  60.895""], ["" 130.136"", "" 119.102"", ""  61.302""]]",[],1e_Grossjean_2025
10,6025,1f_Grossjean_2025,receptor_tmp,1,6,-6.82,-0.31,0.0,0.0,3,184.15,-8.02,-8.03,0.02,-8.02,0.0,-1.77,1.19,-1.77,46,4,0.0,0.0,0.0,10.30576,11.428496,8.356652,-0.27766196,-0.46930263,-0.83824751,184.740204,"43.014576, 93.731003, 252.662384, 186.095978, ","[["" 125.488"", "" 124.592"", ""  61.392""], ["" 127.011"", "" 124.096"", ""  60.612""], ["" 128.931"", "" 124.372"", ""  59.162""], ["" 127.736"", "" 124.900"", ""  59.701""], ["" 129.357"", "" 123.100"", ""  59.557""], ["" 127.303"", "" 126.253"", ""  59.341""], ["" 128.596"", "" 122.389"", ""  60.481""], ["" 126.962"", "" 127.322"", ""  59.056""], ["" 127.446"", "" 122.874"", ""  61.007""], ["" 129.793"", "" 125.141"", ""  58.162""], ["" 129.011"", "" 121.011"", ""  60.961""], ["" 124.097"", "" 123.999"", ""  60.369""], ["" 124.362"", "" 123.996"", ""  58.856""], ["" 125.419"", "" 123.248"", ""  58.474""], ["" 123.627"", "" 124.622"", ""  58.092""], ["" 125.905"", "" 122.755"", ""  59.210""], ["" 125.945"", "" 123.028"", ""  57.186""], ["" 125.296"", "" 122.073"", ""  56.395""], ["" 127.068"", "" 123.676"", ""  56.638""], ["" 125.691"", "" 121.753"", ""  55.135""], ["" 127.486"", "" 123.357"", ""  55.343""], ["" 126.772"", "" 122.395"", ""  54.628""]]",[],1f_Grossjean_2025
11,12677,1g_Grossjean_2025,receptor_tmp,1,9,-7.38,-0.3208695652173913,0.0,0.0,8,183.78,-8.87,-8.68,-0.19,-8.87,0.0,-2.19,1.49,-2.19,25,4,0.0,0.0,0.0,11.162918,13.094946,6.977344,0.95118326,-0.16234649,0.2624767,189.881104,"83.750435, 90.136368, 329.471008, 342.334808, 347.168579, ","[["" 123.737"", "" 124.222"", ""  60.124""], ["" 123.956"", "" 123.814"", ""  58.366""], ["" 125.432"", "" 124.640"", ""  57.812""], ["" 127.473"", "" 124.851"", ""  56.528""], ["" 126.335"", "" 124.088"", ""  56.873""], ["" 127.654"", "" 126.112"", ""  57.106""], ["" 126.098"", "" 122.788"", ""  56.241""], ["" 126.700"", "" 126.588"", ""  58.003""], ["" 125.913"", "" 121.762"", ""  55.739""], ["" 125.604"", "" 125.874"", ""  58.351""], ["" 128.525"", "" 124.357"", ""  55.535""], ["" 126.830"", "" 127.953"", ""  58.651""], ["" 125.014"", "" 123.983"", ""  60.931""], ["" 125.874"", "" 125.014"", ""  61.003""], ["" 125.205"", "" 122.895"", ""  61.475""], ["" 125.647"", "" 125.865"", ""  60.509""], ["" 127.176"", "" 124.987"", ""  61.670""], ["" 128.041"", "" 123.783"", ""  61.310""], ["" 127.939"", "" 123.204"", ""  60.041""], ["" 128.941"", "" 123.265"", ""  62.246""], ["" 128.729"", "" 122.105"", ""  59.713""], ["" 129.731"", "" 122.167"", ""  61.916""], ["" 129.621"", "" 121.592"", ""  60.652""]]",[],1g_Grossjean_2025
12,6034,1h_Grossjean_2025,receptor_tmp,1,4,-7.09,-0.24448275862068966,0.0,0.0,8,189.6,-9.47,-9.13,-0.34,-9.47,0.0,-2.52,2.39,-2.52,45,6,0.0,0.0,0.0,10.20779,20.59149,7.32061,0.84411913,-0.44912892,-0.29282436,252.733292,"329.820404, 269.036285, 59.294899, 38.345306, 261.834595, 345.472015, 137.732117, 75.002663, ","[["" 124.055"", "" 131.905"", ""  58.995""], ["" 125.350"", "" 131.542"", ""  59.031""], ["" 123.399"", "" 131.994"", ""  57.957""], ["" 125.816"", "" 131.508"", ""  59.926""], ["" 123.399"", "" 132.224"", ""  60.339""], ["" 123.943"", "" 131.087"", ""  61.649""], ["" 125.338"", "" 131.828"", ""  62.481""], ["" 126.749"", "" 132.204"", ""  64.416""], ["" 125.625"", "" 131.568"", ""  63.841""], ["" 127.529"", "" 133.056"", ""  63.627""], ["" 124.791"", "" 130.669"", ""  64.643""], ["" 127.176"", "" 133.255"", ""  62.294""], ["" 124.133"", "" 129.958"", ""  65.277""], ["" 126.105"", "" 132.656"", ""  61.724""], ["" 127.151"", "" 132.001"", ""  65.875""], ["" 127.980"", "" 134.168"", ""  61.387""], ["" 126.173"", "" 131.232"", ""  57.863""], ["" 127.627"", "" 131.677"", ""  57.993""], ["" 128.267"", "" 131.637"", ""  59.233""], ["" 128.306"", "" 132.181"", ""  56.883""], ["" 129.597"", "" 132.063"", ""  59.369""], ["" 129.636"", "" 132.620"", ""  56.992""], ["" 130.274"", "" 132.545"", ""  58.238""], ["" 130.298"", "" 132.039"", ""  60.561""], ["" 130.129"", "" 130.939"", ""  61.448""], ["" 130.370"", "" 133.128"", ""  55.935""], ["" 131.275"", "" 132.278"", ""  55.239""], ["" 131.572"", "" 132.977"", ""  58.361""], ["" 132.526"", "" 131.926"", ""  58.436""]]",[],1h_Grossjean_2025
13,5907,1i_Grossjean_2025,receptor_tmp,1,14,-6.82,-0.32476190476190475,0.0,0.0,4,183.29,-8.01,-7.89,-0.13,-8.01,0.0,-1.52,1.19,-1.52,53,4,0.0,0.0,0.0,14.413546,12.674478,6.236912,-0.92390149,-0.37911572,-0.05174261,261.154449,"338.732422, 22.645481, 175.108231, 228.581787, ","[["" 128.713"", "" 125.133"", ""  60.115""], ["" 126.981"", "" 124.726"", ""  60.134""], ["" 124.751"", "" 124.585"", ""  59.200""], ["" 126.106"", "" 124.959"", ""  59.047""], ["" 124.328"", "" 124.024"", ""  60.410""], ["" 126.559"", "" 125.593"", ""  57.806""], ["" 125.253"", "" 123.854"", ""  61.437""], ["" 126.914"", "" 126.096"", ""  56.826""], ["" 126.556"", "" 124.201"", ""  61.311""], ["" 123.714"", "" 124.777"", ""  58.094""], ["" 124.855"", "" 123.262"", ""  62.776""], ["" 129.578"", "" 123.811"", ""  59.217""], ["" 128.607"", "" 122.868"", ""  58.504""], ["" 128.077"", "" 123.338"", ""  57.353""], ["" 128.362"", "" 121.766"", ""  58.999""], ["" 128.385"", "" 124.248"", ""  57.040""], ["" 127.182"", "" 122.692"", ""  56.514""], ["" 126.310"", "" 121.764"", ""  56.874""], ["" 127.091"", "" 122.957"", ""  55.149""], ["" 125.618"", "" 121.393"", ""  55.720""], ["" 126.100"", "" 122.122"", ""  54.686""]]",[],1i_Grossjean_2025
14,12820,1j_Grossjean_2025,receptor_tmp,3,12,-6.64,-0.3161904761904762,0.0,0.0,8,183.14,-7.84,-7.76,-0.08,-7.84,0.0,-1.6,1.19,-1.6,28,4,0.0,0.0,0.0,9.984996,13.880153,7.248161,0.12618567,-0.10327791,0.98661586,176.094406,"192.005981, 319.050995, 146.944336, 155.025406, ","[["" 123.860"", "" 124.146"", ""  58.355""], ["" 125.371"", "" 124.769"", ""  57.652""], ["" 127.315"", "" 124.691"", ""  56.209""], ["" 126.134"", "" 124.076"", ""  56.682""], ["" 127.690"", "" 125.936"", ""  56.721""], ["" 125.750"", "" 122.747"", ""  56.197""], ["" 126.893"", "" 126.536"", ""  57.694""], ["" 125.450"", "" 121.698"", ""  55.813""], ["" 125.755"", "" 125.967"", ""  58.159""], ["" 128.215"", "" 124.045"", ""  55.155""], ["" 127.254"", "" 127.880"", ""  58.299""], ["" 123.951"", "" 124.379"", ""  60.155""], ["" 125.102"", "" 123.588"", ""  60.779""], ["" 126.306"", "" 123.745"", ""  60.186""], ["" 124.882"", "" 122.869"", ""  61.755""], ["" 126.363"", "" 124.383"", ""  59.406""], ["" 127.499"", "" 123.146"", ""  60.564""], ["" 127.919"", "" 122.880"", ""  61.783""], ["" 128.586"", "" 122.677"", ""  59.296""], ["" 129.105"", "" 122.304"", ""  61.771""], ["" 129.673"", "" 122.089"", ""  60.519""]]",[],1j_Grossjean_2025
