,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,8010,1a_Ghoteimi_2023,4h2i_c_1_mae_prepped,1,4,-10.23,-0.24951219512195122,0.0,0.0,1,186.18,-13.51,-13.11,-0.39,-13.51,0.0,-1.59,3.28,-1.59,63,7,0.0,0.0,0.0,14.711989,17.378331,11.259448,-0.22087142,-0.45968395,-0.86017817,266.20578,"38.789101, 69.594208, 153.757095, 34.395031, 147.930252, 322.004883, 138.082687, 267.293823, 31.195816, 23.099119, 300.031372, ","[["" 128.608"", "" 131.693"", ""  61.541""], ["" 127.383"", "" 132.227"", ""  61.738""], ["" 129.559"", "" 132.261"", ""  61.006""], ["" 126.723"", "" 131.650"", ""  62.239""], ["" 128.790"", "" 130.262"", ""  62.048""], ["" 127.350"", "" 129.223"", ""  61.663""], ["" 127.987"", "" 127.595"", ""  61.339""], ["" 128.065"", "" 125.465"", ""  60.186""], ["" 127.467"", "" 126.739"", ""  60.345""], ["" 129.132"", "" 125.121"", ""  61.026""], ["" 126.336"", "" 127.150"", ""  59.506""], ["" 129.612"", "" 126.026"", ""  61.979""], ["" 125.444"", "" 127.474"", ""  58.844""], ["" 129.036"", "" 127.249"", ""  62.123""], ["" 127.627"", "" 124.461"", ""  59.170""], ["" 126.796"", "" 122.544"", ""  57.289""], ["" 128.141"", "" 122.901"", ""  57.389""], ["" 125.864"", "" 123.152"", ""  58.143""], ["" 128.555"", "" 123.847"", ""  58.322""], ["" 126.280"", "" 124.099"", ""  59.076""], ["" 126.479"", "" 121.598"", ""  56.335""], ["" 125.278"", "" 121.742"", ""  55.585""], ["" 130.756"", "" 125.710"", ""  62.900""], ["" 130.625"", "" 125.829"", ""  64.293""], ["" 131.995"", "" 125.290"", ""  62.394""], ["" 131.687"", "" 125.534"", ""  65.144""], ["" 133.059"", "" 124.994"", ""  63.241""], ["" 132.911"", "" 125.114"", ""  64.630""], ["" 133.908"", "" 124.841"", ""  65.548""], ["" 133.891"", "" 125.503"", ""  66.807""], ["" 126.885"", "" 133.496"", ""  61.387""], ["" 127.497"", "" 134.717"", ""  61.712""], ["" 125.700"", "" 133.500"", ""  60.651""], ["" 126.919"", "" 135.917"", ""  61.309""], ["" 125.123"", "" 134.702"", ""  60.248""], ["" 125.725"", "" 135.925"", ""  60.572""], ["" 125.079"", "" 137.203"", ""  60.119""], ["" 123.875"", "" 137.299"", ""  59.860""], ["" 125.951"", "" 138.239"", ""  60.021""], ["" 125.531"", "" 139.577"", ""  60.255""], ["" 125.646"", "" 139.891"", ""  61.750""]]",[],1a_Ghoteimi_2023
1,1378,1a_Grossjean_2025,4h2i_c_1_mae_prepped,1,7,-8.22,-0.30444444444444446,0.0,0.0,5,186.26,-10.31,-10.07,-0.24,-10.31,0.0,-2.22,2.09,-2.22,48,5,0.0,0.0,0.0,17.296253,11.559759,8.543328,-0.72803783,-0.20818101,0.65316276,247.512466,"181.567245, 179.327805, 178.327881, 306.149017, 112.166992, 118.144257, 298.901306, ","[["" 130.498"", "" 123.372"", ""  58.943""], ["" 129.534"", "" 122.485"", ""  59.425""], ["" 128.324"", "" 122.325"", ""  58.756""], ["" 128.055"", "" 123.049"", ""  57.587""], ["" 129.030"", "" 123.934"", ""  57.100""], ["" 130.240"", "" 124.095"", ""  57.768""], ["" 131.683"", "" 123.457"", ""  59.700""], ["" 132.972"", "" 123.400"", ""  59.304""], ["" 133.358"", "" 123.258"", ""  58.144""], ["" 131.528"", "" 123.613"", ""  60.685""], ["" 134.007"", "" 123.527"", ""  60.423""], ["" 134.240"", "" 121.965"", ""  61.322""], ["" 132.649"", "" 121.181"", ""  61.453""], ["" 131.059"", "" 119.380"", ""  61.136""], ["" 132.369"", "" 119.884"", ""  60.960""], ["" 130.099"", "" 120.178"", ""  61.767""], ["" 133.378"", "" 119.086"", ""  60.258""], ["" 130.456"", "" 121.453"", ""  62.200""], ["" 134.173"", "" 118.454"", ""  59.704""], ["" 131.704"", "" 121.954"", ""  62.045""], ["" 130.640"", "" 117.992"", ""  60.655""], ["" 129.458"", "" 122.369"", ""  62.882""], ["" 126.738"", "" 122.855"", ""  56.892""], ["" 126.381"", "" 121.780"", ""  56.402""], ["" 125.973"", "" 123.977"", ""  56.870""], ["" 125.536"", "" 124.591"", ""  58.076""], ["" 124.529"", "" 123.677"", ""  58.779""]]",[],1a_Grossjean_2025
2,7619,1aa_Ghoteimi_2023,4h2i_c_1_mae_prepped,1,11,-9.58,-0.23365853658536587,0.0,0.0,3,186.15,-12.86,-12.5,-0.36,-12.86,0.0,-3.48,3.28,-3.48,78,5,0.0,0.0,0.0,12.391716,17.531573,11.196499,0.62132764,0.53814365,-0.5695203,132.925491,"212.107895, 10.340896, 159.322083, 281.643402, 250.031235, 202.734314, 43.723606, 235.134872, 251.526825, 91.836937, 342.284882, ","[["" 124.504"", "" 130.023"", ""  60.908""], ["" 125.676"", "" 129.771"", ""  60.280""], ["" 123.443"", "" 130.283"", ""  60.340""], ["" 126.459"", "" 129.562"", ""  60.883""], ["" 124.504"", "" 129.977"", ""  62.444""], ["" 125.662"", "" 130.643"", ""  62.966""], ["" 126.340"", "" 131.577"", ""  62.196""], ["" 126.461"", "" 133.753"", ""  61.130""], ["" 125.748"", "" 132.822"", ""  61.922""], ["" 127.735"", "" 133.392"", ""  60.673""], ["" 124.430"", "" 133.126"", ""  62.481""], ["" 128.278"", "" 132.140"", ""  60.984""], ["" 127.576"", "" 131.246"", ""  61.730""], ["" 123.388"", "" 133.365"", ""  62.924""], ["" 125.933"", "" 135.099"", ""  60.755""], ["" 124.968"", "" 137.638"", ""  60.030""], ["" 126.258"", "" 137.490"", ""  60.538""], ["" 124.159"", "" 136.501"", ""  59.881""], ["" 126.739"", "" 136.233"", ""  60.894""], ["" 124.641"", "" 135.246"", ""  60.239""], ["" 124.576"", "" 138.922"", ""  59.703""], ["" 125.549"", "" 139.845"", ""  59.226""], ["" 129.632"", "" 131.698"", ""  60.507""], ["" 129.940"", "" 131.667"", ""  59.138""], ["" 130.632"", "" 131.309"", ""  61.412""], ["" 131.193"", "" 131.256"", ""  58.693""], ["" 131.886"", "" 130.897"", ""  60.970""], ["" 132.177"", "" 130.866"", ""  59.599""], ["" 133.389"", "" 130.473"", ""  59.066""], ["" 133.448"", "" 130.061"", ""  57.705""], ["" 125.987"", "" 129.745"", ""  58.908""], ["" 125.048"", "" 129.678"", ""  57.868""], ["" 127.347"", "" 129.797"", ""  58.599""], ["" 125.474"", "" 129.659"", ""  56.542""], ["" 127.771"", "" 129.779"", ""  57.274""], ["" 126.841"", "" 129.709"", ""  56.228""], ["" 127.331"", "" 129.690"", ""  54.809""], ["" 127.563"", "" 128.648"", ""  54.187""], ["" 127.494"", "" 130.929"", ""  54.280""], ["" 128.561"", "" 131.772"", ""  54.699""], ["" 129.893"", "" 131.040"", ""  54.509""]]",[],1aa_Ghoteimi_2023
3,8163,1b_Ghoteimi_2023,4h2i_c_1_mae_prepped,1,17,-9.15,-0.26142857142857145,0.0,0.0,6,186.37,-11.54,-10.84,-0.7,-11.54,0.0,-2.44,2.39,-2.44,38,8,0.0,0.0,0.0,17.61904,16.452383,6.66218,0.55398404,0.797551,0.23877622,43.319107,"201.777878, 358.15683, 93.257256, 135.174759, 127.64431, 174.173065, 155.392715, 238.512711, ","[["" 129.887"", "" 127.419"", ""  58.147""], ["" 131.049"", "" 127.844"", ""  57.456""], ["" 131.717"", "" 126.951"", ""  56.505""], ["" 132.245"", "" 126.245"", ""  55.754""], ["" 131.499"", "" 129.166"", ""  57.668""], ["" 130.836"", "" 130.039"", ""  58.464""], ["" 129.717"", "" 129.640"", ""  59.124""], ["" 129.230"", "" 128.338"", ""  58.974""], ["" 129.313"", "" 126.044"", ""  58.039""], ["" 128.215"", "" 123.463"", ""  57.852""], ["" 127.448"", "" 124.584"", ""  57.530""], ["" 129.540"", "" 123.641"", ""  58.277""], ["" 127.991"", "" 125.862"", ""  57.624""], ["" 130.078"", "" 124.921"", ""  58.370""], ["" 127.594"", "" 122.235"", ""  57.730""], ["" 126.457"", "" 122.113"", ""  56.880""], ["" 132.941"", "" 129.868"", ""  56.893""], ["" 132.419"", "" 131.359"", ""  55.982""], ["" 130.900"", "" 131.547"", ""  55.859""], ["" 130.237"", "" 130.473"", ""  55.374""], ["" 130.368"", "" 132.609"", ""  56.190""], ["" 130.786"", "" 129.663"", ""  55.127""], ["" 128.869"", "" 130.358"", ""  55.155""], ["" 128.235"", "" 130.646"", ""  54.030""], ["" 127.977"", "" 129.913"", ""  56.129""], ["" 126.883"", "" 130.387"", ""  54.252""], ["" 126.742"", "" 129.943"", ""  55.524""], ["" 129.050"", "" 130.668"", ""  59.995""], ["" 128.255"", "" 131.681"", ""  59.437""], ["" 129.194"", "" 130.645"", ""  61.391""], ["" 127.635"", "" 132.632"", ""  60.241""], ["" 128.574"", "" 131.594"", ""  62.198""], ["" 127.786"", "" 132.601"", ""  61.626""], ["" 127.132"", "" 133.585"", ""  62.342""], ["" 126.830"", "" 134.822"", ""  61.706""]]",[],1b_Ghoteimi_2023
4,7716,1b_Grossjean_2025,4h2i_c_1_mae_prepped,1,1,-8.0,-0.3076923076923077,0.0,0.0,6,185.93,-9.79,-9.57,-0.23,-9.79,0.0,-2.06,1.79,-2.06,45,5,0.0,0.0,0.0,17.688028,10.756461,8.655147,-0.62141107,-0.76006997,-0.19011029,230.793655,"61.581528, 106.825729, 337.089539, 97.478149, 123.582642, 303.819183, ","[["" 132.979"", "" 123.381"", ""  59.266""], ["" 131.695"", "" 123.440"", ""  59.683""], ["" 133.346"", "" 123.235"", ""  58.101""], ["" 131.558"", "" 123.555"", ""  60.677""], ["" 134.032"", "" 123.524"", ""  60.366""], ["" 134.249"", "" 121.985"", ""  61.311""], ["" 132.652"", "" 121.209"", ""  61.434""], ["" 131.060"", "" 119.411"", ""  61.124""], ["" 132.374"", "" 119.906"", ""  60.959""], ["" 130.102"", "" 120.212"", ""  61.753""], ["" 133.406"", "" 119.068"", ""  60.342""], ["" 130.470"", "" 121.476"", ""  62.210""], ["" 134.218"", "" 118.404"", ""  59.855""], ["" 131.722"", "" 121.970"", ""  62.062""], ["" 130.637"", "" 118.023"", ""  60.646""], ["" 129.479"", "" 122.388"", ""  62.909""], ["" 130.498"", "" 123.349"", ""  58.949""], ["" 129.621"", "" 122.340"", ""  59.346""], ["" 130.143"", "" 124.185"", ""  57.879""], ["" 128.407"", "" 122.160"", ""  58.691""], ["" 128.929"", "" 124.003"", ""  57.224""], ["" 128.045"", "" 122.991"", ""  57.620""], ["" 126.742"", "" 122.826"", ""  56.891""], ["" 126.387"", "" 121.764"", ""  56.369""], ["" 125.998"", "" 123.961"", ""  56.858""], ["" 125.171"", "" 124.326"", ""  57.954""]]",[],1b_Grossjean_2025
5,1843,1c_Ghoteimi_2023,4h2i_c_1_mae_prepped,2,15,-8.59,-0.2454285714285714,0.0,0.0,1,190.21,-10.97,-10.64,-0.33,-10.97,0.0,-1.48,2.39,-1.48,52,7,0.0,0.0,0.0,14.120028,13.519256,9.083318,0.49184267,0.81130325,0.31603453,162.338501,"52.91806, 191.057037, 245.042221, 266.127258, 149.295593, 98.691544, 166.467484, 35.80674, ","[["" 128.270"", "" 125.577"", ""  59.713""], ["" 127.797"", "" 126.911"", ""  59.710""], ["" 126.743"", "" 127.339"", ""  58.785""], ["" 125.910"", "" 127.675"", ""  58.054""], ["" 128.362"", "" 127.814"", ""  60.635""], ["" 129.343"", "" 127.457"", ""  61.498""], ["" 129.829"", "" 126.188"", ""  61.477""], ["" 129.300"", "" 125.237"", ""  60.597""], ["" 127.708"", "" 124.496"", ""  58.850""], ["" 126.648"", "" 122.493"", ""  57.190""], ["" 128.027"", "" 122.684"", ""  57.275""], ["" 125.796"", "" 123.317"", ""  57.941""], ["" 128.553"", "" 123.677"", ""  58.095""], ["" 126.325"", "" 124.310"", ""  58.761""], ["" 126.215"", "" 121.484"", ""  56.351""], ["" 125.243"", "" 121.779"", ""  55.354""], ["" 127.750"", "" 129.470"", ""  60.859""], ["" 129.125"", "" 130.373"", ""  61.642""], ["" 129.975"", "" 131.133"", ""  60.619""], ["" 129.644"", "" 130.924"", ""  59.326""], ["" 130.907"", "" 131.840"", ""  61.006""], ["" 128.851"", "" 130.327"", ""  59.141""], ["" 130.340"", "" 131.362"", ""  58.210""], ["" 129.901"", "" 132.127"", ""  57.233""], ["" 132.007"", "" 130.901"", ""  58.089""], ["" 130.851"", "" 132.379"", ""  56.354""], ["" 132.095"", "" 131.813"", ""  56.612""], ["" 130.914"", "" 125.867"", ""  62.463""], ["" 130.736"", "" 126.080"", ""  63.839""], ["" 132.144"", "" 125.345"", ""  62.036""], ["" 131.743"", "" 125.776"", ""  64.751""], ["" 133.153"", "" 125.039"", ""  62.945""], ["" 132.958"", "" 125.252"", ""  64.317""], ["" 133.899"", "" 124.978"", ""  65.290""], ["" 133.717"", "" 125.501"", ""  66.601""]]",[],1c_Ghoteimi_2023
6,7838,1c_Grossjean_2025,4h2i_c_1_mae_prepped,1,1,-7.82,-0.32583333333333336,0.0,0.0,2,186.03,-9.31,-9.05,-0.26,-9.31,0.0,-0.95,1.49,-0.95,54,5,0.0,0.0,0.0,15.62784,12.473718,9.266798,0.39333086,0.91594086,0.07964408,140.225189,"57.992874, 267.127991, 332.883575, 26.358631, 237.821472, ","[["" 128.139"", "" 123.518"", ""  61.771""], ["" 128.333"", "" 123.903"", ""  60.492""], ["" 127.533"", "" 122.508"", ""  62.130""], ["" 128.912"", "" 124.718"", ""  60.355""], ["" 128.746"", "" 124.438"", ""  62.832""], ["" 129.790"", "" 123.523"", ""  64.005""], ["" 130.866"", "" 122.447"", ""  63.079""], ["" 132.984"", "" 121.713"", ""  62.161""], ["" 132.257"", "" 122.656"", ""  62.923""], ["" 132.314"", "" 120.616"", ""  61.610""], ["" 132.951"", "" 123.782"", ""  63.554""], ["" 130.948"", "" 120.475"", ""  61.836""], ["" 133.499"", "" 124.671"", ""  64.051""], ["" 130.231"", "" 121.366"", ""  62.560""], ["" 134.487"", "" 121.837"", ""  61.914""], ["" 130.167"", "" 119.298"", ""  61.279""], ["" 127.898"", "" 123.294"", ""  59.299""], ["" 128.731"", "" 122.607"", ""  58.403""], ["" 126.529"", "" 123.376"", ""  59.037""], ["" 128.194"", "" 122.031"", ""  57.256""], ["" 125.996"", "" 122.798"", ""  57.888""], ["" 126.829"", "" 122.121"", ""  56.984""], ["" 126.392"", "" 121.519"", ""  55.820""], ["" 125.216"", "" 122.009"", ""  55.185""]]",[],1c_Grossjean_2025
7,1802,1d_Ghoteimi_2023,4h2i_c_1_mae_prepped,1,20,-7.95,-0.265,0.0,0.0,2,192.23,-10.33,-10.26,-0.07,-10.33,0.0,-1.12,2.39,-1.12,56,3,0.0,0.0,0.0,13.580564,20.147049,9.311437,-0.31927424,-0.7751619,0.54514952,308.938232,"270.50769, 164.287704, 30.594868, 82.787338, 60.530525, 298.514008, 278.493317, 310.575226, ","[["" 129.995"", "" 131.518"", ""  59.024""], ["" 128.824"", "" 131.850"", ""  60.323""], ["" 127.676"", "" 131.403"", ""  62.412""], ["" 128.660"", "" 131.030"", ""  61.463""], ["" 126.950"", "" 132.580"", ""  62.193""], ["" 129.520"", "" 129.866"", ""  61.694""], ["" 127.192"", "" 133.367"", ""  61.061""], ["" 130.199"", "" 128.947"", ""  61.877""], ["" 128.118"", "" 132.991"", ""  60.143""], ["" 127.372"", "" 130.614"", ""  63.645""], ["" 126.796"", "" 129.114"", ""  65.952""], ["" 126.392"", "" 128.663"", ""  64.696""], ["" 127.504"", "" 130.322"", ""  66.049""], ["" 126.678"", "" 129.403"", ""  63.552""], ["" 127.790"", "" 131.059"", ""  64.904""], ["" 126.462"", "" 128.318"", ""  67.031""], ["" 127.378"", "" 127.321"", ""  67.470""], ["" 126.449"", "" 134.642"", ""  60.783""], ["" 125.130"", "" 134.627"", ""  60.301""], ["" 127.054"", "" 135.891"", ""  60.990""], ["" 124.446"", "" 135.809"", ""  60.039""], ["" 126.373"", "" 137.076"", ""  60.727""], ["" 125.056"", "" 137.044"", ""  60.246""], ["" 124.303"", "" 138.165"", ""  59.955""], ["" 124.959"", "" 139.342"", ""  59.497""], ["" 129.041"", "" 131.291"", ""  57.494""], ["" 129.608"", "" 132.251"", ""  56.452""], ["" 128.956"", "" 132.580"", ""  55.460""], ["" 130.854"", "" 132.666"", ""  56.762""], ["" 131.943"", "" 132.387"", ""  55.895""]]",[],1d_Ghoteimi_2023
8,8021,1d_Grossjean_2025,4h2i_c_1_mae_prepped,1,2,-7.34,-0.3336363636363636,0.0,0.0,13,188.32,-8.53,-8.36,-0.18,-8.53,0.0,-1.45,1.19,-1.45,28,6,0.0,0.0,0.0,16.676479,18.400233,2.742886,-0.8466665,0.26495573,0.46146973,98.512039,"288.496063, 227.144485, 145.544144, 248.997787, ","[["" 129.040"", "" 129.542"", ""  53.612""], ["" 128.546"", "" 128.864"", ""  55.181""], ["" 128.601"", "" 127.254"", ""  56.989""], ["" 129.087"", "" 127.678"", ""  55.731""], ["" 127.607"", "" 128.005"", ""  57.627""], ["" 130.092"", "" 126.882"", ""  55.023""], ["" 127.114"", "" 129.147"", ""  57.000""], ["" 130.887"", "" 126.251"", ""  54.467""], ["" 127.567"", "" 129.573"", ""  55.798""], ["" 129.114"", "" 125.997"", ""  57.689""], ["" 126.030"", "" 129.996"", ""  57.635""], ["" 129.383"", "" 131.309"", ""  53.868""], ["" 129.902"", "" 131.598"", ""  55.277""], ["" 130.852"", "" 130.751"", ""  55.728""], ["" 129.425"", "" 132.539"", ""  55.912""], ["" 131.105"", "" 129.996"", ""  55.107""], ["" 131.545"", "" 130.742"", ""  56.953""], ["" 130.792"", "" 131.091"", ""  58.078""], ["" 132.897"", "" 130.393"", ""  57.106""], ["" 131.378"", "" 131.108"", ""  59.339""], ["" 133.482"", "" 130.410"", ""  58.370""], ["" 132.722"", "" 130.768"", ""  59.480""]]",[],1d_Grossjean_2025
9,7767,1e_Grossjean_2025,4h2i_c_1_mae_prepped,1,1,-7.54,-0.32782608695652177,0.0,0.0,1,185.12,-8.73,-8.56,-0.17,-8.73,0.0,-0.66,1.19,-0.66,37,5,0.0,0.0,0.0,10.980688,15.971904,6.645804,0.8944566,-0.41087859,0.1764261,209.586853,"114.538933, 113.927361, 146.94104, 88.393379, ","[["" 125.970"", "" 128.643"", ""  59.336""], ["" 126.083"", "" 129.284"", ""  57.639""], ["" 127.550"", "" 130.286"", ""  57.504""], ["" 129.306"", "" 131.471"", ""  56.328""], ["" 128.144"", "" 130.667"", ""  56.277""], ["" 129.809"", "" 131.870"", ""  57.570""], ["" 127.571"", "" 130.290"", ""  54.982""], ["" 129.145"", "" 131.471"", ""  58.728""], ["" 127.120"", "" 129.993"", ""  53.958""], ["" 128.033"", "" 130.700"", ""  58.703""], ["" 130.042"", "" 131.936"", ""  55.072""], ["" 129.629"", "" 131.887"", ""  60.104""], ["" 126.387"", "" 127.174"", ""  59.423""], ["" 126.396"", "" 126.496"", ""  58.254""], ["" 126.663"", "" 126.691"", ""  60.522""], ["" 126.081"", "" 126.998"", ""  57.436""], ["" 126.719"", "" 125.146"", ""  58.028""], ["" 125.960"", "" 124.347"", ""  57.221""], ["" 127.849"", "" 124.655"", ""  58.693""], ["" 126.326"", "" 123.050"", ""  57.060""], ["" 128.213"", "" 123.319"", ""  58.516""], ["" 127.445"", "" 122.498"", ""  57.690""], ["" 125.439"", "" 122.223"", ""  56.148""]]",[],1e_Grossjean_2025
10,7916,1f_Grossjean_2025,4h2i_c_1_mae_prepped,1,18,-7.08,-0.32181818181818184,0.0,0.0,10,190.14,-8.27,-7.93,-0.34,-8.27,0.0,-1.91,1.19,-1.91,25,6,0.0,0.0,0.0,17.89461,20.326891,5.220556,-0.83853838,-0.43510067,-0.32793412,271.993683,"229.279831, 186.802917, 142.077728, 214.25647, ","[["" 133.115"", "" 130.968"", ""  57.918""], ["" 131.894"", "" 129.694"", ""  58.167""], ["" 129.954"", "" 128.678"", ""  59.202""], ["" 130.850"", "" 129.768"", ""  59.119""], ["" 130.119"", "" 127.589"", ""  58.339""], ["" 130.660"", "" 130.942"", ""  59.975""], ["" 131.159"", "" 127.612"", ""  57.413""], ["" 130.508"", "" 131.867"", ""  60.653""], ["" 132.030"", "" 128.644"", ""  57.318""], ["" 128.796"", "" 128.638"", ""  60.196""], ["" 131.383"", "" 126.469"", ""  56.441""], ["" 132.384"", "" 132.268"", ""  56.865""], ["" 130.988"", "" 131.944"", ""  56.313""], ["" 130.897"", "" 130.755"", ""  55.681""], ["" 130.053"", "" 132.728"", ""  56.480""], ["" 131.739"", "" 130.198"", ""  55.658""], ["" 129.789"", "" 130.151"", ""  55.056""], ["" 128.670"", "" 130.962"", ""  54.837""], ["" 129.710"", "" 128.807"", ""  54.648""], ["" 127.528"", "" 130.520"", ""  54.249""], ["" 128.542"", "" 128.336"", ""  54.041""], ["" 127.480"", "" 129.222"", ""  53.860""]]",[],1f_Grossjean_2025
11,1662,1g_Grossjean_2025,4h2i_c_1_mae_prepped,1,16,-7.38,-0.3208695652173913,0.0,0.0,3,185.55,-8.87,-8.67,-0.21,-8.87,0.0,-1.65,1.49,-1.65,36,7,0.0,0.0,0.0,14.561759,13.746178,4.768231,0.67177623,0.24697119,-0.69837091,181.71521,"109.150589, 57.440269, 72.207436, 185.731934, 323.081787, ","[["" 130.563"", "" 125.424"", ""  56.774""], ["" 129.360"", "" 124.070"", ""  56.925""], ["" 127.871"", "" 124.761"", ""  57.610""], ["" 125.532"", "" 124.740"", ""  58.237""], ["" 126.639"", "" 124.068"", ""  57.673""], ["" 125.696"", "" 126.043"", ""  58.721""], ["" 126.503"", "" 122.685"", ""  57.207""], ["" 126.952"", "" 126.641"", ""  58.642""], ["" 126.394"", "" 121.592"", ""  56.842""], ["" 128.026"", "" 126.016"", ""  58.103""], ["" 124.149"", "" 124.100"", ""  58.349""], ["" 127.199"", "" 128.043"", ""  59.164""], ["" 130.354"", "" 126.237"", ""  55.495""], ["" 129.196"", "" 126.912"", ""  55.401""], ["" 131.225"", "" 126.251"", ""  54.624""], ["" 128.528"", "" 126.827"", ""  56.155""], ["" 128.765"", "" 127.702"", ""  54.248""], ["" 128.790"", "" 129.210"", ""  54.475""], ["" 129.349"", "" 130.052"", ""  53.508""], ["" 128.248"", "" 129.750"", ""  55.644""], ["" 129.372"", "" 131.429"", ""  53.715""], ["" 128.270"", "" 131.127"", ""  55.849""], ["" 128.832"", "" 131.960"", ""  54.885""]]",[],1g_Grossjean_2025
12,7788,1h_Grossjean_2025,4h2i_c_1_mae_prepped,1,11,-7.42,-0.2558620689655172,0.0,0.0,11,189.02,-9.81,-9.72,-0.08,-9.81,0.0,-2.15,2.39,-2.15,45,8,0.0,0.0,0.0,15.43287,18.989532,2.909678,0.23645577,-0.86254658,0.4473277,47.511433,"38.601971, 235.85585, 132.306763, 113.566422, 103.012489, 16.039022, 61.003735, 359.246033, ","[["" 129.875"", "" 131.574"", ""  54.660""], ["" 131.005"", "" 130.943"", ""  55.025""], ["" 129.531"", "" 132.669"", ""  55.104""], ["" 131.205"", "" 130.040"", ""  54.620""], ["" 128.992"", "" 130.856"", ""  53.639""], ["" 129.049"", "" 129.050"", ""  53.842""], ["" 128.480"", "" 128.659"", ""  55.488""], ["" 128.563"", "" 127.406"", ""  57.562""], ["" 129.085"", "" 127.648"", ""  56.270""], ["" 127.480"", "" 128.168"", ""  58.014""], ["" 130.221"", "" 126.868"", ""  55.772""], ["" 126.945"", "" 129.145"", ""  57.178""], ["" 131.118"", "" 126.251"", ""  55.378""], ["" 127.429"", "" 129.393"", ""  55.939""], ["" 129.133"", "" 126.338"", ""  58.493""], ["" 125.769"", "" 130.003"", ""  57.609""], ["" 131.968"", "" 131.435"", ""  56.010""], ["" 131.442"", "" 131.441"", ""  57.442""], ["" 130.142"", "" 131.871"", ""  57.712""], ["" 132.278"", "" 131.072"", ""  58.497""], ["" 129.653"", "" 131.901"", ""  59.027""], ["" 131.817"", "" 131.098"", ""  59.822""], ["" 130.498"", "" 131.504"", ""  60.073""], ["" 128.373"", "" 132.302"", ""  59.366""], ["" 127.469"", "" 131.354"", ""  59.922""], ["" 132.588"", "" 130.744"", ""  60.915""], ["" 133.137"", "" 131.764"", ""  61.743""], ["" 130.036"", "" 131.541"", ""  61.366""], ["" 129.790"", "" 130.260"", ""  61.929""]]",[],1h_Grossjean_2025
13,7832,1i_Grossjean_2025,4h2i_c_1_mae_prepped,2,9,-7.38,-0.3514285714285714,0.0,0.0,17,189.14,-8.57,-8.05,-0.52,-8.57,0.0,-1.71,1.19,-1.71,22,8,0.0,0.0,0.0,16.825622,20.191183,5.458472,-0.86110794,-0.50797236,-0.02138209,165.257568,"313.702881, 355.077209, 24.678547, 227.38443, ","[["" 132.425"", "" 131.076"", ""  57.610""], ["" 131.142"", "" 129.863"", ""  57.830""], ["" 129.194"", "" 128.902"", ""  58.902""], ["" 130.157"", "" 129.936"", ""  58.843""], ["" 129.262"", "" 127.851"", ""  57.981""], ["" 130.134"", "" 131.019"", ""  59.829""], ["" 130.282"", "" 127.848"", ""  57.032""], ["" 130.115"", "" 131.873"", ""  60.610""], ["" 131.211"", "" 128.830"", ""  56.954""], ["" 128.077"", "" 128.875"", ""  59.944""], ["" 130.415"", "" 126.731"", ""  56.013""], ["" 131.991"", "" 132.079"", ""  56.157""], ["" 130.571"", "" 131.792"", ""  55.663""], ["" 130.402"", "" 130.607"", ""  55.035""], ["" 129.686"", "" 132.627"", ""  55.852""], ["" 131.205"", "" 129.998"", ""  54.971""], ["" 129.227"", "" 130.101"", ""  54.499""], ["" 128.044"", "" 130.694"", ""  54.518""], ["" 129.155"", "" 128.868"", ""  53.852""], ["" 127.153"", "" 129.836"", ""  53.871""], ["" 127.839"", "" 128.738"", ""  53.474""]]",[],1i_Grossjean_2025
14,1355,1j_Grossjean_2025,4h2i_c_1_mae_prepped,1,2,-6.76,-0.3219047619047619,0.0,0.0,6,188.39,-7.95,-7.72,-0.23,-7.95,0.0,-1.17,1.19,-1.17,28,7,0.0,0.0,0.0,16.499356,18.327044,3.039006,-0.85094763,0.24372255,0.46528211,99.883156,"284.940308, 220.160339, 137.207718, 257.03421, ","[["" 129.174"", "" 129.603"", ""  53.798""], ["" 128.608"", "" 128.898"", ""  55.330""], ["" 128.567"", "" 127.247"", ""  57.102""], ["" 129.107"", "" 127.691"", ""  55.874""], ["" 127.560"", "" 127.998"", ""  57.717""], ["" 130.126"", "" 126.892"", ""  55.187""], ["" 127.109"", "" 129.161"", ""  57.097""], ["" 130.929"", "" 126.259"", ""  54.646""], ["" 127.616"", "" 129.607"", ""  55.924""], ["" 129.032"", "" 125.965"", ""  57.793""], ["" 126.010"", "" 130.011"", ""  57.707""], ["" 129.469"", "" 131.374"", ""  54.081""], ["" 130.111"", "" 131.639"", ""  55.444""], ["" 131.067"", "" 130.760"", ""  55.818""], ["" 129.737"", "" 132.604"", ""  56.111""], ["" 131.304"", "" 130.023"", ""  55.170""], ["" 131.800"", "" 130.785"", ""  56.996""], ["" 133.096"", "" 130.610"", ""  57.145""], ["" 130.928"", "" 131.086"", ""  58.464""], ["" 133.454"", "" 130.701"", ""  58.410""], ["" 132.434"", "" 130.958"", ""  59.322""]]",[],1j_Grossjean_2025
