,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,5499,1a_Ghoteimi_2023,receptor_tmp,1,3,-10.1,-0.24634146341463414,0.0,0.0,4,184.44,-13.38,-13.14,-0.24,-13.38,0.0,-1.68,3.28,-1.68,80,7,0.0,0.0,0.0,15.01683,14.565861,11.841171,0.24152014,0.81205714,0.53125439,51.0965,"167.179688, 61.983837, 192.255524, 295.28009, 93.53907, 88.489433, 292.901917, 288.360931, 96.87854, 259.172974, 247.36972, ","[["" 130.406"", "" 127.318"", ""  61.428""], ["" 129.954"", "" 128.556"", ""  61.129""], ["" 131.415"", "" 126.791"", ""  60.959""], ["" 129.139"", "" 128.865"", ""  61.637""], ["" 129.571"", "" 126.542"", ""  62.446""], ["" 130.493"", "" 125.142"", ""  63.146""], ["" 130.212"", "" 123.767"", ""  62.054""], ["" 130.679"", "" 121.578"", ""  61.127""], ["" 131.009"", "" 122.603"", ""  62.046""], ["" 129.586"", "" 121.776"", ""  60.272""], ["" 132.151"", "" 122.460"", ""  62.956""], ["" 128.825"", "" 122.949"", ""  60.346""], ["" 133.052"", "" 122.346"", ""  63.673""], ["" 129.146"", "" 123.926"", ""  61.234""], ["" 131.426"", "" 120.289"", ""  61.014""], ["" 132.834"", "" 117.869"", ""  60.760""], ["" 131.471"", "" 117.867"", ""  61.057""], ["" 133.492"", "" 119.096"", ""  60.585""], ["" 130.771"", "" 119.064"", ""  61.179""], ["" 132.790"", "" 120.293"", ""  60.709""], ["" 133.444"", "" 116.635"", ""  60.657""], ["" 132.753"", "" 115.478"", ""  61.116""], ["" 127.642"", "" 123.209"", ""  59.458""], ["" 126.443"", "" 123.727"", ""  59.973""], ["" 127.698"", "" 122.936"", ""  58.082""], ["" 125.349"", "" 123.967"", ""  59.147""], ["" 126.606"", "" 123.176"", ""  57.254""], ["" 125.417"", "" 123.697"", ""  57.783""], ["" 124.284"", "" 123.969"", ""  57.039""], ["" 123.231"", "" 124.721"", ""  57.630""], ["" 130.473"", "" 129.514"", ""  60.237""], ["" 131.168"", "" 130.672"", ""  60.618""], ["" 130.272"", "" 129.252"", ""  58.882""], ["" 131.644"", "" 131.552"", ""  59.650""], ["" 130.748"", "" 130.134"", ""  57.915""], ["" 131.440"", "" 131.294"", ""  58.286""], ["" 131.943"", "" 132.222"", ""  57.218""], ["" 133.115"", "" 132.238"", ""  56.831""], ["" 130.980"", "" 133.043"", ""  56.725""], ["" 130.093"", "" 132.604"", ""  55.703""], ["" 128.696"", "" 132.401"", ""  56.296""]]",[],1a_Ghoteimi_2023
1,13401,1a_Grossjean_2025,receptor_tmp,1,4,-8.85,-0.3277777777777778,0.0,0.0,3,193.35,-10.94,-10.84,-0.1,-10.94,0.0,-0.94,2.09,-0.94,70,4,0.0,0.0,0.0,13.917978,22.304545,8.819858,0.46954947,0.36693754,0.8030443,206.466202,"284.414093, 119.183037, 69.944839, 17.712029, 179.55806, 276.666473, 123.179611, ","[["" 126.544"", "" 135.296"", ""  61.423""], ["" 127.276"", "" 136.484"", ""  61.410""], ["" 126.627"", "" 137.713"", ""  61.338""], ["" 125.228"", "" 137.778"", ""  61.279""], ["" 124.495"", "" 136.581"", ""  61.300""], ["" 125.143"", "" 135.352"", ""  61.373""], ["" 127.304"", "" 134.112"", ""  61.495""], ["" 126.986"", "" 132.853"", ""  61.125""], ["" 125.916"", "" 132.502"", ""  60.628""], ["" 128.237"", "" 134.246"", ""  61.854""], ["" 128.077"", "" 131.806"", ""  61.358""], ["" 129.745"", "" 132.526"", ""  61.283""], ["" 130.382"", "" 132.229"", ""  59.649""], ["" 132.067"", "" 131.564"", ""  58.040""], ["" 131.693"", "" 131.763"", ""  59.390""], ["" 131.146"", "" 131.849"", ""  57.026""], ["" 132.657"", "" 131.518"", ""  60.466""], ["" 129.884"", "" 132.327"", ""  57.373""], ["" 133.420"", "" 131.324"", ""  61.314""], ["" 129.504"", "" 132.521"", ""  58.658""], ["" 133.449"", "" 131.056"", ""  57.636""], ["" 128.845"", "" 132.663"", ""  56.319""], ["" 124.560"", "" 139.120"", ""  61.197""], ["" 123.814"", "" 139.450"", ""  60.271""], ["" 124.846"", "" 139.927"", ""  62.251""], ["" 125.862"", "" 140.918"", ""  62.161""], ["" 126.504"", "" 140.867"", ""  60.772""]]",[],1a_Grossjean_2025
2,5378,1aa_Ghoteimi_2023,receptor_tmp,1,10,-9.43,-0.22999999999999998,0.0,0.0,3,185.46,-12.71,-12.57,-0.15,-12.71,0.0,-1.66,3.28,-1.66,88,7,0.0,0.0,0.0,15.313158,15.629963,12.034636,-0.48138847,-0.14951009,0.8636619,215.981995,"217.561432, 13.006006, 149.464523, 276.817291, 342.385071, 99.162819, 176.412811, 122.755272, 99.181282, 97.392799, 53.252026, ","[["" 127.086"", "" 128.005"", ""  62.049""], ["" 127.597"", "" 126.801"", ""  61.701""], ["" 126.141"", "" 128.558"", ""  61.486""], ["" 128.367"", "" 126.473"", ""  62.267""], ["" 127.737"", "" 128.729"", ""  63.238""], ["" 127.145"", "" 130.021"", ""  63.424""], ["" 127.560"", "" 131.100"", ""  62.657""], ["" 127.201"", "" 133.334"", ""  61.780""], ["" 126.757"", "" 132.250"", ""  62.573""], ["" 128.436"", "" 133.211"", ""  61.128""], ["" 125.503"", "" 132.304"", ""  63.326""], ["" 129.198"", "" 132.043"", ""  61.254""], ["" 128.751"", "" 131.002"", ""  62.004""], ["" 124.511"", "" 132.344"", ""  63.922""], ["" 126.432"", "" 134.600"", ""  61.598""], ["" 125.006"", "" 136.996"", ""  61.231""], ["" 126.375"", "" 137.020"", ""  61.495""], ["" 124.350"", "" 135.759"", ""  61.147""], ["" 127.083"", "" 135.836"", ""  61.673""], ["" 125.060"", "" 134.575"", ""  61.326""], ["" 124.386"", "" 138.220"", ""  61.069""], ["" 125.076"", "" 139.263"", ""  60.390""], ["" 130.519"", "" 131.855"", ""  60.564""], ["" 130.611"", "" 131.864"", ""  59.165""], ["" 131.703"", "" 131.670"", ""  61.297""], ["" 131.834"", "" 131.688"", ""  58.523""], ["" 132.927"", "" 131.493"", ""  60.659""], ["" 133.001"", "" 131.500"", ""  59.259""], ["" 134.168"", "" 131.333"", ""  58.538""], ["" 134.108"", "" 130.723"", ""  57.253""], ["" 127.225"", "" 125.916"", ""  60.673""], ["" 127.143"", "" 126.248"", ""  59.313""], ["" 126.928"", "" 124.614"", ""  61.078""], ["" 126.763"", "" 125.285"", ""  58.380""], ["" 126.549"", "" 123.653"", ""  60.146""], ["" 126.462"", "" 123.976"", ""  58.785""], ["" 126.049"", "" 122.916"", ""  57.804""], ["" 124.893"", "" 122.793"", ""  57.387""], ["" 127.072"", "" 122.109"", ""  57.424""], ["" 127.999"", "" 122.520"", ""  56.427""], ["" 127.244"", "" 122.869"", ""  55.141""]]",[],1aa_Ghoteimi_2023
3,5229,1b_Ghoteimi_2023,receptor_tmp,1,11,-9.3,-0.26571428571428574,0.0,0.0,10,188.22,-11.69,-11.44,-0.24,-11.69,0.0,-2.28,2.39,-2.28,74,7,0.0,0.0,0.0,12.146142,20.065364,8.567896,0.39966272,-0.91665146,0.00445013,159.187332,"167.19722, 227.203949, 307.527802, 235.211975, 174.863495, 302.097229, 354.203278, 122.645409, ","[["" 128.150"", "" 132.493"", ""  60.936""], ["" 127.232"", "" 131.512"", ""  61.383""], ["" 127.638"", "" 130.108"", ""  61.494""], ["" 127.960"", "" 128.999"", ""  61.581""], ["" 125.943"", "" 131.939"", ""  61.774""], ["" 125.582"", "" 133.245"", ""  61.777""], ["" 126.460"", "" 134.192"", ""  61.355""], ["" 127.745"", "" 133.834"", ""  60.935""], ["" 129.535"", "" 132.184"", ""  60.470""], ["" 132.132"", "" 131.582"", ""  59.578""], ["" 131.137"", "" 131.943"", ""  58.669""], ["" 131.818"", "" 131.518"", ""  60.944""], ["" 129.850"", "" 132.238"", ""  59.109""], ["" 130.530"", "" 131.814"", ""  61.380""], ["" 133.379"", "" 131.306"", ""  59.050""], ["" 133.514"", "" 131.131"", ""  57.644""], ["" 124.660"", "" 130.848"", ""  62.354""], ["" 123.374"", "" 130.758"", ""  61.064""], ["" 123.898"", "" 130.776"", ""  59.620""], ["" 124.917"", "" 129.921"", ""  59.381""], ["" 123.398"", "" 131.525"", ""  58.778""], ["" 125.248"", "" 129.366"", ""  60.156""], ["" 125.586"", "" 129.725"", ""  58.178""], ["" 125.026"", "" 129.419"", ""  57.019""], ["" 126.970"", "" 129.830"", ""  58.051""], ["" 126.060"", "" 129.317"", ""  56.087""], ["" 127.229"", "" 129.569"", ""  56.724""], ["" 125.974"", "" 135.615"", ""  61.379""], ["" 124.654"", "" 135.933"", ""  61.024""], ["" 126.819"", "" 136.668"", ""  61.764""], ["" 124.201"", "" 137.248"", ""  61.047""], ["" 126.369"", "" 137.984"", ""  61.789""], ["" 125.049"", "" 138.286"", ""  61.429""], ["" 124.511"", "" 139.559"", ""  61.423""], ["" 125.282"", "" 140.640"", ""  61.935""]]",[],1b_Ghoteimi_2023
4,5390,1b_Grossjean_2025,receptor_tmp,1,17,-9.52,-0.36615384615384616,0.0,0.0,2,184.3,-11.31,-11.1,-0.21,-11.31,0.0,-0.65,1.79,-0.65,69,4,0.0,0.0,0.0,15.293025,8.132706,9.253131,0.50017921,-0.61721065,-0.60734815,302.639893,"138.475784, 284.893066, 205.486328, 257.137054, 299.498566, 327.043732, ","[["" 130.653"", "" 121.530"", ""  61.684""], ["" 130.420"", "" 120.398"", ""  60.985""], ["" 131.669"", "" 121.773"", ""  62.333""], ["" 129.530"", "" 120.347"", ""  60.510""], ["" 129.538"", "" 122.575"", ""  61.629""], ["" 129.076"", "" 122.994"", ""  59.921""], ["" 127.312"", "" 123.236"", ""  59.893""], ["" 125.141"", "" 123.410"", ""  58.836""], ["" 126.534"", "" 123.204"", ""  58.712""], ["" 124.591"", "" 123.624"", ""  60.103""], ["" 127.126"", "" 122.934"", ""  57.399""], ["" 125.431"", "" 123.618"", ""  61.215""], ["" 127.591"", "" 122.722"", ""  56.361""], ["" 126.767"", "" 123.423"", ""  61.120""], ["" 124.199"", "" 123.405"", ""  57.633""], ["" 124.893"", "" 123.836"", ""  62.618""], ["" 131.221"", "" 119.252"", ""  60.820""], ["" 130.531"", "" 118.044"", ""  60.710""], ["" 132.623"", "" 119.250"", ""  60.760""], ["" 131.223"", "" 116.848"", ""  60.542""], ["" 133.313"", "" 118.053"", ""  60.593""], ["" 132.624"", "" 116.838"", ""  60.482""], ["" 133.403"", "" 115.566"", ""  60.301""], ["" 134.165"", "" 115.368"", ""  59.349""], ["" 133.180"", "" 114.656"", ""  61.283""], ["" 131.989"", "" 113.881"", ""  61.304""]]",[],1b_Grossjean_2025
5,13186,1c_Ghoteimi_2023,receptor_tmp,1,5,-8.58,-0.24514285714285713,0.0,0.0,6,187.77,-10.96,-10.9,-0.06,-10.96,0.0,-2.27,2.39,-2.27,77,4,0.0,0.0,0.0,16.799924,9.695158,7.946352,-0.07318179,0.28378877,-0.95609014,311.182312,"167.494125, 193.405396, 120.66304, 309.904602, 100.298943, 317.374878, 156.029953, 91.537941, ","[["" 131.076"", "" 120.928"", ""  61.059""], ["" 131.870"", "" 121.971"", ""  61.591""], ["" 133.223"", "" 121.712"", ""  62.096""], ["" 134.290"", "" 121.505"", ""  62.493""], ["" 131.327"", "" 123.272"", ""  61.607""], ["" 130.079"", "" 123.548"", ""  61.158""], ["" 129.297"", "" 122.543"", ""  60.685""], ["" 129.781"", "" 121.232"", ""  60.623""], ["" 131.551"", "" 119.521"", ""  60.902""], ["" 132.466"", "" 116.877"", ""  60.650""], ["" 131.206"", "" 117.141"", ""  61.187""], ["" 133.273"", "" 117.950"", ""  60.240""], ["" 130.753"", "" 118.450"", ""  61.315""], ["" 132.817"", "" 119.259"", ""  60.369""], ["" 132.833"", "" 115.547"", ""  60.561""], ["" 132.061"", "" 114.567"", ""  61.248""], ["" 132.270"", "" 124.703"", ""  62.088""], ["" 133.673"", "" 124.748"", ""  60.926""], ["" 133.227"", "" 124.545"", ""  59.473""], ["" 132.063"", "" 125.144"", ""  59.139""], ["" 133.905"", "" 123.842"", ""  58.722""], ["" 131.608"", "" 125.701"", ""  59.847""], ["" 131.366"", "" 124.994"", ""  57.951""], ["" 130.186"", "" 124.441"", ""  57.770""], ["" 132.095"", "" 125.651"", ""  56.521""], ["" 129.808"", "" 124.509"", ""  56.509""], ["" 130.693"", "" 125.132"", ""  55.634""], ["" 127.927"", "" 122.926"", ""  60.203""], ["" 127.590"", "" 122.869"", ""  58.842""], ["" 126.942"", "" 123.356"", ""  61.103""], ["" 126.317"", "" 123.220"", ""  58.400""], ["" 125.668"", "" 123.707"", ""  60.666""], ["" 125.345"", "" 123.640"", ""  59.304""], ["" 124.109"", "" 123.966"", ""  58.778""], ["" 124.016"", "" 124.365"", ""  57.415""]]",[],1c_Ghoteimi_2023
6,5363,1c_Grossjean_2025,receptor_tmp,1,5,-8.78,-0.3658333333333333,0.0,0.0,5,193.2,-10.27,-10.11,-0.16,-10.27,0.0,-0.64,1.49,-0.64,64,3,0.0,0.0,0.0,13.995611,21.633179,8.459072,0.87877519,0.47646441,-0.02712643,208.280594,"139.062164, 6.73665, 58.220833, 321.885712, 301.688599, ","[["" 127.161"", "" 133.623"", ""  62.098""], ["" 127.287"", "" 134.756"", ""  61.375""], ["" 126.243"", "" 133.371"", ""  62.879""], ["" 128.058"", "" 134.786"", ""  60.725""], ["" 128.270"", "" 132.589"", ""  61.895""], ["" 128.722"", "" 132.416"", ""  60.144""], ["" 130.465"", "" 132.060"", ""  60.045""], ["" 132.586"", "" 131.744"", ""  58.917""], ["" 131.205"", "" 132.041"", ""  58.839""], ["" 133.163"", "" 131.498"", ""  60.167""], ["" 130.594"", "" 132.355"", ""  57.545""], ["" 132.364"", "" 131.563"", ""  61.306""], ["" 130.112"", "" 132.602"", ""  56.523""], ["" 131.041"", "" 131.843"", ""  61.255""], ["" 133.486"", "" 131.685"", ""  57.684""], ["" 132.934"", "" 131.322"", ""  62.691""], ["" 126.456"", "" 135.893"", ""  61.343""], ["" 125.054"", "" 135.856"", ""  61.302""], ["" 127.109"", "" 137.126"", ""  61.382""], ["" 124.328"", "" 137.043"", ""  61.284""], ["" 126.378"", "" 138.311"", ""  61.364""], ["" 124.976"", "" 138.277"", ""  61.312""], ["" 124.169"", "" 139.398"", ""  61.289""], ["" 124.531"", "" 140.530"", ""  62.073""]]",[],1c_Grossjean_2025
7,13434,1d_Ghoteimi_2023,receptor_tmp,1,19,-8.31,-0.277,0.0,0.0,11,192.75,-10.7,-10.49,-0.21,-10.7,0.0,-1.07,2.39,-1.07,69,7,0.0,0.0,0.0,13.330061,20.892613,9.541854,-0.57467712,0.81633851,-0.05777239,192.901794,"345.262024, 193.430099, 337.098907, 270.253632, 200.182709, 182.775909, 78.9888, 302.133087, ","[["" 125.796"", "" 130.039"", ""  62.520""], ["" 126.531"", "" 131.531"", ""  61.888""], ["" 126.610"", "" 133.907"", ""  61.405""], ["" 125.920"", "" 132.803"", ""  61.966""], ["" 127.873"", "" 133.687"", ""  60.842""], ["" 124.643"", "" 132.993"", ""  62.660""], ["" 128.438"", "" 132.406"", ""  60.834""], ["" 123.635"", "" 133.145"", ""  63.208""], ["" 127.761"", "" 131.349"", ""  61.351""], ["" 126.069"", "" 135.301"", ""  61.387""], ["" 125.035"", "" 137.915"", ""  61.352""], ["" 124.225"", "" 136.829"", ""  61.021""], ["" 126.371"", "" 137.685"", ""  61.713""], ["" 124.735"", "" 135.534"", ""  61.040""], ["" 126.878"", "" 136.388"", ""  61.733""], ["" 124.446"", "" 139.164"", ""  61.299""], ["" 125.109"", "" 140.271"", ""  61.900""], ["" 129.791"", "" 132.118"", ""  60.253""], ["" 130.874"", "" 131.758"", ""  61.070""], ["" 130.018"", "" 132.207"", ""  58.871""], ["" 132.130"", "" 131.498"", ""  60.530""], ["" 131.273"", "" 131.949"", ""  58.327""], ["" 132.344"", "" 131.590"", ""  59.157""], ["" 133.622"", "" 131.317"", ""  58.709""], ["" 133.813"", "" 130.922"", ""  57.355""], ["" 126.604"", "" 129.678"", ""  64.108""], ["" 125.531"", "" 129.735"", ""  65.192""], ["" 124.356"", "" 129.982"", ""  64.920""], ["" 126.030"", "" 129.483"", ""  66.420""], ["" 127.422"", "" 129.273"", ""  66.604""]]",[],1d_Ghoteimi_2023
8,5992,1d_Grossjean_2025,receptor_tmp,1,10,-9.15,-0.41590909090909095,0.0,0.0,3,182.87,-10.35,-10.2,-0.14,-10.35,0.0,-0.44,1.19,-0.44,62,3,0.0,0.0,0.0,14.721103,8.435251,8.178246,0.28789022,0.34361568,-0.89389456,40.445534,"281.028625, 15.649757, 3.484342, 9.685016, ","[["" 129.465"", "" 122.454"", ""  59.928""], ["" 127.742"", "" 122.896"", ""  59.901""], ["" 125.604"", "" 123.322"", ""  58.846""], ["" 126.964"", "" 122.957"", ""  58.720""], ["" 125.089"", "" 123.620"", ""  60.113""], ["" 127.536"", "" 122.689"", ""  57.399""], ["" 125.934"", "" 123.557"", ""  61.219""], ["" 127.985"", "" 122.477"", ""  56.354""], ["" 127.238"", "" 123.207"", ""  61.122""], ["" 124.662"", "" 123.414"", ""  57.647""], ["" 125.439"", "" 123.878"", ""  62.616""], ["" 129.724"", "" 121.364"", ""  61.361""], ["" 130.882"", "" 120.390"", ""  61.141""], ["" 130.528"", "" 119.157"", ""  60.718""], ["" 132.032"", "" 120.761"", ""  61.376""], ["" 129.537"", "" 118.989"", ""  60.617""], ["" 131.332"", "" 118.045"", ""  60.408""], ["" 130.663"", "" 116.947"", ""  59.859""], ["" 132.724"", "" 117.986"", ""  60.592""], ["" 131.365"", "" 115.797"", ""  59.510""], ["" 133.424"", "" 116.834"", ""  60.242""], ["" 132.743"", "" 115.745"", ""  59.704""]]",[],1d_Grossjean_2025
9,5461,1e_Grossjean_2025,receptor_tmp,1,18,-9.38,-0.4078260869565218,0.0,0.0,3,191.58,-10.57,-10.41,-0.16,-10.57,0.0,-0.39,1.19,-0.39,65,3,0.0,0.0,0.0,14.610622,22.656517,8.874602,-0.1870389,-0.90239326,0.38820467,169.845261,"168.84166, 4.007447, 233.541687, 8.424473, ","[["" 128.056"", "" 133.770"", ""  61.776""], ["" 128.243"", "" 132.808"", ""  60.245""], ["" 129.944"", "" 132.299"", ""  60.094""], ["" 132.003"", "" 131.824"", ""  58.908""], ["" 130.653"", "" 132.243"", ""  58.870""], ["" 132.586"", "" 131.503"", ""  60.138""], ["" 130.046"", "" 132.640"", ""  57.598""], ["" 131.822"", "" 131.612"", ""  61.298""], ["" 129.568"", "" 132.953"", ""  56.591""], ["" 130.527"", "" 132.008"", ""  61.285""], ["" 132.867"", "" 131.714"", ""  57.653""], ["" 132.402"", "" 131.296"", ""  62.663""], ["" 127.001"", "" 134.869"", ""  61.637""], ["" 127.472"", "" 136.105"", ""  61.365""], ["" 125.812"", "" 134.584"", ""  61.797""], ["" 128.475"", "" 136.209"", ""  61.325""], ["" 126.749"", "" 137.300"", ""  61.197""], ["" 127.054"", "" 138.197"", ""  60.213""], ["" 125.712"", "" 137.535"", ""  62.108""], ["" 126.321"", "" 139.335"", ""  60.120""], ["" 124.966"", "" 138.710"", ""  61.998""], ["" 125.269"", "" 139.629"", ""  60.993""], ["" 126.714"", "" 140.283"", ""  59.003""]]",[],1e_Grossjean_2025
10,5277,1f_Grossjean_2025,receptor_tmp,1,2,-8.79,-0.3995454545454545,0.0,0.0,1,184.24,-9.98,-9.8,-0.18,-9.98,0.0,-0.36,1.19,-0.36,58,4,0.0,0.0,0.0,15.29927,8.969467,9.20454,0.99307498,-0.10246276,0.05747581,242.906296,"172.006989, 184.1409, 94.143333, 11.612759, ","[["" 129.423"", "" 122.487"", ""  59.978""], ["" 127.698"", "" 122.933"", ""  60.017""], ["" 125.523"", "" 123.396"", ""  59.057""], ["" 126.876"", "" 123.032"", ""  58.870""], ["" 125.048"", "" 123.623"", ""  60.354""], ["" 127.378"", "" 122.736"", ""  57.526""], ["" 125.921"", "" 123.475"", ""  61.428""], ["" 127.772"", "" 122.503"", ""  56.463""], ["" 127.221"", "" 123.131"", ""  61.272""], ["" 124.543"", "" 123.546"", ""  57.896""], ["" 125.464"", "" 123.694"", ""  62.859""], ["" 129.753"", "" 121.342"", ""  61.361""], ["" 130.902"", "" 120.351"", ""  61.119""], ["" 130.507"", "" 119.112"", ""  60.758""], ["" 132.073"", "" 120.712"", ""  61.234""], ["" 129.511"", "" 118.973"", ""  60.662""], ["" 131.279"", "" 117.970"", ""  60.469""], ["" 132.645"", "" 118.043"", ""  60.764""], ["" 130.796"", "" 116.775"", ""  59.903""], ["" 133.515"", "" 117.024"", ""  60.539""], ["" 131.679"", "" 115.718"", ""  59.666""], ["" 133.023"", "" 115.882"", ""  59.997""]]",[],1f_Grossjean_2025
11,13461,1g_Grossjean_2025,receptor_tmp,1,2,-9.3,-0.4043478260869566,0.0,0.0,4,192.58,-10.79,-10.66,-0.13,-10.79,0.0,-0.5,1.49,-0.5,63,3,0.0,0.0,0.0,12.895341,20.235014,8.598845,0.30510973,0.92070924,-0.24331574,188.939484,"132.622726, 312.321228, 186.26799, 89.001411, 194.90654, ","[["" 128.136"", "" 133.389"", ""  61.711""], ["" 128.476"", "" 132.993"", ""  59.970""], ["" 130.157"", "" 132.419"", ""  59.877""], ["" 132.197"", "" 131.789"", ""  58.736""], ["" 130.868"", "" 132.262"", ""  58.664""], ["" 132.759"", "" 131.513"", ""  59.987""], ["" 130.277"", "" 132.608"", ""  57.369""], ["" 131.994"", "" 131.720"", ""  61.133""], ["" 129.813"", "" 132.881"", ""  56.344""], ["" 130.718"", "" 132.170"", ""  61.088""], ["" 133.061"", "" 131.568"", ""  57.494""], ["" 132.551"", "" 131.456"", ""  62.519""], ["" 126.783"", "" 134.079"", ""  61.888""], ["" 126.646"", "" 135.281"", ""  61.302""], ["" 125.890"", "" 133.529"", ""  62.535""], ["" 127.437"", "" 135.667"", ""  60.807""], ["" 125.464"", "" 136.138"", ""  61.390""], ["" 125.748"", "" 137.622"", ""  61.177""], ["" 125.608"", "" 138.519"", ""  62.242""], ["" 126.156"", "" 138.082"", ""  59.922""], ["" 125.867"", "" 139.873"", ""  62.048""], ["" 126.417"", "" 139.437"", ""  59.731""], ["" 126.271"", "" 140.325"", ""  60.793""]]",[],1g_Grossjean_2025
12,5360,1h_Grossjean_2025,receptor_tmp,1,2,-7.03,-0.2424137931034483,0.0,0.0,4,184.81,-9.42,-9.1,-0.32,-9.42,0.0,-2.28,2.39,-2.28,73,4,0.0,0.0,0.0,19.186116,11.704509,7.54727,0.36161931,0.7638544,-0.5345633,147.176971,"341.23291, 103.013206, 189.202911, 15.130392, 80.852509, 188.919586, 321.205383, 68.263321, ","[["" 133.252"", "" 124.443"", ""  59.324""], ["" 131.917"", "" 124.606"", ""  59.291""], ["" 133.983"", "" 124.594"", ""  58.346""], ["" 131.391"", "" 124.449"", ""  60.138""], ["" 133.856"", "" 124.043"", ""  60.671""], ["" 133.956"", "" 122.238"", ""  60.862""], ["" 132.304"", "" 121.618"", ""  61.135""], ["" 130.640"", "" 119.856"", ""  61.196""], ["" 131.977"", "" 120.253"", ""  60.960""], ["" 129.703"", "" 120.815"", ""  61.590""], ["" 132.981"", "" 119.269"", ""  60.548""], ["" 130.111"", "" 122.138"", ""  61.741""], ["" 133.775"", "" 118.492"", ""  60.222""], ["" 131.384"", "" 122.540"", ""  61.521""], ["" 130.172"", "" 118.411"", ""  61.034""], ["" 129.141"", "" 123.226"", ""  62.165""], ["" 131.137"", "" 124.949"", ""  58.102""], ["" 129.838"", "" 124.162"", ""  57.964""], ["" 129.402"", "" 123.738"", ""  56.708""], ["" 129.048"", "" 123.912"", ""  59.087""], ["" 128.197"", "" 123.031"", ""  56.565""], ["" 127.837"", "" 123.212"", ""  58.973""], ["" 127.428"", "" 122.767"", ""  57.708""], ["" 127.712"", "" 122.569"", ""  55.356""], ["" 128.585"", "" 122.498"", ""  54.234""], ["" 127.006"", "" 122.927"", ""  60.042""], ["" 126.119"", "" 123.931"", ""  60.526""], ["" 126.241"", "" 122.087"", ""  57.580""], ["" 125.160"", "" 122.888"", ""  57.124""]]",[],1h_Grossjean_2025
13,5013,1i_Grossjean_2025,receptor_tmp,1,9,-8.07,-0.3842857142857143,0.0,0.0,1,191.19,-9.26,-8.78,-0.48,-9.26,0.0,-0.41,1.19,-0.41,38,8,0.0,0.0,0.0,15.294864,22.142984,9.28515,-0.03900982,-0.07840604,0.99615798,145.075607,"260.571533, 354.199127, 208.105499, 84.314423, ","[["" 128.421"", "" 132.618"", ""  60.426""], ["" 130.136"", "" 132.208"", ""  60.187""], ["" 132.149"", "" 131.871"", ""  58.883""], ["" 130.779"", "" 132.219"", ""  58.927""], ["" 132.804"", "" 131.518"", ""  60.068""], ["" 130.062"", "" 132.543"", ""  57.691""], ["" 132.086"", "" 131.512"", ""  61.262""], ["" 129.497"", "" 132.797"", ""  56.713""], ["" 130.775"", "" 131.845"", ""  61.328""], ["" 132.953"", "" 131.855"", ""  57.584""], ["" 132.736"", "" 131.128"", ""  62.577""], ["" 128.207"", "" 133.093"", ""  62.168""], ["" 126.989"", "" 132.420"", ""  62.803""], ["" 127.262"", "" 131.480"", ""  63.734""], ["" 125.859"", "" 132.754"", ""  62.443""], ["" 128.234"", "" 131.320"", ""  63.960""], ["" 126.352"", "" 130.726"", ""  64.461""], ["" 125.034"", "" 130.817"", ""  64.388""], ["" 126.733"", "" 129.750"", ""  65.380""], ["" 124.516"", "" 129.881"", ""  65.284""], ["" 125.554"", "" 129.244"", ""  65.876""]]",[],1i_Grossjean_2025
14,13419,1j_Grossjean_2025,receptor_tmp,1,5,-8.16,-0.38857142857142857,0.0,0.0,5,183.04,-9.36,-9.2,-0.16,-9.36,0.0,-0.31,1.19,-0.31,49,3,0.0,0.0,0.0,14.539387,8.714971,8.417964,0.04317284,0.39014708,-0.91973983,38.526623,"270.497345, 7.84776, 7.650478, 9.646964, ","[["" 129.363"", "" 122.402"", ""  59.876""], ["" 127.646"", "" 122.867"", ""  59.895""], ["" 125.488"", "" 123.332"", ""  58.898""], ["" 126.839"", "" 122.950"", ""  58.735""], ["" 125.010"", "" 123.626"", ""  60.179""], ["" 127.374"", "" 122.689"", ""  57.397""], ["" 125.882"", "" 123.543"", ""  61.262""], ["" 127.794"", "" 122.484"", ""  56.338""], ["" 127.178"", "" 123.176"", ""  61.130""], ["" 124.517"", "" 123.446"", ""  57.723""], ["" 125.427"", "" 123.864"", ""  62.674""], ["" 129.717"", "" 121.530"", ""  61.430""], ["" 130.865"", "" 120.530"", ""  61.279""], ["" 130.506"", "" 119.284"", ""  60.899""], ["" 132.019"", "" 120.897"", ""  61.506""], ["" 129.528"", "" 119.114"", ""  60.719""], ["" 131.355"", "" 118.207"", ""  60.688""], ["" 132.623"", "" 118.099"", ""  61.023""], ["" 130.688"", "" 116.818"", ""  59.891""], ["" 133.120"", "" 116.931"", ""  60.668""], ["" 132.245"", "" 116.058"", ""  60.028""]]",[],1j_Grossjean_2025
