,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,986,1a_Ghoteimi_2023,receptor_tmp,1,19,-9.96,-0.2429268292682927,0.0,0.0,4,185.55,-13.24,-12.47,-0.77,-13.24,0.0,-1.68,3.28,-1.68,62,4,0.0,0.0,0.0,7.839719,9.42511,12.242626,0.44055384,-0.8402964,-0.31593397,257.095825,"301.042084, 213.372696, 101.447113, 82.151009, 192.83606, 300.093994, 349.719299, 270.826233, 224.703903, 63.866501, 182.73024, ","[["" 129.326"", "" 123.651"", ""  63.242""], ["" 128.109"", "" 123.882"", ""  62.703""], ["" 130.302"", "" 123.203"", ""  62.641""], ["" 127.425"", "" 124.301"", ""  63.315""], ["" 129.463"", "" 123.996"", ""  64.725""], ["" 130.431"", "" 125.513"", ""  64.976""], ["" 129.394"", "" 126.613"", ""  65.913""], ["" 127.835"", "" 128.446"", ""  66.187""], ["" 128.621"", "" 127.639"", ""  65.330""], ["" 127.872"", "" 128.190"", ""  67.564""], ["" 128.635"", "" 127.870"", ""  63.882""], ["" 128.647"", "" 127.141"", ""  68.075""], ["" 128.646"", "" 128.052"", ""  62.739""], ["" 129.396"", "" 126.368"", ""  67.245""], ["" 126.961"", "" 129.561"", ""  65.711""], ["" 125.315"", "" 131.641"", ""  64.780""], ["" 126.658"", "" 131.878"", ""  65.069""], ["" 124.796"", "" 130.349"", ""  64.956""], ["" 127.476"", "" 130.848"", ""  65.527""], ["" 125.616"", "" 129.321"", ""  65.415""], ["" 124.582"", "" 132.721"", ""  64.330""], ["" 123.950"", "" 132.650"", ""  63.057""], ["" 128.718"", "" 126.820"", ""  69.540""], ["" 129.504"", "" 127.585"", ""  70.417""], ["" 128.005"", "" 125.738"", ""  70.078""], ["" 129.567"", "" 127.285"", ""  71.775""], ["" 128.065"", "" 125.436"", ""  71.434""], ["" 128.851"", "" 126.212"", ""  72.298""], ["" 128.971"", "" 125.989"", ""  73.657""], ["" 130.127"", "" 125.323"", ""  74.151""], ["" 127.649"", "" 123.668"", ""  61.389""], ["" 126.427"", "" 124.132"", ""  60.880""], ["" 128.506"", "" 122.946"", ""  60.558""], ["" 126.073"", "" 123.866"", ""  59.560""], ["" 128.151"", "" 122.681"", ""  59.237""], ["" 126.931"", "" 123.137"", ""  58.722""], ["" 126.580"", "" 122.837"", ""  57.293""], ["" 126.396"", "" 121.693"", ""  56.866""], ["" 126.490"", "" 123.948"", ""  56.519""], ["" 127.467"", "" 124.979"", ""  56.596""], ["" 128.578"", "" 124.703"", ""  55.578""]]",[],1a_Ghoteimi_2023
1,9037,1a_Grossjean_2025,receptor_tmp,1,17,-7.98,-0.29555555555555557,0.0,0.0,4,187.9,-10.07,-9.69,-0.38,-10.07,0.0,-1.7,2.09,-1.7,44,4,0.0,0.0,0.0,8.758937,8.749618,7.284394,-0.7680744,-0.3134854,0.55838036,258.477509,"127.065277, 84.575317, 175.065277, 288.470093, 45.350037, 234.338608, 261.640625, ","[["" 129.660"", "" 124.041"", ""  59.126""], ["" 128.965"", "" 122.904"", ""  59.538""], ["" 127.904"", "" 122.412"", ""  58.783""], ["" 127.518"", "" 123.049"", ""  57.597""], ["" 128.224"", "" 124.189"", ""  57.181""], ["" 129.285"", "" 124.681"", ""  57.934""], ["" 130.713"", "" 124.452"", ""  59.966""], ["" 132.044"", "" 124.477"", ""  59.741""], ["" 132.600"", "" 124.128"", ""  58.700""], ["" 130.408"", "" 124.807"", ""  60.860""], ["" 132.895"", "" 124.991"", ""  60.904""], ["" 133.080"", "" 123.750"", ""  62.220""], ["" 132.736"", "" 124.557"", ""  63.767""], ["" 131.324"", "" 125.654"", ""  65.402""], ["" 131.457"", "" 125.036"", ""  64.137""], ["" 132.451"", "" 125.783"", ""  66.222""], ["" 130.302"", "" 124.934"", ""  63.241""], ["" 133.677"", "" 125.303"", ""  65.767""], ["" 129.388"", "" 124.855"", ""  62.535""], ["" 133.826"", "" 124.705"", ""  64.562""], ["" 129.994"", "" 126.201"", ""  65.915""], ["" 134.936"", "" 125.422"", ""  66.605""], ["" 126.366"", "" 122.495"", ""  56.809""], ["" 126.507"", "" 121.791"", ""  55.805""], ["" 125.154"", "" 122.834"", ""  57.321""], ["" 124.803"", "" 124.194"", ""  57.538""], ["" 124.153"", "" 124.341"", ""  58.917""]]",[],1a_Grossjean_2025
2,1293,1aa_Ghoteimi_2023,receptor_tmp,1,6,-9.61,-0.234390243902439,0.0,0.0,5,185.61,-12.89,-11.99,-0.9,-12.89,0.0,-2.88,3.28,-2.88,56,8,0.0,0.0,0.0,6.173965,13.305418,12.682274,-0.46261206,-0.69347874,0.55233805,203.697693,"296.305511, 171.91954, 269.917572, 256.132538, 292.957703, 48.145638, 18.002279, 62.46912, 79.755295, 199.147934, 27.568073, ","[["" 124.904"", "" 129.711"", ""  65.256""], ["" 125.640"", "" 129.847"", ""  64.129""], ["" 123.693"", "" 129.919"", ""  65.335""], ["" 126.622"", "" 129.628"", ""  64.219""], ["" 125.641"", "" 129.263"", ""  66.528""], ["" 127.054"", "" 129.459"", ""  66.386""], ["" 127.941"", "" 128.453"", ""  66.738""], ["" 129.604"", "" 126.793"", ""  66.134""], ["" 128.710"", "" 127.819"", ""  65.747""], ["" 129.691"", "" 126.471"", ""  67.495""], ["" 128.584"", "" 128.254"", ""  64.356""], ["" 128.905"", "" 127.142"", ""  68.440""], ["" 128.036"", "" 128.113"", ""  68.053""], ["" 128.482"", "" 128.599"", ""  63.256""], ["" 130.461"", "" 126.033"", ""  65.176""], ["" 132.056"", "" 124.613"", ""  63.345""], ["" 130.667"", "" 124.493"", ""  63.316""], ["" 132.647"", "" 125.457"", ""  64.298""], ["" 129.875"", "" 125.197"", ""  64.219""], ["" 131.854"", "" 126.160"", ""  65.201""], ["" 132.759"", "" 123.878"", ""  62.412""], ["" 133.531"", "" 124.559"", ""  61.429""], ["" 128.948"", "" 126.826"", ""  69.907""], ["" 128.208"", "" 125.759"", ""  70.438""], ["" 129.734"", "" 127.582"", ""  70.792""], ["" 128.245"", "" 125.465"", ""  71.798""], ["" 129.773"", "" 127.291"", ""  72.153""], ["" 129.023"", "" 126.225"", ""  72.669""], ["" 128.997"", "" 125.861"", ""  74.001""], ["" 129.945"", "" 124.912"", ""  74.480""], ["" 125.258"", "" 130.239"", ""  62.833""], ["" 124.200"", "" 131.109"", ""  62.532""], ["" 126.020"", "" 129.704"", ""  61.793""], ["" 123.913"", "" 131.428"", ""  61.207""], ["" 125.733"", "" 130.024"", ""  60.470""], ["" 124.676"", "" 130.890"", ""  60.159""], ["" 124.391"", "" 131.215"", ""  58.721""], ["" 123.736"", "" 132.200"", ""  58.366""], ["" 124.925"", "" 130.318"", ""  57.852""], ["" 126.142"", "" 130.594"", ""  57.169""], ["" 125.878"", "" 130.650"", ""  55.661""]]",[],1aa_Ghoteimi_2023
3,623,1b_Ghoteimi_2023,receptor_tmp,1,4,-9.3,-0.26571428571428574,0.0,0.0,13,186.97,-11.69,-11.13,-0.56,-11.69,0.0,-2.18,2.39,-2.18,62,10,0.0,0.0,0.0,4.129882,14.826585,7.998081,0.14709619,0.85507655,-0.49719897,189.730652,"169.475815, 254.474228, 329.573181, 275.319427, 85.77932, 303.539062, 71.768517, 139.303375, ","[["" 127.107"", "" 130.380"", ""  62.953""], ["" 125.770"", "" 130.848"", ""  62.910""], ["" 124.840"", "" 130.547"", ""  64.002""], ["" 124.107"", "" 130.308"", ""  64.866""], ["" 125.387"", "" 131.660"", ""  61.819""], ["" 126.260"", "" 132.035"", ""  60.853""], ["" 127.545"", "" 131.595"", ""  60.891""], ["" 127.983"", "" 130.772"", ""  61.933""], ["" 127.642"", "" 129.496"", ""  64.031""], ["" 128.638"", "" 127.812"", ""  66.049""], ["" 128.900"", "" 127.539"", ""  64.706""], ["" 127.866"", "" 128.936"", ""  66.379""], ["" 128.406"", "" 128.371"", ""  63.706""], ["" 127.372"", "" 129.765"", ""  65.377""], ["" 129.169"", "" 126.932"", ""  66.973""], ["" 129.738"", "" 125.709"", ""  66.518""], ["" 123.752"", "" 132.330"", ""  61.596""], ["" 122.957"", "" 131.426"", ""  60.225""], ["" 123.774"", "" 131.364"", ""  58.927""], ["" 124.631"", "" 130.321"", ""  58.850""], ["" 123.627"", "" 132.217"", ""  58.049""], ["" 124.669"", "" 129.694"", ""  59.640""], ["" 125.492"", "" 130.016"", ""  57.802""], ["" 125.267"", "" 130.247"", ""  56.519""], ["" 126.732"", "" 129.407"", ""  57.989""], ["" 126.385"", "" 129.784"", ""  55.825""], ["" 127.263"", "" 129.280"", ""  56.726""], ["" 128.442"", "" 132.049"", ""  59.774""], ["" 127.910"", "" 132.478"", ""  58.549""], ["" 129.838"", "" 132.065"", ""  59.920""], ["" 128.738"", "" 132.901"", ""  57.513""], ["" 130.670"", "" 132.488"", ""  58.888""], ["" 130.122"", "" 132.911"", ""  57.669""], ["" 130.864"", "" 133.347"", ""  56.588""], ["" 131.631"", "" 132.405"", ""  55.848""]]",[],1b_Ghoteimi_2023
4,1243,1b_Grossjean_2025,receptor_tmp,1,6,-7.7,-0.29615384615384616,0.0,0.0,8,190.7,-9.49,-9.22,-0.28,-9.49,0.0,-1.95,1.79,-1.95,48,3,0.0,0.0,0.0,4.692106,16.138106,7.019367,0.65393037,-0.47498424,-0.5888676,164.435272,"67.28054, 105.725143, 342.880188, 253.364822, 18.827465, 309.286346, ","[["" 124.590"", "" 131.565"", ""  59.345""], ["" 125.932"", "" 131.430"", ""  59.418""], ["" 123.968"", "" 132.023"", ""  58.387""], ["" 126.291"", "" 131.043"", ""  60.279""], ["" 123.815"", "" 131.084"", ""  60.573""], ["" 123.737"", "" 132.352"", ""  61.874""], ["" 125.293"", "" 133.216"", ""  61.867""], ["" 126.710"", "" 135.178"", ""  61.787""], ["" 125.410"", "" 134.623"", ""  61.780""], ["" 127.815"", "" 134.328"", ""  61.890""], ["" 124.235"", "" 135.497"", ""  61.717""], ["" 127.606"", "" 132.954"", ""  61.993""], ["" 123.310"", "" 136.189"", ""  61.668""], ["" 126.371"", "" 132.401"", ""  61.988""], ["" 126.963"", "" 136.681"", ""  61.692""], ["" 128.764"", "" 131.981"", ""  62.117""], ["" 126.930"", "" 131.762"", ""  58.482""], ["" 127.975"", "" 132.548"", ""  58.968""], ["" 126.938"", "" 131.363"", ""  57.137""], ["" 129.017"", "" 132.935"", ""  58.130""], ["" 127.980"", "" 131.751"", ""  56.300""], ["" 129.032"", "" 132.540"", ""  56.784""], ["" 130.141"", "" 132.938"", ""  55.852""], ["" 130.029"", "" 132.924"", ""  54.622""], ["" 131.278"", "" 133.305"", ""  56.496""], ["" 132.107"", "" 132.338"", ""  57.124""]]",[],1b_Grossjean_2025
5,8038,1c_Ghoteimi_2023,receptor_tmp,1,18,-8.83,-0.2522857142857143,0.0,0.0,3,191.72,-11.21,-10.44,-0.77,-11.21,0.0,-1.45,2.39,-1.45,42,5,0.0,0.0,0.0,7.110764,10.159334,13.772179,-0.2104931,-0.78799639,-0.57857959,230.924698,"3.177043, 309.320557, 9.766223, 287.289368, 277.855072, 10.970258, 279.401215, 93.91465, ","[["" 129.726"", "" 126.127"", ""  66.514""], ["" 129.098"", "" 127.298"", ""  66.029""], ["" 129.067"", "" 127.601"", ""  64.594""], ["" 129.043"", "" 127.838"", ""  63.461""], ["" 128.489"", "" 128.159"", ""  66.965""], ["" 128.505"", "" 127.917"", ""  68.298""], ["" 129.143"", "" 126.815"", ""  68.773""], ["" 129.751"", "" 125.910"", ""  67.897""], ["" 130.336"", "" 125.087"", ""  65.635""], ["" 131.511"", "" 123.113"", ""  64.018""], ["" 130.335"", "" 122.846"", ""  64.717""], ["" 132.103"", "" 124.380"", ""  64.135""], ["" 129.753"", "" 123.821"", ""  65.521""], ["" 131.519"", "" 125.355"", ""  64.940""], ["" 132.017"", "" 122.085"", ""  63.245""], ["" 133.251"", "" 122.274"", ""  62.560""], ["" 127.521"", "" 129.573"", ""  66.485""], ["" 125.818"", "" 129.165"", ""  66.989""], ["" 124.794"", "" 129.516"", ""  65.904""], ["" 125.310"", "" 129.737"", ""  64.675""], ["" 123.603"", "" 129.616"", ""  66.201""], ["" 126.305"", "" 129.614"", ""  64.561""], ["" 124.632"", "" 130.214"", ""  63.565""], ["" 123.375"", "" 130.595"", ""  63.489""], ["" 125.541"", "" 130.387"", ""  62.099""], ["" 123.075"", "" 131.033"", ""  62.282""], ["" 124.106"", "" 131.016"", ""  61.347""], ["" 129.117"", "" 126.612"", ""  70.261""], ["" 128.427"", "" 125.536"", ""  70.839""], ["" 129.782"", "" 127.499"", ""  71.120""], ["" 128.409"", "" 125.349"", ""  72.219""], ["" 129.769"", "" 127.315"", ""  72.499""], ["" 129.079"", "" 126.232"", ""  73.061""], ["" 129.011"", "" 125.968"", ""  74.416""], ["" 130.099"", "" 125.307"", ""  75.052""]]",[],1c_Ghoteimi_2023
6,693,1c_Grossjean_2025,receptor_tmp,1,19,-7.08,-0.295,0.0,0.0,1,192.0,-8.57,-8.34,-0.23,-8.57,0.0,-1.0,1.49,-1.0,41,3,0.0,0.0,0.0,6.326451,15.953274,8.500273,-0.72078792,0.53948122,0.43522959,183.910477,"42.412067, 277.203552, 352.228699, 58.824902, 210.8685, ","[["" 129.644"", "" 131.833"", ""  62.155""], ["" 129.058"", "" 131.629"", ""  60.956""], ["" 130.679"", "" 132.472"", ""  62.344""], ["" 128.173"", "" 131.145"", ""  60.970""], ["" 128.925"", "" 131.207"", ""  63.352""], ["" 128.129"", "" 132.463"", ""  64.396""], ["" 127.003"", "" 133.403"", ""  63.385""], ["" 124.858"", "" 133.935"", ""  62.392""], ["" 125.631"", "" 133.094"", ""  63.227""], ["" 125.466"", "" 135.033"", ""  61.776""], ["" 124.999"", "" 131.971"", ""  63.924""], ["" 126.817"", "" 135.278"", ""  62.009""], ["" 124.500"", "" 131.084"", ""  64.473""], ["" 127.576"", "" 134.486"", ""  62.801""], ["" 123.371"", "" 133.697"", ""  62.136""], ["" 127.530"", "" 136.462"", ""  61.383""], ["" 129.466"", "" 132.054"", ""  59.677""], ["" 128.620"", "" 132.634"", ""  58.720""], ["" 130.822"", "" 131.894"", ""  59.386""], ["" 129.132"", "" 133.028"", ""  57.487""], ["" 131.330"", "" 132.290"", ""  58.152""], ["" 130.484"", "" 132.860"", ""  57.189""], ["" 130.896"", "" 133.281"", ""  55.939""], ["" 131.496"", "" 132.342"", ""  55.054""]]",[],1c_Grossjean_2025
7,8516,1d_Ghoteimi_2023,receptor_tmp,1,1,-8.39,-0.2796666666666667,0.0,0.0,10,192.06,-10.77,-9.95,-0.83,-10.77,0.0,-0.91,2.39,-0.91,46,9,0.0,0.0,0.0,7.51666,11.882515,13.936027,0.93235358,-0.24255725,-0.26810965,190.253952,"64.266739, 18.365011, 274.525391, 255.365479, 83.372772, 280.63028, 257.70285, 9.915877, ","[["" 131.303"", "" 125.739"", ""  65.723""], ["" 130.014"", "" 126.677"", ""  66.514""], ["" 128.137"", "" 128.212"", ""  66.577""], ["" 129.105"", "" 127.506"", ""  65.819""], ["" 128.108"", "" 128.021"", ""  67.964""], ["" 129.114"", "" 127.588"", ""  64.355""], ["" 129.014"", "" 127.152"", ""  68.584""], ["" 129.121"", "" 127.653"", ""  63.200""], ["" 129.954"", "" 126.499"", ""  67.855""], ["" 127.136"", "" 129.147"", ""  65.979""], ["" 125.241"", "" 130.904"", ""  64.871""], ["" 124.887"", "" 130.047"", ""  65.912""], ["" 126.560"", "" 130.886"", ""  64.389""], ["" 125.825"", "" 129.178"", ""  66.464""], ["" 127.495"", "" 130.017"", ""  64.944""], ["" 124.245"", "" 131.726"", ""  64.381""], ["" 123.794"", "" 131.550"", ""  63.042""], ["" 129.019"", "" 126.904"", ""  70.065""], ["" 128.361"", "" 125.795"", ""  70.620""], ["" 129.676"", "" 127.780"", ""  70.942""], ["" 128.361"", "" 125.571"", ""  71.993""], ["" 129.678"", "" 127.559"", ""  72.316""], ["" 129.016"", "" 126.447"", ""  72.855""], ["" 128.961"", "" 126.147"", ""  74.203""], ["" 130.029"", "" 125.414"", ""  74.794""], ["" 132.758"", "" 125.812"", ""  66.811""], ["" 133.911"", "" 125.128"", ""  66.082""], ["" 135.033"", "" 125.048"", ""  66.586""], ["" 133.542"", "" 124.647"", ""  64.876""], ["" 133.862"", "" 125.356"", ""  63.689""]]",[],1d_Ghoteimi_2023
8,924,1d_Grossjean_2025,receptor_tmp,1,17,-7.06,-0.32090909090909087,0.0,0.0,10,183.53,-8.25,-8.16,-0.08,-8.25,0.0,-1.68,1.19,-1.68,40,2,0.0,0.0,0.0,4.420837,10.133852,5.791371,-0.28291303,-0.04470394,-0.95810322,191.332794,"224.552475, 65.707611, 158.243256, 136.704224, ","[["" 125.625"", "" 123.720"", ""  58.781""], ["" 126.811"", "" 124.048"", ""  57.497""], ["" 127.796"", "" 123.782"", ""  55.300""], ["" 126.790"", "" 123.424"", ""  56.227""], ["" 128.770"", "" 124.714"", ""  55.674""], ["" 125.788"", "" 122.416"", ""  55.876""], ["" 128.729"", "" 125.261"", ""  56.954""], ["" 124.998"", "" 121.618"", ""  55.594""], ["" 127.774"", "" 124.935"", ""  57.856""], ["" 127.871"", "" 123.184"", ""  53.897""], ["" 129.763"", "" 126.267"", ""  57.422""], ["" 126.306"", "" 124.384"", ""  60.332""], ["" 127.311"", "" 123.428"", ""  60.976""], ["" 128.367"", "" 123.093"", ""  60.204""], ["" 127.099"", "" 123.012"", ""  62.115""], ["" 128.376"", "" 123.479"", ""  59.271""], ["" 129.467"", "" 122.263"", ""  60.491""], ["" 130.726"", "" 122.853"", ""  60.345""], ["" 129.373"", "" 120.928"", ""  60.920""], ["" 131.880"", "" 122.122"", ""  60.608""], ["" 130.529"", "" 120.199"", ""  61.185""], ["" 131.777"", "" 120.797"", ""  61.026""]]",[],1d_Grossjean_2025
9,3546,1e_Grossjean_2025,receptor_tmp,1,12,-7.4,-0.32173913043478264,0.0,0.0,2,188.46,-8.59,-8.31,-0.28,-8.59,0.0,-0.97,1.19,-0.97,37,6,0.0,0.0,0.0,3.117095,15.20655,7.276228,0.70989962,0.52258014,0.47217849,221.442719,"218.695877, 221.625717, 94.933174, 338.594269, ","[["" 123.357"", "" 131.428"", ""  60.926""], ["" 124.208"", "" 132.550"", ""  59.776""], ["" 125.595"", "" 133.286"", ""  60.618""], ["" 126.727"", "" 134.978"", ""  61.933""], ["" 125.544"", "" 134.522"", ""  61.307""], ["" 127.883"", "" 134.193"", ""  61.867""], ["" 124.310"", "" 135.304"", ""  61.417""], ["" 127.836"", "" 132.976"", ""  61.190""], ["" 123.337"", "" 135.923"", ""  61.505""], ["" 126.716"", "" 132.522"", ""  60.581""], ["" 126.799"", "" 136.300"", ""  62.696""], ["" 129.050"", "" 132.072"", ""  61.100""], ["" 123.962"", "" 131.481"", ""  62.330""], ["" 124.308"", "" 130.290"", ""  62.866""], ["" 124.079"", "" 132.570"", ""  62.894""], ["" 124.095"", "" 129.468"", ""  62.320""], ["" 124.868"", "" 130.028"", ""  64.129""], ["" 124.098"", "" 129.920"", ""  65.252""], ["" 126.262"", "" 129.906"", ""  64.181""], ["" 124.709"", "" 129.679"", ""  66.440""], ["" 126.875"", "" 129.657"", ""  65.411""], ["" 126.094"", "" 129.542"", ""  66.561""], ["" 123.792"", "" 129.570"", ""  67.643""]]",[],1e_Grossjean_2025
10,680,1f_Grossjean_2025,receptor_tmp,1,2,-6.71,-0.305,0.0,0.0,7,184.19,-7.9,-7.92,0.02,-7.9,0.0,-1.84,1.19,-1.84,45,4,0.0,0.0,0.0,2.803991,7.686743,6.979929,0.27464216,0.46283147,0.84282781,176.638306,"44.35833, 93.756721, 251.818512, 187.184753, ","[["" 125.463"", "" 124.523"", ""  61.532""], ["" 126.993"", "" 124.075"", ""  60.736""], ["" 128.915"", "" 124.428"", ""  59.305""], ["" 127.713"", "" 124.922"", ""  59.862""], ["" 129.352"", "" 123.145"", ""  59.649""], ["" 127.268"", "" 126.285"", ""  59.558""], ["" 128.594"", "" 122.389"", ""  60.540""], ["" 126.918"", "" 127.361"", ""  59.316""], ["" 127.439"", "" 122.841"", ""  61.082""], ["" 129.772"", "" 125.246"", ""  58.341""], ["" 129.021"", "" 120.996"", ""  60.963""], ["" 124.081"", "" 123.925"", ""  60.500""], ["" 124.351"", "" 123.934"", ""  58.988""], ["" 125.426"", "" 123.214"", ""  58.606""], ["" 123.603"", "" 124.546"", ""  58.224""], ["" 125.921"", "" 122.729"", ""  59.341""], ["" 125.961"", "" 123.012"", ""  57.319""], ["" 125.337"", "" 122.046"", ""  56.521""], ["" 127.071"", "" 123.688"", ""  56.778""], ["" 125.743"", "" 121.741"", ""  55.261""], ["" 127.500"", "" 123.385"", ""  55.483""], ["" 126.811"", "" 122.411"", ""  54.761""]]",[],1f_Grossjean_2025
11,10804,1g_Grossjean_2025,receptor_tmp,2,20,-7.34,-0.31913043478260866,0.0,0.0,6,183.76,-8.83,-8.64,-0.19,-8.83,0.0,-2.23,1.49,-2.23,24,4,0.0,0.0,0.0,3.555573,9.510848,5.54057,0.96294434,-0.14821026,0.22532626,193.866455,"76.452698, 96.300896, 156.49585, 336.351715, 344.778015, ","[["" 123.751"", "" 124.156"", ""  60.202""], ["" 123.879"", "" 123.879"", ""  58.410""], ["" 125.371"", "" 124.674"", ""  57.858""], ["" 127.435"", "" 124.829"", ""  56.601""], ["" 126.283"", "" 124.088"", ""  56.948""], ["" 127.620"", "" 126.103"", ""  57.147""], ["" 126.042"", "" 122.773"", ""  56.348""], ["" 126.657"", "" 126.613"", ""  58.016""], ["" 125.854"", "" 121.735"", ""  55.871""], ["" 125.548"", "" 125.920"", ""  58.365""], ["" 128.497"", "" 124.296"", ""  55.639""], ["" 126.792"", "" 127.995"", ""  58.628""], ["" 125.088"", "" 123.936"", ""  60.912""], ["" 125.917"", "" 124.994"", ""  60.960""], ["" 125.352"", "" 122.838"", ""  61.404""], ["" 125.628"", "" 125.852"", ""  60.512""], ["" 127.262"", "" 124.992"", ""  61.536""], ["" 128.090"", "" 123.758"", ""  61.192""], ["" 128.936"", "" 123.195"", ""  62.154""], ["" 127.996"", "" 123.185"", ""  59.921""], ["" 129.691"", "" 122.068"", ""  61.841""], ["" 128.750"", "" 122.057"", ""  59.610""], ["" 129.594"", "" 121.504"", ""  60.570""]]",[],1g_Grossjean_2025
12,3717,1h_Grossjean_2025,receptor_tmp,1,16,-7.21,-0.24862068965517242,0.0,0.0,5,189.58,-9.6,-9.18,-0.42,-9.6,0.0,-1.69,2.39,-1.69,49,6,0.0,0.0,0.0,3.061347,16.129784,6.063403,0.65193211,-0.6084301,-0.4525454,282.669098,"97.402336, 92.529541, 220.921219, 264.564178, 59.838013, 174.120819, 288.336182, 47.972073, ","[["" 124.230"", "" 131.485"", ""  58.932""], ["" 125.383"", "" 130.898"", ""  58.563""], ["" 123.625"", "" 132.299"", ""  58.235""], ["" 125.821"", "" 130.251"", ""  59.203""], ["" 123.678"", "" 131.099"", ""  60.304""], ["" 123.463"", "" 132.547"", ""  61.383""], ["" 125.035"", "" 132.903"", ""  62.152""], ["" 126.745"", "" 132.556"", ""  63.835""], ["" 125.488"", "" 132.201"", ""  63.293""], ["" 127.486"", "" 133.575"", ""  63.228""], ["" 124.690"", "" 131.135"", ""  63.906""], ["" 126.965"", "" 134.214"", ""  62.105""], ["" 124.061"", "" 130.293"", ""  64.390""], ["" 125.765"", "" 133.890"", ""  61.570""], ["" 127.332"", "" 131.870"", ""  65.066""], ["" 127.719"", "" 135.328"", ""  61.403""], ["" 126.099"", "" 131.153"", ""  57.313""], ["" 127.491"", "" 131.747"", ""  57.506""], ["" 128.246"", "" 132.141"", ""  56.401""], ["" 128.038"", "" 131.847"", ""  58.786""], ["" 129.536"", "" 132.671"", ""  56.563""], ["" 129.328"", "" 132.367"", ""  58.977""], ["" 130.063"", "" 132.786"", ""  57.859""], ["" 130.335"", "" 133.094"", ""  55.517""], ["" 131.288"", "" 132.196"", ""  54.959""], ["" 129.932"", "" 132.497"", ""  60.215""], ["" 130.142"", "" 131.338"", ""  61.016""], ["" 131.328"", "" 133.292"", ""  58.030""], ["" 132.343"", "" 132.300"", ""  58.097""]]",[],1h_Grossjean_2025
13,5812,1i_Grossjean_2025,receptor_tmp,1,3,-6.7,-0.3190476190476191,0.0,0.0,3,183.28,-7.89,-7.78,-0.11,-7.89,0.0,-1.53,1.19,-1.53,41,4,0.0,0.0,0.0,6.883861,8.916735,4.80748,0.936665,0.34457518,0.06266278,96.391304,"334.318237, 25.966385, 168.48439, 232.499268, ","[["" 128.582"", "" 125.078"", ""  60.186""], ["" 126.839"", "" 124.728"", ""  60.108""], ["" 124.650"", "" 124.711"", ""  59.072""], ["" 126.022"", "" 125.048"", ""  58.998""], ["" 124.156"", "" 124.100"", ""  60.230""], ["" 126.549"", "" 125.733"", ""  57.816""], ["" 125.029"", "" 123.845"", ""  61.285""], ["" 126.963"", "" 126.276"", ""  56.881""], ["" 126.347"", "" 124.154"", ""  61.234""], ["" 123.670"", "" 124.997"", ""  57.935""], ["" 124.553"", "" 123.195"", ""  62.570""], ["" 129.455"", "" 123.709"", ""  59.368""], ["" 128.510"", "" 122.838"", ""  58.537""], ["" 128.032"", "" 123.409"", ""  57.410""], ["" 128.238"", "" 121.701"", ""  58.926""], ["" 128.358"", "" 124.339"", ""  57.188""], ["" 127.170"", "" 122.844"", ""  56.481""], ["" 126.237"", "" 121.941"", ""  56.736""], ["" 127.185"", "" 123.176"", ""  55.128""], ["" 125.611"", "" 121.656"", ""  55.521""], ["" 126.194"", "" 122.410"", ""  54.560""]]",[],1i_Grossjean_2025
14,8478,1j_Grossjean_2025,receptor_tmp,1,5,-6.65,-0.3166666666666667,0.0,0.0,10,183.05,-7.85,-7.76,-0.09,-7.85,0.0,-1.61,1.19,-1.61,29,4,0.0,0.0,0.0,2.453815,10.112263,5.725491,0.13305161,-0.09329244,0.98670856,176.055496,"194.477966, 323.141663, 147.940247, 155.105499, ","[["" 123.819"", "" 124.033"", ""  58.363""], ["" 125.318"", "" 124.647"", ""  57.626""], ["" 127.217"", "" 124.567"", ""  56.125""], ["" 126.042"", "" 123.960"", ""  56.623""], ["" 127.625"", "" 125.798"", ""  56.648""], ["" 125.625"", "" 122.646"", ""  56.127""], ["" 126.865"", "" 126.391"", ""  57.653""], ["" 125.299"", "" 121.607"", ""  55.734""], ["" 125.734"", "" 125.831"", ""  58.142""], ["" 128.077"", "" 123.927"", ""  55.035""], ["" 127.263"", "" 127.719"", ""  58.271""], ["" 123.935"", "" 124.301"", ""  60.157""], ["" 125.098"", "" 123.527"", ""  60.779""], ["" 126.297"", "" 123.695"", ""  60.179""], ["" 124.892"", "" 122.812"", ""  61.760""], ["" 126.342"", "" 124.329"", ""  59.394""], ["" 127.500"", "" 123.112"", ""  60.553""], ["" 127.898"", "" 122.791"", ""  61.766""], ["" 128.630"", "" 122.748"", ""  59.290""], ["" 129.101"", "" 122.253"", ""  61.752""], ["" 129.706"", "" 122.126"", ""  60.505""]]",[],1j_Grossjean_2025
