,Pose_ID,LigName,receptor,pose_rank,run_number,docking_score,leff,deltas,cluster_rmsd,cluster_size,reference_rmsd,energies_inter,energies_vdw,energies_electro,energies_flexLig,energies_flexLR,energies_intra,energies_torsional,unbound_energy,nr_interactions,num_hb,about_x,about_y,about_z,trans_x,trans_y,trans_z,axisangle_x,axisangle_y,axisangle_z,axisangle_w,dihedrals,ligand_coordinates,flexible_res_coordinates,LigName:1
0,10455,1a_Ghoteimi_2023,receptor_tmp,1,7,-8.56,-0.20878048780487807,0.0,0.0,2,185.67,-11.84,-11.26,-0.58,-11.84,0.0,-2.91,3.28,-2.91,37,9,0.0,0.0,0.0,3.599444,10.156119,5.592388,0.08947405,0.92304571,0.37414035,304.393799,"22.447666, 29.959618, 161.166565, 65.390808, 94.466522, 101.049042, 130.688004, 69.136841, 202.405121, 65.933266, 31.105524, ","[["" 127.024"", "" 124.294"", ""  60.588""], ["" 128.107"", "" 125.094"", ""  60.698""], ["" 126.807"", "" 123.285"", ""  61.259""], ["" 128.114"", "" 125.914"", ""  60.110""], ["" 126.000"", "" 124.715"", ""  59.533""], ["" 126.799"", "" 125.459"", ""  58.080""], ["" 127.293"", "" 127.095"", ""  58.570""], ["" 128.530"", "" 129.166"", ""  58.345""], ["" 128.222"", "" 127.877"", ""  57.849""], ["" 127.906"", "" 129.594"", ""  59.525""], ["" 128.854"", "" 127.368"", ""  56.628""], ["" 126.979"", "" 128.774"", ""  60.180""], ["" 129.354"", "" 126.967"", ""  55.664""], ["" 126.685"", "" 127.539"", ""  59.696""], ["" 129.484"", "" 130.107"", ""  57.683""], ["" 131.282"", "" 131.896"", ""  56.471""], ["" 129.931"", "" 131.908"", ""  56.125""], ["" 131.731"", "" 130.982"", ""  57.437""], ["" 129.038"", "" 131.025"", ""  56.726""], ["" 130.836"", "" 130.099"", ""  58.037""], ["" 132.091"", "" 132.808"", ""  55.824""], ["" 133.490"", "" 132.559"", ""  55.742""], ["" 126.279"", "" 129.186"", ""  61.443""], ["" 126.776"", "" 128.821"", ""  62.705""], ["" 125.099"", "" 129.944"", ""  61.401""], ["" 126.125"", "" 129.205"", ""  63.874""], ["" 124.446"", "" 130.330"", ""  62.567""], ["" 124.957"", "" 129.962"", ""  63.820""], ["" 124.380"", "" 130.299"", ""  65.029""], ["" 124.718"", "" 129.551"", ""  66.192""], ["" 129.224"", "" 124.987"", ""  61.548""], ["" 129.860"", "" 123.784"", ""  61.892""], ["" 129.715"", "" 126.189"", ""  62.057""], ["" 130.965"", "" 123.794"", ""  62.739""], ["" 130.820"", "" 126.198"", ""  62.905""], ["" 131.458"", "" 125.001"", ""  63.256""], ["" 132.649"", "" 125.046"", ""  64.170""], ["" 132.583"", "" 125.389"", ""  65.354""], ["" 133.805"", "" 124.677"", ""  63.561""], ["" 133.946"", "" 124.746"", ""  62.147""], ["" 134.015"", "" 123.327"", ""  61.574""]]",[],1a_Ghoteimi_2023
1,1201,1a_Grossjean_2025,receptor_tmp,1,6,-8.35,-0.30925925925925923,0.0,0.0,6,186.88,-10.44,-10.26,-0.18,-10.44,0.0,-0.94,2.09,-0.94,42,6,0.0,0.0,0.0,5.281655,11.269339,1.653989,0.97391491,-0.11779971,-0.19394065,218.810013,"289.644135, 303.766937, 356.218475, 294.524719, 350.462585, 85.173073, 62.914154, ","[["" 128.219"", "" 128.007"", ""  55.310""], ["" 127.600"", "" 129.092"", ""  54.689""], ["" 128.050"", "" 130.389"", ""  54.919""], ["" 129.134"", "" 130.625"", ""  55.775""], ["" 129.760"", "" 129.530"", ""  56.392""], ["" 129.310"", "" 128.233"", ""  56.162""], ["" 127.679"", "" 126.741"", ""  55.007""], ["" 128.258"", "" 125.665"", ""  54.432""], ["" 129.427"", "" 125.600"", ""  54.052""], ["" 126.720"", "" 126.626"", ""  55.298""], ["" 127.348"", "" 124.447"", ""  54.258""], ["" 127.664"", "" 123.170"", ""  55.513""], ["" 126.668"", "" 123.560"", ""  56.934""], ["" 126.269"", "" 123.952"", ""  59.291""], ["" 127.173"", "" 123.626"", ""  58.254""], ["" 124.923"", "" 124.177"", ""  58.979""], ["" 128.577"", "" 123.338"", ""  58.563""], ["" 124.508"", "" 124.068"", ""  57.654""], ["" 129.684"", "" 123.111"", ""  58.809""], ["" 125.357"", "" 123.760"", ""  56.645""], ["" 126.698"", "" 124.062"", ""  60.752""], ["" 123.062"", "" 124.290"", ""  57.254""], ["" 129.592"", "" 132.036"", ""  56.005""], ["" 128.874"", "" 132.910"", ""  56.501""], ["" 130.879"", "" 132.252"", ""  55.628""], ["" 131.945"", "" 132.142"", ""  56.561""], ["" 133.283"", "" 132.195"", ""  55.817""]]",[],1a_Grossjean_2025
2,10575,1aa_Ghoteimi_2023,receptor_tmp,1,2,-7.66,-0.18682926829268293,0.0,0.0,4,184.49,-10.94,-10.53,-0.41,-10.94,0.0,-2.84,3.28,-2.84,40,10,0.0,0.0,0.0,4.859706,11.255297,5.239655,-0.18669679,-0.625402,-0.75763886,35.762287,"14.600883, 329.60202, 327.792053, 66.868706, 330.842346, 108.39006, 34.633766, 284.224365, 97.049561, 247.897079, 47.942528, ","[["" 127.404"", "" 124.363"", ""  59.906""], ["" 128.393"", "" 125.244"", ""  60.182""], ["" 127.419"", "" 123.171"", ""  60.210""], ["" 128.230"", "" 126.194"", ""  59.878""], ["" 126.173"", "" 124.899"", ""  59.158""], ["" 126.556"", "" 125.921"", ""  58.228""], ["" 126.934"", "" 127.177"", ""  58.682""], ["" 128.215"", "" 129.220"", ""  58.424""], ["" 127.843"", "" 127.946"", ""  57.936""], ["" 127.641"", "" 129.661"", ""  59.625""], ["" 128.356"", "" 127.420"", ""  56.670""], ["" 126.734"", "" 128.854"", ""  60.322""], ["" 126.399"", "" 127.623"", ""  59.852""], ["" 128.761"", "" 127.002"", ""  55.670""], ["" 129.184"", "" 130.124"", ""  57.735""], ["" 130.989"", "" 131.851"", ""  56.445""], ["" 129.622"", "" 131.934"", ""  56.185""], ["" 131.452"", "" 130.897"", ""  57.363""], ["" 128.726"", "" 131.082"", ""  56.825""], ["" 130.555"", "" 130.045"", ""  58.001""], ["" 131.802"", "" 132.737"", ""  55.764""], ["" 133.206"", "" 132.507"", ""  55.732""], ["" 126.102"", "" 129.272"", ""  61.618""], ["" 124.909"", "" 130.009"", ""  61.636""], ["" 126.682"", "" 128.934"", ""  62.853""], ["" 124.323"", "" 130.399"", ""  62.837""], ["" 126.098"", "" 129.323"", ""  64.055""], ["" 124.908"", "" 130.064"", ""  64.056""], ["" 124.256"", "" 130.494"", ""  65.195""], ["" 124.325"", "" 129.701"", ""  66.375""], ["" 129.624"", "" 125.056"", ""  60.838""], ["" 130.551"", "" 124.046"", ""  60.541""], ["" 129.910"", "" 125.970"", ""  61.853""], ["" 131.742"", "" 123.957"", ""  61.259""], ["" 131.100"", "" 125.881"", ""  62.568""], ["" 132.031"", "" 124.874"", ""  62.281""], ["" 133.305"", "" 124.804"", ""  63.073""], ["" 134.417"", "" 125.040"", ""  62.589""], ["" 133.113"", "" 124.456"", ""  64.371""], ["" 132.736"", "" 125.424"", ""  65.342""], ["" 131.253"", "" 125.255"", ""  65.682""]]",[],1aa_Ghoteimi_2023
3,10114,1b_Ghoteimi_2023,receptor_tmp,1,4,-8.96,-0.256,0.0,0.0,3,185.8,-11.34,-10.84,-0.5,-11.34,0.0,-2.11,2.39,-2.11,41,10,0.0,0.0,0.0,4.117517,12.829559,3.783728,0.49911549,0.50273751,-0.70578943,166.89682,"181.712753, 284.490417, 10.741345, 258.299042, 80.222397, 201.628159, 217.404373, 322.161102, ","[["" 126.213"", "" 129.390"", ""  59.064""], ["" 125.538"", "" 129.828"", ""  57.898""], ["" 124.363"", "" 130.699"", ""  58.001""], ["" 123.435"", "" 131.386"", ""  58.084""], ["" 126.068"", "" 129.452"", ""  56.644""], ["" 127.211"", "" 128.734"", ""  56.527""], ["" 127.868"", "" 128.316"", ""  57.640""], ["" 127.384"", "" 128.637"", ""  58.913""], ["" 125.752"", "" 129.691"", ""  60.452""], ["" 124.877"", "" 130.233"", ""  63.068""], ["" 125.817"", "" 129.230"", ""  62.830""], ["" 124.370"", "" 130.965"", ""  61.984""], ["" 126.249"", "" 128.959"", ""  61.535""], ["" 124.804"", "" 130.691"", ""  60.691""], ["" 124.506"", "" 130.431"", ""  64.385""], ["" 125.117"", "" 129.646"", ""  65.403""], ["" 125.351"", "" 129.904"", ""  55.078""], ["" 126.699"", "" 130.018"", ""  53.854""], ["" 127.814"", "" 131.013"", ""  54.207""], ["" 128.609"", "" 130.630"", ""  55.231""], ["" 127.940"", "" 132.066"", ""  53.578""], ["" 128.398"", "" 129.748"", ""  55.675""], ["" 129.688"", "" 131.325"", ""  55.764""], ["" 130.036"", "" 132.566"", ""  55.466""], ["" 130.558"", "" 130.775"", ""  56.704""], ["" 131.169"", "" 132.860"", ""  56.226""], ["" 131.472"", "" 131.769"", ""  56.970""], ["" 129.121"", "" 127.515"", ""  57.419""], ["" 130.074"", "" 127.372"", ""  58.438""], ["" 129.374"", "" 126.881"", ""  56.193""], ["" 131.234"", "" 126.630"", ""  58.238""], ["" 130.532"", "" 126.136"", ""  55.990""], ["" 131.477"", "" 126.005"", ""  57.016""], ["" 132.653"", "" 125.289"", ""  56.909""], ["" 133.128"", "" 124.562"", ""  58.037""]]",[],1b_Ghoteimi_2023
4,10572,1b_Grossjean_2025,receptor_tmp,1,17,-7.99,-0.30730769230769234,0.0,0.0,8,186.45,-9.78,-9.57,-0.21,-9.78,0.0,-0.93,1.79,-0.93,36,5,0.0,0.0,0.0,5.970715,11.249257,0.375572,-0.8356843,0.24791963,-0.49006898,195.355927,"193.452194, 232.193573, 153.268692, 102.137154, 260.734344, 298.774628, ","[["" 129.144"", "" 125.848"", ""  54.033""], ["" 128.430"", "" 126.864"", ""  54.565""], ["" 130.359"", "" 125.852"", ""  53.841""], ["" 127.436"", "" 126.709"", ""  54.651""], ["" 128.335"", "" 124.604"", ""  53.662""], ["" 128.601"", "" 123.239"", ""  54.834""], ["" 127.383"", "" 123.401"", ""  56.122""], ["" 126.613"", "" 123.928"", ""  58.355""], ["" 127.679"", "" 123.845"", ""  57.432""], ["" 125.322"", "" 123.585"", ""  57.943""], ["" 129.032"", "" 124.242"", ""  57.829""], ["" 125.118"", "" 123.178"", ""  56.626""], ["" 130.100"", "" 124.556"", ""  58.146""], ["" 126.124"", "" 123.090"", ""  55.725""], ["" 126.809"", "" 124.387"", ""  59.799""], ["" 123.739"", "" 122.801"", ""  56.115""], ["" 128.850"", "" 128.131"", ""  55.014""], ["" 128.307"", "" 129.222"", ""  54.334""], ["" 129.749"", "" 128.356"", ""  56.067""], ["" 128.652"", "" 130.521"", ""  54.694""], ["" 130.093"", "" 129.656"", ""  56.426""], ["" 129.550"", "" 130.754"", ""  55.746""], ["" 129.943"", "" 132.143"", ""  56.163""], ["" 129.253"", "" 132.849"", ""  56.905""], ["" 131.127"", "" 132.546"", ""  55.635""], ["" 132.361"", "" 132.095"", ""  56.178""]]",[],1b_Grossjean_2025
5,969,1c_Ghoteimi_2023,receptor_tmp,1,13,-7.78,-0.22228571428571428,0.0,0.0,5,190.12,-10.17,-9.96,-0.2,-10.17,0.0,-2.02,2.39,-2.02,42,4,0.0,0.0,0.0,5.464076,11.961291,3.500952,0.11598586,-0.93060733,-0.34715599,285.858978,"243.769699, 142.68428, 236.975464, 307.344788, 109.594116, 111.983223, 171.927628, 241.295853, ","[["" 128.238"", "" 127.309"", ""  57.405""], ["" 128.766"", "" 127.845"", ""  56.208""], ["" 129.723"", "" 127.086"", ""  55.395""], ["" 130.477"", "" 126.485"", ""  54.755""], ["" 128.334"", "" 129.128"", ""  55.811""], ["" 127.460"", "" 129.862"", ""  56.540""], ["" 126.981"", "" 129.368"", ""  57.712""], ["" 127.354"", "" 128.094"", ""  58.155""], ["" 128.540"", "" 125.934"", ""  57.903""], ["" 129.131"", "" 123.338"", ""  58.798""], ["" 130.002"", "" 124.393"", ""  59.067""], ["" 127.957"", "" 123.588"", ""  58.071""], ["" 129.712"", "" 125.679"", ""  58.622""], ["" 127.669"", "" 124.876"", ""  57.627""], ["" 129.500"", "" 122.095"", ""  59.278""], ["" 129.600"", "" 121.896"", ""  60.684""], ["" 128.783"", "" 129.854"", ""  54.249""], ["" 128.918"", "" 131.639"", ""  54.587""], ["" 129.911"", "" 131.941"", ""  55.715""], ["" 130.996"", "" 131.136"", ""  55.758""], ["" 129.662"", "" 132.839"", ""  56.520""], ["" 131.087"", "" 130.441"", ""  55.032""], ["" 131.958"", "" 131.095"", ""  56.754""], ["" 133.266"", "" 131.140"", ""  56.617""], ["" 131.393"", "" 131.022"", ""  58.392""], ["" 133.875"", "" 131.119"", ""  57.787""], ["" 133.053"", "" 131.057"", ""  58.908""], ["" 126.015"", "" 130.238"", ""  58.463""], ["" 126.433"", "" 131.027"", ""  59.546""], ["" 124.660"", "" 130.285"", ""  58.106""], ["" 125.536"", "" 131.836"", ""  60.237""], ["" 123.759"", "" 131.093"", ""  58.793""], ["" 124.194"", "" 131.879"", ""  59.869""], ["" 123.374"", "" 132.711"", ""  60.609""], ["" 123.886"", "" 133.323"", ""  61.788""]]",[],1c_Ghoteimi_2023
6,10057,1c_Grossjean_2025,receptor_tmp,1,11,-6.8,-0.2833333333333333,0.0,0.0,8,189.4,-8.3,-8.15,-0.15,-8.3,0.0,-1.98,1.49,-1.98,31,5,0.0,0.0,0.0,6.545795,14.81965,1.877369,0.21560337,-0.43662217,0.87342789,137.802032,"186.531387, 275.661591, 36.791916, 11.284741, 109.951614, ","[["" 129.149"", "" 131.956"", ""  55.247""], ["" 128.699"", "" 131.509"", ""  56.439""], ["" 130.223"", "" 132.527"", ""  55.057""], ["" 127.830"", "" 130.996"", ""  56.423""], ["" 128.218"", "" 131.705"", ""  54.059""], ["" 127.991"", "" 129.930"", ""  53.740""], ["" 127.408"", "" 129.160"", ""  55.236""], ["" 127.474"", "" 127.570"", ""  57.063""], ["" 128.054"", "" 128.077"", ""  55.876""], ["" 126.308"", "" 128.160"", ""  57.559""], ["" 129.306"", "" 127.508"", ""  55.371""], ["" 125.752"", "" 129.240"", ""  56.878""], ["" 130.294"", "" 127.057"", ""  54.972""], ["" 126.289"", "" 129.740"", ""  55.740""], ["" 128.074"", "" 126.398"", ""  57.837""], ["" 124.497"", "" 129.934"", ""  57.375""], ["" 129.300"", "" 131.593"", ""  57.710""], ["" 128.694"", "" 132.157"", ""  58.843""], ["" 130.577"", "" 131.042"", ""  57.818""], ["" 129.374"", "" 132.179"", ""  60.057""], ["" 131.254"", "" 131.066"", ""  59.035""], ["" 130.656"", "" 131.640"", ""  60.167""], ["" 131.250"", "" 131.710"", ""  61.412""], ["" 132.634"", "" 131.404"", ""  61.539""]]",[],1c_Grossjean_2025
7,884,1d_Ghoteimi_2023,receptor_tmp,1,1,-7.57,-0.25233333333333335,0.0,0.0,8,188.92,-9.96,-9.43,-0.53,-9.96,0.0,-1.08,2.39,-1.08,30,5,0.0,0.0,0.0,8.638548,10.204673,5.372202,-0.2495878,0.80547926,-0.53750264,123.727615,"164.797821, 135.113297, 12.59936, 155.771408, 29.797007, 224.61882, 81.857864, 340.698792, ","[["" 128.551"", "" 123.627"", ""  56.897""], ["" 129.500"", "" 124.778"", ""  57.866""], ["" 130.890"", "" 125.454"", ""  59.736""], ["" 130.186"", "" 124.432"", ""  59.052""], ["" 130.903"", "" 126.740"", ""  59.180""], ["" 130.225"", "" 123.047"", ""  59.533""], ["" 130.236"", "" 127.005"", ""  57.979""], ["" 130.256"", "" 121.955"", ""  59.912""], ["" 129.542"", "" 126.027"", ""  57.343""], ["" 131.630"", "" 125.239"", ""  61.017""], ["" 133.005"", "" 124.837"", ""  63.436""], ["" 131.756"", "" 125.456"", ""  63.427""], ["" 133.563"", "" 124.407"", ""  62.222""], ["" 131.072"", "" 125.654"", ""  62.230""], ["" 132.877"", "" 124.605"", ""  61.027""], ["" 133.612"", "" 124.689"", ""  64.668""], ["" 133.113"", "" 125.422"", ""  65.782""], ["" 130.226"", "" 128.362"", ""  57.336""], ["" 130.843"", "" 129.464"", ""  57.951""], ["" 129.593"", "" 128.573"", ""  56.102""], ["" 130.828"", "" 130.722"", ""  57.356""], ["" 129.575"", "" 129.830"", ""  55.505""], ["" 130.195"", "" 130.920"", ""  56.131""], ["" 130.227"", "" 132.202"", ""  55.618""], ["" 129.374"", "" 132.534"", ""  54.528""], ["" 126.865"", "" 123.624"", ""  57.576""], ["" 125.925"", "" 123.154"", ""  56.469""], ["" 126.354"", "" 122.800"", ""  55.370""], ["" 124.631"", "" 123.177"", ""  56.851""], ["" 124.105"", "" 124.297"", ""  57.547""]]",[],1d_Ghoteimi_2023
8,10816,1d_Grossjean_2025,receptor_tmp,1,20,-8.39,-0.3813636363636364,0.0,0.0,3,191.92,-9.58,-9.31,-0.28,-9.58,0.0,-0.44,1.19,-0.44,50,3,0.0,0.0,0.0,7.906432,11.495064,20.556294,0.55987535,0.66140121,-0.49908721,220.021606,"268.240509, 0.627626, 310.235565, 338.773376, ","[["" 130.765"", "" 126.864"", ""  72.394""], ["" 131.255"", "" 125.410"", ""  73.294""], ["" 132.712"", "" 124.097"", ""  74.715""], ["" 132.448"", "" 125.316"", ""  74.048""], ["" 131.804"", "" 123.040"", ""  74.592""], ["" 133.407"", "" 126.420"", ""  74.123""], ["" 130.665"", "" 123.212"", ""  73.808""], ["" 134.168"", "" 127.290"", ""  74.185""], ["" 130.391"", "" 124.371"", ""  73.164""], ["" 133.960"", "" 123.879"", ""  75.567""], ["" 129.649"", "" 122.101"", ""  73.627""], ["" 128.948"", "" 126.875"", ""  72.327""], ["" 128.355"", "" 128.128"", ""  72.974""], ["" 127.133"", "" 127.969"", ""  73.528""], ["" 128.991"", "" 129.182"", ""  72.937""], ["" 126.719"", "" 127.053"", ""  73.435""], ["" 126.325"", "" 128.898"", ""  74.209""], ["" 125.027"", "" 128.470"", ""  74.503""], ["" 126.741"", "" 130.177"", ""  74.615""], ["" 124.146"", "" 129.309"", ""  75.179""], ["" 125.858"", "" 131.014"", ""  75.293""], ["" 124.565"", "" 130.578"", ""  75.571""]]",[],1d_Grossjean_2025
9,11314,1e_Grossjean_2025,receptor_tmp,1,13,-7.16,-0.31130434782608696,0.0,0.0,1,195.56,-8.35,-7.93,-0.42,-8.35,0.0,-0.65,1.19,-0.65,33,4,0.0,0.0,0.0,8.323251,18.306729,19.444293,-0.23852575,-0.03427507,-0.97053113,110.007141,"359.466431, 278.669617, 344.381897, 221.060806, ","[["" 128.556"", "" 134.333"", ""  73.367""], ["" 129.679"", "" 135.106"", ""  74.570""], ["" 131.342"", "" 134.565"", ""  74.228""], ["" 133.266"", "" 134.116"", ""  72.826""], ["" 131.933"", "" 134.572"", ""  72.942""], ["" 133.949"", "" 133.699"", ""  73.973""], ["" 131.224"", "" 135.067"", ""  71.760""], ["" 133.300"", "" 133.750"", ""  75.204""], ["" 130.665"", "" 135.458"", ""  70.825""], ["" 132.023"", "" 134.180"", ""  75.338""], ["" 134.007"", "" 134.067"", ""  71.491""], ["" 133.993"", "" 133.330"", ""  76.485""], ["" 128.570"", "" 132.807"", ""  73.469""], ["" 127.415"", "" 132.234"", ""  73.872""], ["" 129.608"", "" 132.196"", ""  73.210""], ["" 126.661"", "" 132.859"", ""  74.117""], ["" 127.136"", "" 130.870"", ""  74.069""], ["" 127.799"", "" 129.891"", ""  73.386""], ["" 126.123"", "" 130.567"", ""  74.987""], ["" 127.467"", "" 128.596"", ""  73.618""], ["" 125.794"", "" 129.229"", ""  75.216""], ["" 126.471"", "" 128.224"", ""  74.525""], ["" 128.246"", "" 127.563"", ""  72.826""]]",[],1e_Grossjean_2025
10,11016,1f_Grossjean_2025,receptor_tmp,1,16,-8.01,-0.3640909090909091,0.0,0.0,2,193.55,-9.21,-9.0,-0.21,-9.21,0.0,-0.44,1.19,-0.44,53,4,0.0,0.0,0.0,7.358082,11.262139,19.325898,0.45744484,0.86026506,0.22514048,125.217995,"161.409988, 338.703033, 48.757282, 339.048859, ","[["" 130.725"", "" 126.911"", ""  72.250""], ["" 131.198"", "" 125.437"", ""  73.132""], ["" 132.625"", "" 124.080"", ""  74.543""], ["" 132.382"", "" 125.314"", ""  73.896""], ["" 131.689"", "" 123.048"", ""  74.421""], ["" 133.324"", "" 126.425"", ""  74.058""], ["" 130.536"", "" 123.266"", ""  73.671""], ["" 134.068"", "" 127.301"", ""  74.187""], ["" 130.285"", "" 124.437"", ""  73.041""], ["" 133.873"", "" 123.823"", ""  75.385""], ["" 129.476"", "" 122.191"", ""  73.512""], ["" 128.902"", "" 127.003"", ""  72.219""], ["" 128.306"", "" 128.241"", ""  72.906""], ["" 127.128"", "" 128.024"", ""  73.530""], ["" 128.904"", "" 129.317"", ""  72.883""], ["" 126.777"", "" 127.077"", ""  73.500""], ["" 126.310"", "" 128.921"", ""  74.243""], ["" 124.996"", "" 128.511"", ""  74.494""], ["" 126.699"", "" 130.190"", ""  74.710""], ["" 124.091"", "" 129.269"", ""  75.167""], ["" 125.779"", "" 130.982"", ""  75.404""], ["" 124.492"", "" 130.487"", ""  75.611""]]",[],1f_Grossjean_2025
11,887,1g_Grossjean_2025,receptor_tmp,1,1,-7.99,-0.3473913043478261,0.0,0.0,2,190.03,-9.48,-9.2,-0.29,-9.48,0.0,-1.24,1.49,-1.24,41,3,0.0,0.0,0.0,7.860114,15.401838,3.08919,0.46539155,0.80438574,-0.36928889,294.33902,"191.346893, 78.728065, 302.65802, 14.999454, 49.666542, ","[["" 130.574"", "" 131.169"", ""  54.966""], ["" 128.903"", "" 131.884"", ""  54.970""], ["" 128.154"", "" 131.468"", ""  56.529""], ["" 126.600"", "" 130.297"", ""  57.970""], ["" 127.108"", "" 130.525"", ""  56.671""], ["" 127.153"", "" 130.988"", ""  59.053""], ["" 126.581"", "" 129.774"", ""  55.529""], ["" 128.198"", "" 131.881"", ""  58.824""], ["" 126.163"", "" 129.178"", ""  54.629""], ["" 128.699"", "" 132.117"", ""  57.589""], ["" 125.465"", "" 129.312"", ""  58.247""], ["" 128.851"", "" 132.648"", ""  59.958""], ["" 131.447"", "" 131.747"", ""  56.081""], ["" 132.411"", "" 130.942"", ""  56.560""], ["" 131.250"", "" 132.893"", ""  56.487""], ["" 132.489"", "" 130.008"", ""  56.182""], ["" 133.319"", "" 131.267"", ""  57.660""], ["" 132.720"", "" 131.064"", ""  59.049""], ["" 131.439"", "" 130.519"", ""  59.184""], ["" 133.455"", "" 131.415"", ""  60.184""], ["" 130.893"", "" 130.333"", ""  60.451""], ["" 132.908"", "" 131.227"", ""  61.451""], ["" 131.631"", "" 130.688"", ""  61.579""]]",[],1g_Grossjean_2025
12,10822,1h_Grossjean_2025,receptor_tmp,1,17,-6.86,-0.23655172413793105,0.0,0.0,1,188.8,-9.24,-8.75,-0.49,-9.24,0.0,-2.53,2.39,-2.53,50,8,0.0,0.0,0.0,2.780452,16.039587,5.593068,-0.88475671,0.46524846,0.02737561,107.067444,"359.599335, 247.916885, 75.838135, 282.146423, 16.786003, 173.20079, 358.56189, 23.556341, ","[["" 124.035"", "" 131.018"", ""  58.842""], ["" 125.127"", "" 130.405"", ""  59.333""], ["" 123.722"", "" 131.006"", ""  57.652""], ["" 125.316"", "" 130.477"", ""  60.322""], ["" 123.163"", "" 131.768"", ""  59.850""], ["" 123.396"", "" 131.149"", ""  61.544""], ["" 125.005"", "" 131.678"", ""  62.110""], ["" 126.779"", "" 131.811"", ""  63.756""], ["" 125.495"", "" 131.343"", ""  63.394""], ["" 127.510"", "" 132.577"", ""  62.842""], ["" 124.708"", "" 130.537"", ""  64.330""], ["" 126.952"", "" 132.859"", ""  61.597""], ["" 124.087"", "" 129.899"", ""  65.070""], ["" 125.725"", "" 132.421"", ""  61.230""], ["" 127.409"", "" 131.515"", ""  65.116""], ["" 127.692"", "" 133.686"", ""  60.562""], ["" 126.110"", "" 129.668"", ""  58.540""], ["" 127.299"", "" 130.510"", ""  58.087""], ["" 127.393"", "" 130.940"", ""  56.763""], ["" 128.328"", "" 130.807"", ""  58.982""], ["" 128.492"", "" 131.698"", ""  56.329""], ["" 129.441"", "" 131.559"", ""  58.574""], ["" 129.506"", "" 132.007"", ""  57.247""], ["" 128.644"", "" 132.168"", ""  55.037""], ["" 129.059"", "" 131.272"", ""  54.012""], ["" 130.495"", "" 131.891"", ""  59.405""], ["" 130.670"", "" 131.185"", ""  60.629""], ["" 130.592"", "" 132.739"", ""  56.832""], ["" 131.708"", "" 131.948"", ""  56.445""]]",[],1h_Grossjean_2025
13,11142,1i_Grossjean_2025,receptor_tmp,1,19,-7.47,-0.3557142857142857,0.0,0.0,1,190.7,-8.66,-8.27,-0.4,-8.66,0.0,-0.53,1.19,-0.53,38,8,0.0,0.0,0.0,6.244232,15.786521,6.671829,-0.12463793,-0.77922434,-0.61422701,129.697739,"208.037628, 3.99751, 110.5215, 2.734957, ","[["" 129.276"", "" 131.673"", ""  61.361""], ["" 130.081"", "" 131.632"", ""  59.775""], ["" 131.972"", "" 131.394"", ""  58.281""], ["" 131.465"", "" 131.399"", ""  59.601""], ["" 131.101"", "" 131.633"", ""  57.213""], ["" 132.369"", "" 131.201"", ""  60.737""], ["" 129.756"", "" 131.878"", ""  57.478""], ["" 133.085"", "" 131.045"", ""  61.634""], ["" 129.248"", "" 131.884"", ""  58.733""], ["" 133.446"", "" 131.145"", ""  57.966""], ["" 128.764"", "" 132.155"", ""  56.364""], ["" 127.881"", "" 132.834"", ""  61.241""], ["" 126.684"", "" 132.383"", ""  62.080""], ["" 126.931"", "" 131.390"", ""  62.962""], ["" 125.591"", "" 132.928"", ""  61.914""], ["" 127.880"", "" 131.049"", ""  63.021""], ["" 126.032"", "" 130.803"", ""  63.841""], ["" 124.725"", "" 131.007"", ""  63.867""], ["" 126.415"", "" 129.896"", ""  64.827""], ["" 124.216"", "" 130.220"", ""  64.902""], ["" 125.249"", "" 129.555"", ""  65.472""]]",[],1i_Grossjean_2025
14,1790,1j_Grossjean_2025,receptor_tmp,1,18,-8.1,-0.3857142857142857,0.0,0.0,1,191.98,-9.29,-8.97,-0.32,-9.29,0.0,-0.31,1.19,-0.31,47,4,0.0,0.0,0.0,8.109558,11.249728,20.487614,-0.56949732,-0.65120632,0.50160057,143.309875,"265.177826, 336.577179, 309.104065, 337.259186, ","[["" 130.797"", "" 126.804"", ""  72.437""], ["" 131.314"", "" 125.372"", ""  73.359""], ["" 132.804"", "" 124.101"", ""  74.783""], ["" 132.521"", "" 125.302"", ""  74.095""], ["" 131.904"", "" 123.035"", ""  74.698""], ["" 133.476"", "" 126.412"", ""  74.127""], ["" 130.751"", "" 123.182"", ""  73.929""], ["" 134.233"", "" 127.287"", ""  74.153""], ["" 130.457"", "" 124.325"", ""  73.266""], ["" 134.070"", "" 123.909"", ""  75.618""], ["" 129.742"", "" 122.058"", ""  73.787""], ["" 128.982"", "" 126.779"", ""  72.350""], ["" 128.360"", "" 128.022"", ""  72.990""], ["" 127.158"", "" 127.834"", ""  73.578""], ["" 128.962"", "" 129.095"", ""  72.936""], ["" 126.778"", "" 126.899"", ""  73.577""], ["" 126.396"", "" 128.794"", ""  74.229""], ["" 126.794"", "" 129.956"", ""  74.703""], ["" 124.712"", "" 128.449"", ""  74.455""], ["" 125.799"", "" 130.616"", ""  75.261""], ["" 124.557"", "" 129.988"", ""  75.247""]]",[],1j_Grossjean_2025
